method,dataset_id,budget,physical_n,mae,mse,rmse,r2,actual_cost_mean,actual_cost_min,actual_cost_max,area,early_area
CENTER_FIRST,74t7kcdgkr,0.0,9,48.94345940483941,4262.910101036722,65.29096492652504,-1.3270393943076688,0.0,0.0,0.0,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.0,9,98.52284410264757,13101.826275828502,114.4632092675568,0.014502106434936213,0.0,0.0,0.0,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.0,8,54.86939239501953,4450.062155205524,66.70878619196668,-0.7872480812152287,0.0,0.0,0.0,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.0,9,65.11017354329427,5795.368476910957,76.12731754706031,-0.02247689434267164,0.0,0.0,0.0,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.0,8,51.48122596740723,4729.774318925134,68.77335471623537,0.675004204712115,0.0,0.0,0.0,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.0,7,23.36521257672991,747.4145692191087,27.338883832722736,-0.42309177219318994,0.0,0.0,0.0,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.0625,9,40.19403415256076,2749.738426449398,52.437948343250405,-0.5010285205951635,0.06209071473667703,0.06139923424991298,0.06240685789647214,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.0625,9,73.1254645453559,8665.505864902088,93.08869891078126,0.348194854919438,0.06240685789647214,0.06240685789647214,0.06240685789647214,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.0625,8,35.33867263793945,2302.4925941197434,47.984295286267816,0.07526561937139253,0.06240685789647214,0.06240685789647214,0.06240685789647214,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.0625,9,54.924109564887154,4872.386841402803,69.80248449305228,0.14036476101877005,0.06240685789647214,0.06240685789647214,0.06240685789647214,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.0625,8,51.20693397521973,4743.797907491826,68.87523435525883,0.6740406053917867,0.06240685789647214,0.06240685789647214,0.06240685789647214,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.0625,7,26.814202444893972,1074.573553969119,32.78068873542957,-1.0460087965204616,0.06240685789647215,0.06240685789647214,0.06240685789647214,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.125,9,44.34107462565104,3229.017522485875,56.824444761791334,-0.7626576215874208,0.1179428135061045,0.1094911528739422,0.125,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.125,9,71.93893602159288,8617.804454212568,92.83213050562057,0.351782876830653,0.1094911528739422,0.1094911528739422,0.1094911528739422,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.125,8,40.06388854980469,2824.107540168334,53.14233284461959,-0.1342270301566617,0.1094911528739422,0.1094911528739422,0.1094911528739422,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.125,9,57.02024163140191,4678.792312988468,68.4016981732798,0.17452064480138885,0.1094911528739422,0.1094911528739422,0.1094911528739422,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.125,8,50.92135047912598,5079.002858395601,71.26712326448711,0.6510077517591073,0.1094911528739422,0.1094911528739422,0.1094911528739422,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.125,7,21.968191964285715,770.7715563058986,27.762772849733484,-0.4675639266243796,0.10949115287394219,0.1094911528739422,0.1094911528739422,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.1875,9,45.49436611599393,3450.0889497727103,58.73745780822243,-0.8833361975037131,0.17530512819322713,0.17190020881415538,0.1871214758092586,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.1875,9,74.3055419921875,8697.774307066471,93.26185880126168,0.34576767560014776,0.17190020881415538,0.17190020881415538,0.17190020881415538,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.1875,8,40.6085205078125,2818.3183831786737,53.087836489902976,-0.1319019705595681,0.17190020881415538,0.17190020881415538,0.17190020881415538,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.1875,9,56.89944627549913,4711.190245206493,68.63811073453648,0.16880467743030836,0.17190020881415538,0.17190020881415538,0.17190020881415538,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.1875,8,50.8217658996582,5065.212175187829,71.17030402624277,0.6519553475119828,0.17190020881415538,0.17190020881415538,0.17190020881415538,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.1875,7,18.991426740373885,690.5609314765981,26.27852605220845,-0.31484134810104125,0.1719002088141554,0.17190020881415538,0.17190020881415538,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.25,9,44.68843417697482,3483.115522466367,59.01792543343392,-0.9013647587202431,0.23513508825368343,0.23467633805912738,0.23557692307692313,43.491688564941484,42.743351217017306
