specimen_key,method,run,budget,actual_cost,prediction_mpa,abs_error_mpa,visible_cells_derived,scope
74t7kcdgkr:c8-16,CENTER_FIRST,0,0.0,0.0,301.3664245605469,37.202972412109375,[],DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
74t7kcdgkr:c8-16,CENTER_FIRST,0,0.0625,0.0621301775147929,278.8064880371094,14.643035888671875,"[27, 28, 35, 36]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
74t7kcdgkr:c8-16,CENTER_FIRST,0,0.125,0.125,281.6495666503906,17.486114501953125,"[27, 28, 35, 36, 19, 20, 26, 29]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
74t7kcdgkr:c8-16,CENTER_FIRST,0,0.1875,0.17196745562130178,281.6978759765625,17.534423828125,"[27, 28, 35, 36, 19, 20, 26, 29, 34, 37, 43]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
74t7kcdgkr:c8-16,CENTER_FIRST,0,0.25,0.23557692307692313,278.11175537109375,13.94830322265625,"[27, 28, 35, 36, 19, 20, 26, 29, 34, 37, 43, 44, 18, 21, 42]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
cgtnjyggtm:q24-48,CENTER_FIRST,0,0.0,0.0,302.09930419921875,165.41929626464844,[],DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
cgtnjyggtm:q24-48,CENTER_FIRST,0,0.0625,0.06240685789647214,264.785400390625,128.1053924560547,"[27, 28, 35, 36]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
cgtnjyggtm:q24-48,CENTER_FIRST,0,0.125,0.1094911528739422,260.09210205078125,123.41209411621094,"[27, 28, 35, 36, 19, 20, 26]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
cgtnjyggtm:q24-48,CENTER_FIRST,0,0.1875,0.17190020881415538,245.91781616210938,109.23780822753906,"[27, 28, 35, 36, 19, 20, 26, 29, 34, 37, 43]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
cgtnjyggtm:q24-48,CENTER_FIRST,0,0.25,0.23467633805912738,242.33836364746094,105.65835571289062,"[27, 28, 35, 36, 19, 20, 26, 29, 34, 37, 43, 44, 18, 21, 42]",DERIVED_SAVED_ACTIONS_AT_COMMON_BUDGET
