initial_checkpoint,current_checkpoint,value_source,domain_count,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k,statistical_unit
0.03125,0.0625,positions_only,6,276,1380,1380,54.6694194488229,0.9945885399963754,0.9292083127539709,0.057358587984749375,0.0023252812786880186,0.00010689201671778107,5,equal_domain
0.03125,0.0625,real,6,276,1380,1380,54.6694194488229,0.9944586793367733,0.9042948115617966,0.07589744048103189,0.0016523340405520343,-0.000004377717957684874,5,equal_domain
0.03125,0.0625,shuffled,6,276,1380,1380,54.6694194488229,0.9913184870396691,0.9152211644999487,0.18245040967378937,0.0010424103340288214,-0.0001008264745323876,5,equal_domain
0.03125,0.0625,static,6,276,1380,1380,54.6694194488229,0.9916776947025937,0.8978190620641299,0.11281645561432534,0.0010157325846992982,0.000021420644205668094,5,equal_domain
0.03125,0.0625,teacher,6,276,1380,1380,54.6694194488229,0.5965429205684818,0.3993784319395411,0.6094342958020086,0.0019768718935287816,0.0051961317288545675,5,equal_domain
0.03125,0.09375,positions_only,6,276,1380,1380,48.615574673806854,0.9865176153401648,0.8729695560648908,0.12972450662917467,0.004162601864275399,0.000059686504075365925,5,equal_domain
0.03125,0.09375,real,6,276,1380,1380,48.615574673806854,0.9865786264879396,0.8730881329243613,0.13613237926795768,0.0028214016133557077,-0.000024027044452587643,5,equal_domain
0.03125,0.09375,shuffled,6,276,1380,1380,48.615574673806854,0.9795956349075486,0.8471547054300773,0.20543865999815691,0.0017406036161876197,-0.00010955357797062173,5,equal_domain
0.03125,0.09375,static,6,276,1380,1380,48.615574673806854,0.9790738294433031,0.8594350345992804,0.21295293953110153,0.0018336977698291082,0.000006671475360218672,5,equal_domain
0.03125,0.09375,teacher,6,276,1380,1380,48.615574673806854,0.49650604066001125,0.3283885082165597,0.6697887652918609,0.0022591024445011974,0.00580567895518045,5,equal_domain
0.03125,0.125,positions_only,6,276,1380,1380,42.382922210331536,0.9741133364697875,0.7907295763408823,0.17646882094400182,0.005975635299978536,0.000040472437253652795,5,equal_domain
0.03125,0.125,real,6,276,1380,1380,42.382922210331536,0.9732668019401741,0.8227043308273454,0.17053506610342137,0.003940125675593281,0.00001288784740462036,5,equal_domain
0.03125,0.125,shuffled,6,276,1380,1380,42.382922210331536,0.9622850138602015,0.7542913975958175,0.26837688897243583,0.0024186176926480744,-0.00006381520385681886,5,equal_domain
0.03125,0.125,static,6,276,1380,1380,42.382922210331536,0.9629433562239854,0.8349014814101118,0.17778964369461106,0.0026332357066194624,-0.00005089593669805543,5,equal_domain
0.03125,0.125,teacher,6,276,1380,1380,42.382922210331536,0.4511782846530034,0.3074403870321866,0.6943607526615402,0.0024838116308265384,0.0059918621555857116,5,equal_domain
0.03125,0.1875,positions_only,6,276,1380,1380,31.48089358561045,0.9455481451914126,0.7335029711611486,0.22904261172229082,0.009337479640211081,0.00012214180550597963,5,equal_domain
0.03125,0.1875,real,6,276,1380,1380,31.48089358561045,0.9371165817185295,0.7421182752540765,0.2834304195899651,0.005759292219388316,-0.000026371513449356554,5,equal_domain
0.03125,0.1875,shuffled,6,276,1380,1380,31.48089358561045,0.925732273084077,0.6960187861405496,0.3610795086520664,0.0035493601899675297,-0.00002026792018138644,5,equal_domain
0.03125,0.1875,static,6,276,1380,1380,31.48089358561045,0.932397995317634,0.7925930925537831,0.21969212232927293,0.0044174818884982455,-0.0000342393367250955,5,equal_domain
0.03125,0.1875,teacher,6,276,1380,1380,31.48089358561045,0.4053439769310774,0.30720882736705496,0.7037382293631609,0.002710159569334456,0.005308664773700671,5,equal_domain
