scorer,nominal_checkpoint,domain_count,specimen_count,mean_exact_acquired_cost,mean_effective_budget,equal_domain_regret,worst_domain_regret,spearman,ndcg,recall_at_k
candidate_only_static,0.03125,6,276,8411.28038363093,0.02064305209479642,0.01631611964209343,0.019602936988317284,0.006989903251403306,0.8928623372303813,0.10561204520394968
candidate_only_static,0.0625,6,276,25356.205735173062,0.060989813976226985,0.012991710646370516,0.018359569189984194,0.006840856143492564,0.8905255646955057,0.10522154476793934
candidate_only_static,0.09375,6,276,38101.13557304082,0.09168744638171607,0.012324359655741532,0.01722326729903692,0.010086638880100298,0.888828928276962,0.11026656570789865
candidate_only_static,0.125,6,276,51228.53650775351,0.12324202278755354,0.01197727818526594,0.01644617301365052,0.0063076398240828795,0.885698060109341,0.10636382614600332
candidate_only_static,0.1875,6,276,77249.55744808727,0.18579114008102315,0.01038733373607889,0.014183876296799621,0.005591360374760916,0.8831020575811581,0.11596786016257242
dynamic_positions_only,0.03125,6,276,8411.28038363093,0.02064305209479642,0.016460096835650907,0.020783993959386616,0.015472474593600865,0.8923438438354778,0.07206937076660656
dynamic_positions_only,0.0625,6,276,25356.205735173062,0.060989813976226985,0.012538504647778418,0.016703797917322773,0.027217456640079584,0.8906175496117085,0.08083440834883099
dynamic_positions_only,0.09375,6,276,38101.13557304082,0.09168744638171607,0.011864145557162071,0.015939861665136494,0.021273590027352712,0.8879613204256286,0.0828750250597557
dynamic_positions_only,0.125,6,276,51228.53650775351,0.12324202278755354,0.011586246435537162,0.01508261676796423,0.02537714445979966,0.8853757994929574,0.0827590369458066
dynamic_positions_only,0.1875,6,276,77249.55744808727,0.18579114008102315,0.010109313316861886,0.012717996380931745,0.02371888980928105,0.8822839078477823,0.09219328495297092
dynamic_real,0.03125,6,276,8411.28038363093,0.02064305209479642,0.016056901134885514,0.019416636046667733,0.020247956103632458,0.8886619499003197,0.056624683412079574
dynamic_real,0.0625,6,276,25356.205735173062,0.060989813976226985,0.01223066811763415,0.01675373951599552,0.02911641565827557,0.8886188456421338,0.05787262940591276
dynamic_real,0.09375,6,276,38101.13557304082,0.09168744638171607,0.011538530094045226,0.01587311637817522,0.021869981096190195,0.8863693171156878,0.05848749847289358
dynamic_real,0.125,6,276,51228.53650775351,0.12324202278755354,0.011257154829912165,0.014807622329699135,0.02722948716184044,0.8841168469066467,0.06480044565869693
dynamic_real,0.1875,6,276,77249.55744808727,0.18579114008102315,0.01001228854094881,0.012816553790900506,0.023111608198356285,0.8811212128826432,0.078084656429632
dynamic_shuffled,0.03125,6,276,8411.28038363093,0.02064305209479642,0.01595842822354941,0.019292607369619148,0.046376484290959814,0.8916586996786893,0.0549911603843339
dynamic_shuffled,0.0625,6,276,25356.205735173062,0.060989813976226985,0.011969711485467835,0.016552963074634077,0.044949958565638104,0.8902797861319973,0.06185579862714955
dynamic_shuffled,0.09375,6,276,38101.13557304082,0.09168744638171607,0.01136737593186827,0.01587819334884713,0.03802615904340061,0.8872913246241544,0.059301453231404254
dynamic_shuffled,0.125,6,276,51228.53650775351,0.12324202278755354,0.011093859773876587,0.014806488720634973,0.04305511709474494,0.885047353825445,0.07133316285251108
dynamic_shuffled,0.1875,6,276,77249.55744808727,0.18579114008102315,0.009779511545059605,0.012642159496231648,0.04221946787648812,0.8828460510332494,0.07363284446013145
static_m1_o2,0.03125,6,276,8411.28038363093,0.02064305209479642,0.016078606071907208,0.018809952270110446,-0.026505698568348914,0.9004852762797548,0.24388099529125132
static_m1_o2,0.0625,6,276,25356.205735173062,0.060989813976226985,0.013862183941752529,0.01766852269692258,-0.02376546911311915,0.893279675443902,0.19431721874023924
static_m1_o2,0.09375,6,276,38101.13557304082,0.09168744638171607,0.013037002473556776,0.016689012962346057,-0.017110898611740786,0.8933470903749688,0.19271234803164353
static_m1_o2,0.125,6,276,51228.53650775351,0.12324202278755354,0.01268609935999124,0.016218115832490908,-0.017963178810934396,0.8900605054677232,0.18412896234429574
static_m1_o2,0.1875,6,276,77249.55744808727,0.18579114008102315,0.011272389087007456,0.014380531345571166,-0.02083310621755029,0.8857911247025779,0.17950555716204564
