outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
74t7kcdgkr,candidate_only_static,0.03125,45,225,10429.977777777778,0.031185615457384668,0.01145112622907173,0.0015409787048539457,0.0351375570403174,0.8933895383684214,0.13333333333333333
74t7kcdgkr,candidate_only_static,0.0625,45,225,20229.65777777778,0.060460019506402694,0.009328618802129004,0.0002345236550930354,0.028475403035329666,0.8859080759410839,0.136
74t7kcdgkr,candidate_only_static,0.09375,45,225,30652.244444444445,0.09171584121061985,0.009079875446016801,-0.00033393585974005074,0.040555895606987996,0.8820350600599173,0.14222222222222222
74t7kcdgkr,candidate_only_static,0.125,45,225,41327.65333333333,0.12354392569432286,0.008909879356621705,-0.00027129868649222586,0.03843060014921037,0.8754053097776728,0.1368888888888889
74t7kcdgkr,candidate_only_static,0.1875,45,225,62267.79555555555,0.18598780152873015,0.00861703454603565,-0.0003572155767607943,0.03319745356908127,0.8744194187913344,0.1448888888888889
74t7kcdgkr,dynamic_positions_only,0.03125,45,225,10429.977777777778,0.031185615457384668,0.013117755880904159,-0.0001256509469784839,0.03572197224270112,0.8967441236765342,0.19555555555555557
74t7kcdgkr,dynamic_positions_only,0.0625,45,225,20229.65777777778,0.060460019506402694,0.009810964228557028,-0.0002478217713349883,0.02001457599858347,0.8886838151374861,0.17155555555555557
74t7kcdgkr,dynamic_positions_only,0.09375,45,225,30652.244444444445,0.09171584121061985,0.009382192096125421,-0.0006362525098486694,0.009202649363957614,0.8820857778691994,0.18044444444444446
74t7kcdgkr,dynamic_positions_only,0.125,45,225,41327.65333333333,0.12354392569432286,0.009153819622837504,-0.0005152389527080255,0.003370154971824838,0.8755393331170911,0.16711111111111113
74t7kcdgkr,dynamic_positions_only,0.1875,45,225,62267.79555555555,0.18598780152873015,0.008867500241360014,-0.0006076812720851571,-0.015059255203648796,0.8697375508284044,0.1751111111111111
74t7kcdgkr,dynamic_real,0.03125,45,225,10429.977777777778,0.031185615457384668,0.01317254961925409,-0.00018044468532841683,0.009176621957773676,0.8822519272285817,0.09333333333333334
74t7kcdgkr,dynamic_real,0.0625,45,225,20229.65777777778,0.060460019506402694,0.010093993192593183,-0.000530850735371145,0.011110673648616924,0.8772796313956676,0.08355555555555556
74t7kcdgkr,dynamic_real,0.09375,45,225,30652.244444444445,0.09171584121061985,0.009181512665857199,-0.0004355730795804466,0.004899807483556443,0.8739372899108321,0.10133333333333334
74t7kcdgkr,dynamic_real,0.125,45,225,41327.65333333333,0.12354392569432286,0.00837949843399762,0.00025908223613185864,0.0055391000932757456,0.872660102054574,0.11466666666666667
74t7kcdgkr,dynamic_real,0.1875,45,225,62267.79555555555,0.18598780152873015,0.008116398030108208,0.0001434209391666492,-0.02186229403043968,0.8684476554226211,0.12000000000000001
74t7kcdgkr,dynamic_shuffled,0.03125,45,225,10429.977777777778,0.031185615457384668,0.013452043968731425,-0.00045993903480575266,0.011516728014587866,0.8782324216592,0.04888888888888889
74t7kcdgkr,dynamic_shuffled,0.0625,45,225,20229.65777777778,0.060460019506402694,0.00948587898803677,0.00007726346918526792,0.010542117011424526,0.876592644471684,0.07733333333333334
74t7kcdgkr,dynamic_shuffled,0.09375,45,225,30652.244444444445,0.09171584121061985,0.008435622683793054,0.0003103169024836968,0.023784308675353596,0.8743291468220693,0.09866666666666668
74t7kcdgkr,dynamic_shuffled,0.125,45,225,41327.65333333333,0.12354392569432286,0.008046611517007257,0.0005919691531222211,0.027110629609051633,0.8715907827910568,0.14666666666666667
74t7kcdgkr,dynamic_shuffled,0.1875,45,225,62267.79555555555,0.18598780152873015,0.007646150700374618,0.0006136682689002389,0.027774302020129704,0.8715895689208619,0.13155555555555556
