outer_dataset_id,representation,selected,pca_dimension,inner_mae,state_sha256
74t7kcdgkr,A_surface,1,,0.0,19bb08fa8ae9a7f91ab29236e8a70185cbda813671018d634ad61339bc022a65
74t7kcdgkr,B_scalar,1,,0.0,071a74b87c7c23ce7ed0551fd49f7b8bcc3cc92b30f8503fe7af23ddb0e44f32
74t7kcdgkr,B_morph,0,,0.19421830110238072,62077d1ca8ccafe8abfec39cfb0b77a09419b2dff9c45ded06d46f6bb172822a
74t7kcdgkr,B_frozen,1,16,0.1732966767880231,1be5d93c6c63e58a6d8b12ebe5e899e9e34033c9111a654bbc7aef444ef6f4a4
74t7kcdgkr,B_combined,0,32,0.1915191658060013,e4f3bda53670aeec0b455369d4515ac2704ced0869e6ec3ac3c693e0c39f9d44
74t7kcdgkr,B_field_selected,1,,0.0,cc8be9b1f9f6afa73c496e116cc978ec353c3deb9859424ee23e7624eb1f8801
74t7kcdgkr,B_learned,1,,0.0,3bc671f5b38bec3acd5c514dcc4ec2aa2637ac62a8cf356085cd8eec0916cb3a
74t7kcdgkr,B_learned_zero_field,1,,0.0,fadd2d6aa4baa8cf77e5ae5c59cf9026318f598177fca5498a8b4bdce3a6c581
74t7kcdgkr,I_morph,0,,0.16711265889777913,8820b18423ceb5f26591e03bc78048bebf4ba2e045ce69e55a005f625988508f
74t7kcdgkr,I_frozen,1,8,0.10599143059440748,c1a4f313338090e35b6589c038a147c5ad8868694199294148f0e47606065c16
74t7kcdgkr,I_combined,0,8,0.1373359943928554,b7532dc39c4a0469c1c6414817fe0975802d8ec698933d77b9a7aedcfea425a7
74t7kcdgkr,I_field_selected,1,,0.0,312938ada3390bc7b16846b83b388faa63e524020e6321908d8b68d903ee1c10
74t7kcdgkr,I_learned,1,,0.0,79529094a6b5999c562bee0c2b23afc47deda9fcb4a8408aa62c2303d4a194d3
cgtnjyggtm,A_surface,1,,0.0,68174d5359f4dfb30cbf8ab85ae2ded6de08805b1124ee713117603abb1e87ac
cgtnjyggtm,B_scalar,1,,0.0,51b8d650b50fb3b845166c87f723967c22ca0165ae20295069ec9044fa4aab0c
cgtnjyggtm,B_morph,0,,0.24630410382249673,2039da78f0aa4de6a2617ce8cbe8d030d7aaeee465dda41af7cba754bf0724a8
cgtnjyggtm,B_frozen,1,32,0.13263020037705905,3ba43795fd67e693ef0c3d699b97ab809c146a2b981071d628a6c759dab09386
cgtnjyggtm,B_combined,0,32,0.15102641738758585,17d1ca08ce5af003090b894147a11b3d2b055da8faa6d9298003a593c1135df5
cgtnjyggtm,B_field_selected,1,,0.0,79e11107222a9eabdbd666a98d6bcb2d4da02710a246626b81c70c0b759e95f9
cgtnjyggtm,B_learned,1,,0.0,c4d319dcdeda9289235ff7eba96851e79be35ae48dd69c8a80b68c6b44fb30fb
cgtnjyggtm,B_learned_zero_field,1,,0.0,7603ce4174b37d926de0f7a2d4e8fa19cd394606df464ad69f454598b45965a9
cgtnjyggtm,I_morph,0,,0.15590437395190795,236ea4de6430a8031f9c193f61103bdb6816d8004dcf7d833bba0c99063ebe7d
cgtnjyggtm,I_frozen,1,32,0.07848914726964268,dd9fc22f1f7ada2e77f43cfb34ec4f2ddc41ecf68dda452b29878b112d3dc672
cgtnjyggtm,I_combined,0,16,0.09553760136045933,2b086e137cca191ec362a98f4ee1f51da423d54c8f4663be88aa2b2147d4b010
cgtnjyggtm,I_field_selected,1,,0.0,b45dc4bd3f041adff4070916859e9c42d30d31762cf4dbe126c75b44d1fead67
cgtnjyggtm,I_learned,1,,0.0,cd3c6a66f0c57efe220ffafac9848b51b302d89de7f155ad81018a1ab7523ef3
w68dtmpfyf,A_surface,1,,0.0,9a9c06b87e737173505405a0024305fabe96503e301c6dccfcfdb09eb9d38c7b
w68dtmpfyf,B_scalar,1,,0.0,7a39d1cd4b50174e6fb8d2b866a53909de768fcc54ba06ebb128ae45827b7f3b
w68dtmpfyf,B_morph,0,,0.20699818317998708,aeeb99b0168a0fc0b0069a87b292273214454431b9e46c17ed7bc4fa29b93a22
w68dtmpfyf,B_frozen,1,8,0.11482278160514049,78c3fd0b34dfd4c5ecc80ab33f1ce7f1d3322e0da1749c7b568663698f849808
w68dtmpfyf,B_combined,0,32,0.15580890655031915,3aa8858e47b688e1cfb76f66ffb44cf87e5f824fe2b3e839a52193cbf283d0ad
w68dtmpfyf,B_field_selected,1,,0.0,dcfacec9c492ee6728c6c8e14f4a7f5f7372d3583f1a3c575337b3cf8b777713
w68dtmpfyf,B_learned,1,,0.0,0fb9cec114f7106004c5976a96c73d6f1a4ddc9f2bcbfaff65f404631bafba8b
w68dtmpfyf,B_learned_zero_field,1,,0.0,4619426a22b927d199bd94b7abacffb8a04a4bd5b6a96299be655292710eee45
w68dtmpfyf,I_morph,0,,0.13778220023069224,5f78a1d9f52d9c280e8d41acd33d39a09c231236f8250cc4ae8c39c74e24b803
w68dtmpfyf,I_frozen,1,8,0.08688133296956363,3293342acb47f7f79fc3d122f7fea1d0ca5b7ff89b783c18bb9ba9caa7d587b7
w68dtmpfyf,I_combined,0,16,0.10580050104521603,d9a447885a5130280a124b0c32df78c7f34bb465d4af14fad90fe407a5ab6c37
w68dtmpfyf,I_field_selected,1,,0.0,e503dcb80a22af4aefabbcc9979c6b9f81da3703c4ddc06bae89e0458a40d1d6
w68dtmpfyf,I_learned,1,,0.0,ed23bce8b833f857979c6c00704cf8d7d207eb303bcf40dd61c872170293095b
xcmzfsbd9t,A_surface,1,,0.0,12d29057a1b4100fb9d0da755716c87180903d1413e651b405d507732f5dae94
xcmzfsbd9t,B_scalar,1,,0.0,53520c033c4b86aae5cde74ba659e49465d816b3b49c4378a20379a51cce8ac8
xcmzfsbd9t,B_morph,0,,0.21013248542291554,418ff8727e2c1551aa67171f65c462c2f909ce71ff28ee8b3b5fc76356adf22d
xcmzfsbd9t,B_frozen,1,32,0.13392701667679274,d95005a3e5bfbd5e7318ad7e2d23399f48b95a660996b2bcb2d3e56a773c8323
xcmzfsbd9t,B_combined,0,32,0.1552640725031729,ad900c78e505482a68594caf75e1e772ccf4d26d51b1b76f9262198e2f267a53
xcmzfsbd9t,B_field_selected,1,,0.0,e9064dbc33e480803a7013a2d873d19b725624ba1dabfa616c202417e88e11a1
xcmzfsbd9t,B_learned,1,,0.0,119b148129a5f930992e02ad8e2668d71ae3f4d499d4ea288531a6053d0e50f6
xcmzfsbd9t,B_learned_zero_field,1,,0.0,31171d87a9ae546cc48b0ba1e37f0dd006d9d5ed8832a5d0d7b6b63ed8c5b800
xcmzfsbd9t,I_morph,0,,0.15157721305783622,2529f63bdea45027508ba5538a417d94c2b16eb7522771b07aa5ca80a54fb82c
xcmzfsbd9t,I_frozen,1,8,0.09896227978066927,4bc11e00bb94fb0cdc22625fef5584829c08c13c1f2eab7146144d16ffc6b876
xcmzfsbd9t,I_combined,0,8,0.12481490152445865,565fe0dd0e6ef11b74930b4f0bc23905d329bab151411e62420a5ad7352f9de1
xcmzfsbd9t,I_field_selected,1,,0.0,b75e42cec3fc4cb3cba2f96bb79400307d0015339c9eedbb07025496b1dc7b63
xcmzfsbd9t,I_learned,1,,0.0,b38a5d10fbec2c6721edcad7df0ec08e7ce01cceebad894ae9a0be055a119203
yfxyg8jm46,A_surface,1,,0.0,0701654afbc82c21dea5b9f9bd6cadd781250c10196302419920597ce79d6a7d
yfxyg8jm46,B_scalar,1,,0.0,43c229415cd1af00e4a165b7ba6554135766e204dec9b754a04e7af3756e1f15
yfxyg8jm46,B_morph,0,,0.19176005215555503,e22cc015c370d5d8e935bc1c31b6ef2d19f2ff5323638d75461df8218ebacae4
yfxyg8jm46,B_frozen,1,8,0.10975943686091877,ef78e26ef9a41179644c56c2d6cc6fad10aeb4d2f6b399beb9c7e3dcb7e6c331
yfxyg8jm46,B_combined,0,8,0.15501382321036294,ced89209e74f4b8217b62aa1fe73669164ce0813168675da070df978e8ae4041
yfxyg8jm46,B_field_selected,1,,0.0,321de3ca384930205dd6eb12ba75d03c74e2f7192bc2b34b7293a8425338a210
yfxyg8jm46,B_learned,1,,0.0,4be819d0c8af2f99173c2c7de30d9aea0868d7a7859d03607481d26bd52903c0
yfxyg8jm46,B_learned_zero_field,1,,0.0,92a5729fc0327c5ebad84ae26b926ae1854a353ef1217c0c99df6b04bc045c20
yfxyg8jm46,I_morph,0,,0.17528219289399058,7a2ed0a2a4fe962a40d42e741006dd9e017859361dfa922654b0e1db50ace9c9
yfxyg8jm46,I_frozen,1,8,0.08619077491589891,f8ae86a102ffffbc340d7128605b17511786fdc68c2140550c3057565f063f6c
yfxyg8jm46,I_combined,0,8,0.14914296558187876,f31e18d86efbc567e858a21f2029d8facc6732f149e9fcaee07ee1d746f99835
yfxyg8jm46,I_field_selected,1,,0.0,65244af778dedb996f6cb599081d2cbfd062917a31473382c881067ed6a957fc
yfxyg8jm46,I_learned,1,,0.0,a934dd5a8fbb7fe4f7a7c4c99ec0275f984374bfd71b762f29811af0f540446e
ykhs7s2dck,A_surface,1,,0.0,4a163f36956909719e823e857cacfe4022f4b9d2ff897d206c113e827b2cd769
ykhs7s2dck,B_scalar,1,,0.0,7fb6ee1bf1daa42778c97ebc939c08644a6ed0e5b1de022712168b6ef8c52822
ykhs7s2dck,B_morph,0,,0.18998527304729534,5277943c075272329e11c717abd4258aa961967ff7c06528ee1cdf3701f61e2b
ykhs7s2dck,B_frozen,1,8,0.10372554138115109,115dfcada27e86173bde6116bb5d65ffff4dc89ff156a8b3f5fdf8983aa9792c
ykhs7s2dck,B_combined,0,32,0.14440716571938192,c47be9c3318ed427d7ea647456b8f482ecf0cecc9f420059d827b7b27a256721
ykhs7s2dck,B_field_selected,1,,0.0,78d329ad32c271055f36aaa09e11dce705b307af7875f3d468aafa3c2417a21d
ykhs7s2dck,B_learned,1,,0.0,4f5ce2e8798cfb45ec0a5112c3342c3003657eea4a58c522372d83a94d27215c
ykhs7s2dck,B_learned_zero_field,1,,0.0,3ae6e43814d5490c7241bd8e182e2f3289b7b2a24ed89780b4253e3db462ffe4
ykhs7s2dck,I_morph,0,,0.16124170177820263,30e75538be704ccbaab6ef182c2c9233f77a45eee4c47972c3eb3368ed600c08
ykhs7s2dck,I_frozen,1,8,0.10175762849275982,da63cc0c7a2b6b90cfd3d1ceb8d1a99e17242372e35e66b65e9092f8166df5db
ykhs7s2dck,I_combined,0,32,0.1277756807873204,06ff156f8e5f099b7919a8c1c8691185a2f5a9e22123db7926f8dcd50637a342
ykhs7s2dck,I_field_selected,1,,0.0,5fa2fde81748f2d1e18f0aa591b51298318b31edfbc4285f72a5a85240e597d8
ykhs7s2dck,I_learned,1,,0.0,2c8601cb196a451b452128d45e75083c3821f673398db7ac7caf776a6f2af297
