method,dataset_id,specimens,mae
A_surface,74t7kcdgkr,45,0.14026076733200757
A_surface,cgtnjyggtm,49,0.12215155937309541
A_surface,w68dtmpfyf,43,0.12411388685633379
A_surface,xcmzfsbd9t,59,0.10065290445265158
A_surface,yfxyg8jm46,42,0.16338072761187408
A_surface,ykhs7s2dck,38,0.47816484074436777
B_scalar,74t7kcdgkr,45,0.1394376531263157
B_scalar,cgtnjyggtm,49,0.12156670636792442
B_scalar,w68dtmpfyf,43,0.12623553253209657
B_scalar,xcmzfsbd9t,59,0.09915339778570179
B_scalar,yfxyg8jm46,42,0.1624584003536722
B_scalar,ykhs7s2dck,38,0.48637477376427485
B_morph,74t7kcdgkr,45,0.28627107438331945
B_morph,cgtnjyggtm,49,0.13363434497309404
B_morph,w68dtmpfyf,43,0.13747673439524524
B_morph,xcmzfsbd9t,59,0.1308919618011949
B_morph,yfxyg8jm46,42,0.15201121475697427
B_morph,ykhs7s2dck,38,0.38305605201419707
B_frozen,74t7kcdgkr,45,0.058736787700541755
B_frozen,cgtnjyggtm,49,0.12469936856113768
B_frozen,w68dtmpfyf,43,0.1059023306876731
B_frozen,xcmzfsbd9t,59,0.09058941997269102
B_frozen,yfxyg8jm46,42,0.12702193559341912
B_frozen,ykhs7s2dck,38,0.26398629662535683
B_combined,74t7kcdgkr,45,0.13112191197479
B_combined,cgtnjyggtm,49,0.13756022444015978
B_combined,w68dtmpfyf,43,0.12050347156088673
B_combined,xcmzfsbd9t,59,0.12705309075091892
B_combined,yfxyg8jm46,42,0.12856926502065272
B_combined,ykhs7s2dck,38,0.2494761983512322
B_field_selected,74t7kcdgkr,45,0.058736787700541755
B_field_selected,cgtnjyggtm,49,0.12469936856113768
B_field_selected,w68dtmpfyf,43,0.1059023306876731
B_field_selected,xcmzfsbd9t,59,0.09058941997269102
B_field_selected,yfxyg8jm46,42,0.12702193559341912
B_field_selected,ykhs7s2dck,38,0.26398629662535683
B_learned,74t7kcdgkr,45,0.13312282569556388
B_learned,cgtnjyggtm,49,0.141427655336801
B_learned,w68dtmpfyf,43,0.12100964437987526
B_learned,xcmzfsbd9t,59,0.1392104275828001
B_learned,yfxyg8jm46,42,0.168569317814493
B_learned,ykhs7s2dck,38,0.22604295356247675
B_learned_zero_field,74t7kcdgkr,45,0.14580759223990067
B_learned_zero_field,cgtnjyggtm,49,0.11458786236963502
B_learned_zero_field,w68dtmpfyf,43,0.10315224851652703
B_learned_zero_field,xcmzfsbd9t,59,0.13914336153793047
B_learned_zero_field,yfxyg8jm46,42,0.16703186165210085
B_learned_zero_field,ykhs7s2dck,38,0.25902256554075526
I_morph,74t7kcdgkr,45,0.1680078077867582
I_morph,cgtnjyggtm,49,0.13814824627452355
I_morph,w68dtmpfyf,43,0.14665078205713433
I_morph,xcmzfsbd9t,59,0.13843858802245357
I_morph,yfxyg8jm46,42,0.14582781588103075
I_morph,ykhs7s2dck,38,0.12698020983926855
I_frozen,74t7kcdgkr,45,0.052003607090763716
I_frozen,cgtnjyggtm,49,0.12486849958988917
I_frozen,w68dtmpfyf,43,0.09660573834513045
I_frozen,xcmzfsbd9t,59,0.07511512755876239
I_frozen,yfxyg8jm46,42,0.12743074387350148
I_frozen,ykhs7s2dck,38,0.06179111148763877
I_combined,74t7kcdgkr,45,0.17040949619429427
I_combined,cgtnjyggtm,49,0.13826442899585514
I_combined,w68dtmpfyf,43,0.10189140496875727
I_combined,xcmzfsbd9t,59,0.11424664893000093
I_combined,yfxyg8jm46,42,0.12287252255277278
I_combined,ykhs7s2dck,38,0.11032101154129438
I_field_selected,74t7kcdgkr,45,0.052003607090763716
I_field_selected,cgtnjyggtm,49,0.12486849958988917
I_field_selected,w68dtmpfyf,43,0.09660573834513045
I_field_selected,xcmzfsbd9t,59,0.07511512755876239
I_field_selected,yfxyg8jm46,42,0.12743074387350148
I_field_selected,ykhs7s2dck,38,0.06179111148763877
I_learned,74t7kcdgkr,45,0.10391594206354388
I_learned,cgtnjyggtm,49,0.11741550676361931
I_learned,w68dtmpfyf,43,0.12692285180015853
I_learned,xcmzfsbd9t,59,0.12001946125155491
I_learned,yfxyg8jm46,42,0.17189298823203641
I_learned,ykhs7s2dck,38,0.09726585797066209
global_shuffle,74t7kcdgkr,45,0.14255878235846017
global_shuffle,cgtnjyggtm,49,0.13553902202065946
global_shuffle,w68dtmpfyf,43,0.12179621800552203
global_shuffle,xcmzfsbd9t,59,0.12309394238024185
global_shuffle,yfxyg8jm46,42,0.1560679313941986
global_shuffle,ykhs7s2dck,38,0.46568309737161157
stratified_shuffle,74t7kcdgkr,45,0.1414647658837563
stratified_shuffle,cgtnjyggtm,49,0.13098510744952785
stratified_shuffle,w68dtmpfyf,43,0.12579742737475041
stratified_shuffle,xcmzfsbd9t,59,0.11841644593493568
stratified_shuffle,yfxyg8jm46,42,0.16483570641381265
stratified_shuffle,ykhs7s2dck,38,0.46739534988406445
global_shuffle_cnn,74t7kcdgkr,45,0.1421257635701561
global_shuffle_cnn,cgtnjyggtm,49,0.1467810525548186
global_shuffle_cnn,w68dtmpfyf,43,0.12483982136607166
global_shuffle_cnn,xcmzfsbd9t,59,0.178194419652598
global_shuffle_cnn,yfxyg8jm46,42,0.16172135586723613
global_shuffle_cnn,ykhs7s2dck,38,0.20715828673773215
stratified_shuffle_cnn,74t7kcdgkr,45,0.14557885410937174
stratified_shuffle_cnn,cgtnjyggtm,49,0.14566823041382734
stratified_shuffle_cnn,w68dtmpfyf,43,0.1248807690524337
stratified_shuffle_cnn,xcmzfsbd9t,59,0.1772113643901719
stratified_shuffle_cnn,yfxyg8jm46,42,0.1627664298854572
stratified_shuffle_cnn,ykhs7s2dck,38,0.20880278296671945
