outer_dataset_id,method,seed,fit_domains,query_domains,epoch,checkpoint_path,state_sha256
cgtnjyggtm,stratified_shuffle_cnn,20260813,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/stratified_shuffle_cnn__cgtnjyggtm__seed-20260813.pt,496510810b811b3657e67f69bd9886599a8ec5f50150c8d0eceac136e0f924f6
w68dtmpfyf,B_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",6,models/B_learned__w68dtmpfyf__seed-20260811.pt,7782428f854a22ab8a34c8b31ad8957577d4c6e546a113233b79934f7e62b849
w68dtmpfyf,B_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",5,models/B_learned__w68dtmpfyf__seed-20260812.pt,5246b5e332b62d3429fa32764b095de9bc548a6d90f1646a85b54ef4e1f925ca
w68dtmpfyf,B_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/B_learned__w68dtmpfyf__seed-20260813.pt,a90aca7d948ec9c793e59cf61af5e070abe5a305466743bcfd58a1366236fa30
w68dtmpfyf,B_learned_zero_field,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",3,models/B_learned_zero_field__w68dtmpfyf__seed-20260811.pt,697a1ac13e12a55284ed9560335c78555fb12f1aa04935e1272bb80c456ee9ca
w68dtmpfyf,B_learned_zero_field,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",5,models/B_learned_zero_field__w68dtmpfyf__seed-20260812.pt,2b89074ebf0deef809e29b86599ef14516cd9859695cc687612b80157aa9a2df
w68dtmpfyf,B_learned_zero_field,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/B_learned_zero_field__w68dtmpfyf__seed-20260813.pt,0a7d04b2b2ffba7786fba8e7ab89c56d81e4d528767cc5e3f717c3a75c983336
w68dtmpfyf,I_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/I_learned__w68dtmpfyf__seed-20260811.pt,2f9438afbf61393a66c31c59f055eac3dbaf6d7661cba04f73927f941460170a
w68dtmpfyf,I_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",10,models/I_learned__w68dtmpfyf__seed-20260812.pt,bc2e53864deeacf4e35df8705fb836616664bef3ff84f1a1836eaeaa153413ed
w68dtmpfyf,I_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",10,models/I_learned__w68dtmpfyf__seed-20260813.pt,4bba5d7444994f459d97a2946b019c3b62054eccc7416125194ad22c373e695d
w68dtmpfyf,global_shuffle_cnn,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",6,models/global_shuffle_cnn__w68dtmpfyf__seed-20260811.pt,ef41984f1e6bf6f55e54fb7e3f2e37a9739b4578c5372de0bcf17a0eee127074
w68dtmpfyf,global_shuffle_cnn,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",5,models/global_shuffle_cnn__w68dtmpfyf__seed-20260812.pt,e25afc1fe17c4ce118aac4a4f4a6302cdd914aec5374f81e4c3bff80405bd274
w68dtmpfyf,global_shuffle_cnn,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/global_shuffle_cnn__w68dtmpfyf__seed-20260813.pt,e15002eb6369a4a36ae416f29d7147646d71019e11058baac8dea62ab2902286
w68dtmpfyf,stratified_shuffle_cnn,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",6,models/stratified_shuffle_cnn__w68dtmpfyf__seed-20260811.pt,f96896c6fa84c1c93fe71ade5e0f2ef79cf1c4ca5a64c9b459a09a9dbe2d8287
w68dtmpfyf,stratified_shuffle_cnn,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",5,models/stratified_shuffle_cnn__w68dtmpfyf__seed-20260812.pt,b2c32a19e62b1bbd33dcc6b5d9ee16f153591f4cdcc2a2a6b47276b861da4942
w68dtmpfyf,stratified_shuffle_cnn,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/stratified_shuffle_cnn__w68dtmpfyf__seed-20260813.pt,d7d64386679757bb07bac19d53a7527ee1f3ec432f8d0e49fda8fa60c1816791
xcmzfsbd9t,B_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/B_learned__xcmzfsbd9t__seed-20260811.pt,1c0c5cf5ea308c8cd55983c9f9d02a0b77e113cc4937cc0edc9bc99ed22b975b
xcmzfsbd9t,B_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",40,models/B_learned__xcmzfsbd9t__seed-20260812.pt,3fe9dcb9003fe0ff07085211d1e73a522e11aa63c57b25dce148e8a7c6cefb9c
xcmzfsbd9t,B_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/B_learned__xcmzfsbd9t__seed-20260813.pt,a402a1adbd0a2ebbd7406e284bf2a3a90f7f6ba2c5eb2c108276f3979357ac5e
xcmzfsbd9t,B_learned_zero_field,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",11,models/B_learned_zero_field__xcmzfsbd9t__seed-20260811.pt,88b60418b5641d6b7cbf57e72cd99ba7dab7fd6f50b8e76b8d25607f509d288c
xcmzfsbd9t,B_learned_zero_field,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",40,models/B_learned_zero_field__xcmzfsbd9t__seed-20260812.pt,88b786f85d3c22bcc4e9aac841e9565ad5f577837f47bf744aeff2051142f545
xcmzfsbd9t,B_learned_zero_field,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",3,models/B_learned_zero_field__xcmzfsbd9t__seed-20260813.pt,cb3c8767743992bc6b86864a92e36c987fbdb872670fe2a095bee47be52b3450
xcmzfsbd9t,I_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",35,models/I_learned__xcmzfsbd9t__seed-20260811.pt,3ce01f5c3a9cc7229f555d0635b39240a56d8b7be4fb60adfe69aec2bcf12c4b
xcmzfsbd9t,I_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",9,models/I_learned__xcmzfsbd9t__seed-20260812.pt,df0871fb4ee4199d434c1f3de3c45e8ae2b2ddf2f6cafdc5fc3a152768545f1b
xcmzfsbd9t,I_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",28,models/I_learned__xcmzfsbd9t__seed-20260813.pt,5a780e46000c6ec13d1e0e509c3fea9e7f0b34614f41b9a6df55f0a2d32206af
xcmzfsbd9t,global_shuffle_cnn,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/global_shuffle_cnn__xcmzfsbd9t__seed-20260811.pt,ef3f9a83361cc5a2f4a0a2819483ef7a4b3f2634fe6840594f353e050d30e735
xcmzfsbd9t,global_shuffle_cnn,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",40,models/global_shuffle_cnn__xcmzfsbd9t__seed-20260812.pt,8aa0d18e3d27d182ce1dc6c74acb4c885d35b39fb701d5dc992a73b78b0670c9
xcmzfsbd9t,global_shuffle_cnn,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/global_shuffle_cnn__xcmzfsbd9t__seed-20260813.pt,7bfe8565b55d9cd17d7fc43171fb7f06034990448a99432790a889fbef1fc34a
xcmzfsbd9t,stratified_shuffle_cnn,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/stratified_shuffle_cnn__xcmzfsbd9t__seed-20260811.pt,4971a78d36351f4e9e6a56a4710fa8592bbe5903e25ee3cb192f608a1d4d2785
xcmzfsbd9t,stratified_shuffle_cnn,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",40,models/stratified_shuffle_cnn__xcmzfsbd9t__seed-20260812.pt,6cde1d5a72285ac128362bd448803b94b288f3fbe40b69b80892063f391d572c
xcmzfsbd9t,stratified_shuffle_cnn,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]","[""74t7kcdgkr""]",4,models/stratified_shuffle_cnn__xcmzfsbd9t__seed-20260813.pt,9f177c471193860b565737b9710bc07ffe63470ed5f5261acb5ba10cb32bd6ca
yfxyg8jm46,B_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",15,models/B_learned__yfxyg8jm46__seed-20260811.pt,4a7f12d922a94e0d2a558dc12c9fcdadd39af6afd341308c01762e2462fff8b4
yfxyg8jm46,B_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",6,models/B_learned__yfxyg8jm46__seed-20260812.pt,187fbe76f58606c7858d6b21ee5a412660eb74577d700c58ed99bc0a53831346
