outer_dataset_id,query_dataset_id,candidate,inner_mae,pca_dimension,state_sha256
74t7kcdgkr,cgtnjyggtm,B_morph,0.1553841444935547,,7a9c46b2b1b0cec8bc87c885d5689f0ca8c70773a83c9845e2683c2ce18eed79
74t7kcdgkr,cgtnjyggtm,B_frozen,0.1261067759256918,16,382fbd6329724e507a809adae45fe64f001e387e22dd290b218274ec490996be
74t7kcdgkr,cgtnjyggtm,B_combined,0.14452103495728089,32,09d75ef8cc7269fc22f9833840b15a5688f1e826011b825208db848c7cd63167
74t7kcdgkr,cgtnjyggtm,I_morph,0.14673043158032206,,3cd3c6b3ca6a4dc7c1c5afa156b8aa789b6785b6064d05f57faefa252a10189d
74t7kcdgkr,cgtnjyggtm,I_frozen,0.12636786708156483,8,290eb994993cc3d224ebb29e6c8a985389d124ce7cd7e9d0dabaf99f8cc285e1
74t7kcdgkr,cgtnjyggtm,I_combined,0.13764935198460676,8,5db085b9840f4c7873e3eb9292b273ced58d28d7d4e76ed41c370390d49362c1
74t7kcdgkr,w68dtmpfyf,B_morph,0.15830445719593098,,c6fee8ebafafaf4503a9fa402d1e21f0aa362a55a4a000f9da45855f12035816
74t7kcdgkr,w68dtmpfyf,B_frozen,0.11128957433075261,16,c45f07718423deee8bdbf97bd9698c68424da068a5a327ccde691e2cec14c1a0
74t7kcdgkr,w68dtmpfyf,B_combined,0.1263766718496757,32,4d8becade8c3c0c44020da02a45e14a544bcfcbcd0b21833449c491a89e2ceb2
74t7kcdgkr,w68dtmpfyf,I_morph,0.16507607625840323,,c1bdda5742d86b3697f1b029a19f21d22905d7a7046bcc56dfdd6e51a6f39969
74t7kcdgkr,w68dtmpfyf,I_frozen,0.0950923056282055,8,6e3dea43adf71046ab028cdd5c8c29b0349c882686a9ac4bbe3393720aa9bb90
74t7kcdgkr,w68dtmpfyf,I_combined,0.13273623824853964,8,e2e8dde37c584fdee535c31d38fe2eacdca4f296a6535dee1ac9b06f0db67d2e
74t7kcdgkr,xcmzfsbd9t,B_morph,0.15123017930514518,,d0a8069ae68a1c1eee44424b90d30fcf0e0420d4d013195ae8edb4efc2a05577
74t7kcdgkr,xcmzfsbd9t,B_frozen,0.1291679614635163,16,b65f257b7fddc2081fa2e06f97451a4b1df650e5d85e37039df62031388bcd70
74t7kcdgkr,xcmzfsbd9t,B_combined,0.2055552282119051,32,88492bfc963224812b2558647f0dda6b4aa2b14dfc1ba6597fb7d334065b9880
74t7kcdgkr,xcmzfsbd9t,I_morph,0.1595364290805327,,0bf8e867011e46113e1b999dbca4444e39074a76f6bb8014d58ff6e4d7da157e
