outer_domain,method,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse
ykhs7s2dck,mavis_full,0.0625,38,28178.0,0.06193647653588306,0.15223399231214074,0.0011340538536343064
ykhs7s2dck,mavis_full,0.09375,38,42043.36842105263,0.09241316281141364,0.15195096331482474,0.0009990240812995886
ykhs7s2dck,mavis_full,0.125,38,56077.05263157895,0.12325981455452015,0.1516209139433149,0.0009420120735429109
ykhs7s2dck,mavis_full,0.1875,38,84354.05263157895,0.18541389742076922,0.15091774780282266,0.0008328238607098865
ykhs7s2dck,mavis_full,0.25,38,112569.63157894737,0.24743297412671142,0.15016292763391972,0.0007454453021651244
ykhs7s2dck,mvd_m1_o2,0.03125,38,13987.578947368422,0.030745310357991912,0.15223429584803727,0.0010192542762143201
ykhs7s2dck,mvd_m1_o2,0.0625,38,28286.736842105263,0.0621754848710963,0.1519110711271519,0.0008969634765603748
ykhs7s2dck,mvd_m1_o2,0.09375,38,42376.63157894737,0.09314568980975353,0.151622121076834,0.0008334707251888219
ykhs7s2dck,mvd_m1_o2,0.125,38,56526.23684210526,0.1242471410970552,0.15132157252033687,0.0007810393049611842
ykhs7s2dck,mvd_m1_o2,0.1875,38,84987.52631578948,0.186806300287481,0.15064410949111767,0.0007218732012914638
ykhs7s2dck,mvd_m1_o2,0.25,38,113446.44736842105,0.24936025358483582,0.15000327406141886,0.0006708923636162484
ykhs7s2dck,spatial_probe,0.03125,38,13976.842105263158,0.030721710309403582,0.14042578997112767,0.0011627431329400456
ykhs7s2dck,spatial_probe,0.0625,38,27994.052631578947,0.06153215217403879,0.14000378446987255,0.0010558612311829404
ykhs7s2dck,spatial_probe,0.09375,38,42080.94736842105,0.09249576298147281,0.1393728756453988,0.0009939526894038938
ykhs7s2dck,spatial_probe,0.125,38,56225.5,0.12358610836355644,0.13879845411520741,0.0009480861877388408
ykhs7s2dck,spatial_probe,0.1875,38,84520.78947368421,0.18578039229296453,0.13762717056501642,0.0008940505450267299
ykhs7s2dck,spatial_probe,0.25,38,112581.02631578948,0.24745802025670835,0.1366285267751664,0.000834744212046282
