outer_domain,method,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse
74t7kcdgkr,mavis_full,0.03125,45,10429.977777777778,0.031185615457384668,0.09970848542116263,0.0014107699328911058
74t7kcdgkr,mavis_full,0.0625,45,20696.844444444443,0.06175573741574431,0.10009134300071537,0.0013031327345557839
74t7kcdgkr,mavis_full,0.09375,45,30705.733333333334,0.09171094092246802,0.10021901799243182,0.001208771950671055
74t7kcdgkr,mavis_full,0.125,45,41200.46666666667,0.12297801548705034,0.10022109676637828,0.0011590679678584958
74t7kcdgkr,mavis_full,0.1875,45,62398.688888888886,0.18626995430220178,0.10001821961862913,0.0010603514437053066
74t7kcdgkr,mavis_full,0.25,45,83313.44444444444,0.24868600675979072,0.099722093650416,0.0009647110818937685
74t7kcdgkr,mvd_m1_o2,0.03125,45,10429.977777777778,0.031185615457384668,0.09970848542116263,0.0014107699328911058
74t7kcdgkr,mvd_m1_o2,0.0625,45,20769.644444444446,0.061982667438007864,0.10008867826788156,0.0011722036638972025
74t7kcdgkr,mvd_m1_o2,0.09375,45,31050.244444444445,0.09275279337174229,0.10022270266448143,0.0010664837576053548
74t7kcdgkr,mvd_m1_o2,0.125,45,41361.71111111111,0.12358020810945522,0.10023358609017757,0.0009576907012282934
74t7kcdgkr,mvd_m1_o2,0.1875,45,62061.84444444445,0.18551616054885148,0.10001227666630304,0.0008184223037518899
74t7kcdgkr,mvd_m1_o2,0.25,45,83220.62222222223,0.24842365074070424,0.09968941008738559,0.0007294975394726204
74t7kcdgkr,spatial_probe,0.03125,45,10429.977777777778,0.031185615457384668,0.12853894989125478,0.0014107699328911058
74t7kcdgkr,spatial_probe,0.0625,45,20737.4,0.06188289466999617,0.1281192821834524,0.0013092380592866848
74t7kcdgkr,spatial_probe,0.09375,45,30963.31111111111,0.09250044076369354,0.12742582578923012,0.0012164575970106848
74t7kcdgkr,spatial_probe,0.125,45,41226.13333333333,0.12314876673193391,0.1274556565315648,0.001138186082518267
74t7kcdgkr,spatial_probe,0.1875,45,62537.15555555555,0.18641876102865812,0.12721751069843207,0.0010059377320675918
74t7kcdgkr,spatial_probe,0.25,45,83070.71111111112,0.24818918498649248,0.1266833796573733,0.000867790238060665
cgtnjyggtm,mavis_full,0.03125,49,13863.367346938776,0.03047228782709919,0.1399817514674026,0.001303742634706731
cgtnjyggtm,mavis_full,0.0625,49,27482.61224489796,0.060407983833163995,0.14002862087990245,0.0011600908693186708
cgtnjyggtm,mavis_full,0.09375,49,42108.36734693877,0.09255603329363399,0.14012050829268097,0.00108627984177616
cgtnjyggtm,mavis_full,0.125,49,56182.77551020408,0.1234921980661701,0.14021043849825418,0.0010295726859091664
cgtnjyggtm,mavis_full,0.1875,49,84290.14285714286,0.1852734209410767,0.1403980162595213,0.0009764514431154696
cgtnjyggtm,mavis_full,0.25,49,112744.44897959183,0.2478172304200282,0.14056978470913525,0.0009119400105160791
cgtnjyggtm,mvd_m1_o2,0.03125,49,14072.57142857143,0.03093212754933823,0.13999579994814487,0.0014487264626505104
cgtnjyggtm,mvd_m1_o2,0.0625,49,28219.836734693876,0.062028435508723764,0.140063741474457,0.0012990413155134532
cgtnjyggtm,mvd_m1_o2,0.09375,49,42400.63265306123,0.09319844522048845,0.14015775760252946,0.0011939903221268955
cgtnjyggtm,mvd_m1_o2,0.125,49,56555.244897959186,0.12431090207266553,0.14026752340994847,0.0010857669868637326
cgtnjyggtm,mvd_m1_o2,0.1875,49,84968.75510204081,0.18676504033858843,0.14043947338033505,0.0009446953880733629
cgtnjyggtm,mvd_m1_o2,0.25,49,113202.51020408163,0.24882406902754506,0.14062075705635402,0.0008348906303964838
cgtnjyggtm,spatial_probe,0.03125,49,13846.816326530612,0.030435907960282695,0.14615147884076962,0.0015578939973019117
cgtnjyggtm,spatial_probe,0.0625,49,27726.85714285714,0.06094484480241157,0.14600391193585707,0.0014866939332409809
cgtnjyggtm,spatial_probe,0.09375,49,41757.795918367345,0.09178546195926442,0.14585592172643363,0.0014224183689409426
cgtnjyggtm,spatial_probe,0.125,49,55768.73469387755,0.12258211824129586,0.14572154643140844,0.0013640789708693288
cgtnjyggtm,spatial_probe,0.1875,49,84507.28571428571,0.18575071043913774,0.14549515837040755,0.0011652896066952963
cgtnjyggtm,spatial_probe,0.25,49,112548.1836734694,0.24738583069231648,0.14528369961047186,0.0010776367686442761
w68dtmpfyf,mavis_full,0.03125,43,14138.0,0.031075942411253984,0.08973005337843926,0.0012305850458971365
w68dtmpfyf,mavis_full,0.0625,43,28181.25581395349,0.061943632957365616,0.09000339155378834,0.0011846035357320256
w68dtmpfyf,mavis_full,0.09375,43,42191.53488372093,0.09273883917731823,0.09026420462834554,0.001155350912114274
w68dtmpfyf,mavis_full,0.125,43,56266.6976744186,0.1236766626539589,0.09050967615692167,0.0011162284888653737
w68dtmpfyf,mavis_full,0.1875,43,84250.0,0.18518518518518517,0.0910054578309712,0.0010787456165702392
w68dtmpfyf,mavis_full,0.25,43,112451.0,0.24717221672711287,0.09144463829787479,0.0009823549553080013
w68dtmpfyf,mvd_m1_o2,0.03125,43,14006.46511627907,0.030786822983358764,0.08983021109363536,0.0010019806076117137
w68dtmpfyf,mvd_m1_o2,0.0625,43,28212.325581395347,0.06201192566522771,0.09008673347856025,0.0008420530761762151
w68dtmpfyf,mvd_m1_o2,0.09375,43,42445.441860465115,0.09329693781836491,0.0903632414805919,0.0007866443581823855
w68dtmpfyf,mvd_m1_o2,0.125,43,56611.32558139535,0.12443416986788736,0.09062314613094505,0.0007512722184300074
w68dtmpfyf,mvd_m1_o2,0.1875,43,85081.90697674418,0.1870137531085706,0.09110227644777606,0.000706318972084195
w68dtmpfyf,mvd_m1_o2,0.25,43,113441.27906976744,0.24934889343832825,0.0915313179928214,0.000659706818735271
w68dtmpfyf,spatial_probe,0.03125,43,14138.0,0.031075942411253984,0.09361008053054098,0.0012305850458971365
w68dtmpfyf,spatial_probe,0.0625,43,28177.53488372093,0.06193545418995698,0.0934966694154841,0.0011830113373574242
w68dtmpfyf,spatial_probe,0.09375,43,42162.232558139534,0.09267443138397524,0.09325943100780008,0.001153849265838772
w68dtmpfyf,spatial_probe,0.125,43,56307.83720930233,0.12376708915112061,0.09305419565468487,0.0011087537751835583
w68dtmpfyf,spatial_probe,0.1875,43,84378.16279069768,0.1854668926051163,0.09242465622024605,0.0010327378773296917
w68dtmpfyf,spatial_probe,0.25,43,112527.13953488372,0.24733957475521207,0.0918563140395643,0.0009501920688189506
xcmzfsbd9t,mavis_full,0.03125,59,10571.389830508475,0.03102560383019394,0.11963433555626375,0.002337223927755293
xcmzfsbd9t,mavis_full,0.0625,59,21052.338983050846,0.061880615116354426,0.11935854900850643,0.002244436035332292
xcmzfsbd9t,mavis_full,0.09375,59,31510.474576271186,0.09265689914385347,0.1190227864291942,0.002193356835558007
xcmzfsbd9t,mavis_full,0.125,59,41978.67796610169,0.12347878074413175,0.1185807951334842,0.002118379658133162
xcmzfsbd9t,mavis_full,0.1875,59,62987.76271186441,0.18533722499813868,0.11764687619035837,0.0019955484643713077
xcmzfsbd9t,mavis_full,0.25,59,84009.44067796611,0.24712955980888912,0.11660857012656943,0.0018582191853259223
xcmzfsbd9t,mvd_m1_o2,0.03125,59,10440.372881355932,0.030720778340049746,0.11950275943194097,0.0018052034394362955
xcmzfsbd9t,mvd_m1_o2,0.0625,59,21022.627118644068,0.061399665770847045,0.11917457272569876,0.0015513177293351363
xcmzfsbd9t,mvd_m1_o2,0.09375,59,31653.745762711864,0.09277504809557859,0.11885406024618883,0.001374557420877032
xcmzfsbd9t,mvd_m1_o2,0.125,59,42206.47457627119,0.12377430040248422,0.11846683141920032,0.001204463082017557
xcmzfsbd9t,mvd_m1_o2,0.1875,59,63568.08474576271,0.18654578687684986,0.11752316194120244,0.0009729496112881088
xcmzfsbd9t,mvd_m1_o2,0.25,59,84670.74576271187,0.24856771946064984,0.11652539792254932,0.0008103422068140842
xcmzfsbd9t,spatial_probe,0.03125,59,10591.915254237289,0.031131211682676296,0.11747463866704291,0.002220543551911999
xcmzfsbd9t,spatial_probe,0.0625,59,21041.491525423728,0.061521944004004646,0.117311673251363,0.002103745151385192
xcmzfsbd9t,spatial_probe,0.09375,59,31575.86440677966,0.09255227355594196,0.11708832779876525,0.0019722720486753252
xcmzfsbd9t,spatial_probe,0.125,59,42103.47457627119,0.12358202710001386,0.11687734007182299,0.0018735382366891257
xcmzfsbd9t,spatial_probe,0.1875,59,63226.457627118645,0.18573750069370717,0.11624864712758584,0.0017028223053601205
xcmzfsbd9t,spatial_probe,0.25,59,84239.15254237287,0.24759990412186542,0.11573297435071074,0.0015633582478507702
yfxyg8jm46,mavis_full,0.03125,42,13990.333333333334,0.030751364618822583,0.15055186734619874,0.001460313526822122
yfxyg8jm46,mavis_full,0.0625,42,27629.809523809523,0.06073152989077816,0.15021179355628747,0.0014028884326696943
yfxyg8jm46,mavis_full,0.09375,42,42173.92857142857,0.09270013973278068,0.14997452194667035,0.0013319550933880962
yfxyg8jm46,mavis_full,0.125,42,55908.857142857145,0.1228901135132589,0.1497570320759735,0.0012403131974703587
yfxyg8jm46,mavis_full,0.1875,42,84303.14285714286,0.18530199550971066,0.14939350047520183,0.001091564285844099
yfxyg8jm46,mavis_full,0.25,42,112640.64285714286,0.24758906002229444,0.14912892530699637,0.0010145718796262674
yfxyg8jm46,mvd_m1_o2,0.03125,42,13923.02380952381,0.030603415341298623,0.1504558746456262,0.0010913262943525468
yfxyg8jm46,mvd_m1_o2,0.0625,42,28214.095238095237,0.06201581544806075,0.15009316897558378,0.000958848556886188
yfxyg8jm46,mvd_m1_o2,0.09375,42,42414.02380952381,0.09322787956813675,0.14982861369819708,0.0008878007263843547
yfxyg8jm46,mvd_m1_o2,0.125,42,56582.0,0.12436971095724804,0.1496232234835842,0.0008468148081185904
yfxyg8jm46,mvd_m1_o2,0.1875,42,85100.30952380953,0.1870542027119673,0.14929494239180036,0.0007859716835807469
yfxyg8jm46,mvd_m1_o2,0.25,42,113486.97619047618,0.24944933770848707,0.14909135229628429,0.0007385782843745257
yfxyg8jm46,spatial_probe,0.03125,42,14120.047619047618,0.031036482292664293,0.12825141290321543,0.0014430868430089353
yfxyg8jm46,spatial_probe,0.0625,42,28272.02380952381,0.062143144981918474,0.12863152168992953,0.0013847657540447082
yfxyg8jm46,spatial_probe,0.09375,42,42346.47619047619,0.09307940694686491,0.12869983059760176,0.0013345172781395098
yfxyg8jm46,spatial_probe,0.125,42,56327.333333333336,0.12380994248452211,0.12884911470693794,0.0012802310370760863
yfxyg8jm46,spatial_probe,0.1875,42,84470.23809523809,0.18566927815196857,0.1289122717504768,0.0012255911843861037
yfxyg8jm46,spatial_probe,0.25,42,112342.47619047618,0.24693367664683194,0.12896431955862814,0.0011875734140429058
ykhs7s2dck,mavis_full,0.03125,38,14138.0,0.031075942411253988,0.15248599825841802,0.0011911209918037944
