method,nominal_checkpoint,domain_count,mean_exact_acquired_cost,mean_effective_budget,domain_balanced_cai_mae,worst_domain_cai_mae,domain_balanced_reconstruction_mse
mavis_full,0.03125,6,12855.178048093061,0.030931126092668057,0.12534874857131417,0.15248599825841802,0.0014889593433126973
mavis_full,0.0625,6,25536.810168359374,0.06144266262488159,0.1253212817185568,0.15223399231214074,0.0014048675768737957
mavis_full,0.09375,6,38455.56785545757,0.09246266918024466,0.12525866710069128,0.15195096331482474,0.0013291231191345301
mavis_full,0.125,6,51269.08793197119,0.12329593083651502,0.1251499920957211,0.1516209139433149,0.0012675956786299112
mavis_full,0.1875,6,77097.29832443633,0.18546361305951373,0.12489663636291741,0.15091774780282266,0.0011725808523860516
mavis_full,0.25,6,102954.7680896821,0.24763784131080446,0.1246061566208186,0.15016292763391972,0.0010795404024725272
mvd_m1_o2,0.03125,6,12809.99832681274,0.030829011671570327,0.1252879043980912,0.15223429584803727,0.0012962101688594153
mvd_m1_o2,0.0625,6,25787.544326563042,0.061935665783660575,0.12523632767488888,0.1519110711271519,0.0011200713030614284
mvd_m1_o2,0.09375,6,38723.45335152564,0.09306613231401074,0.12517474946147045,0.151622121076834,0.001023824551727474
mvd_m1_o2,0.125,6,51640.49883480702,0.12411940541779926,0.1250893138423654,0.15132157252033687,0.0009378411836032276
mvd_m1_o2,0.1875,6,77628.0711847652,0.1866168739787181,0.12483604005308908,0.15064410949111767,0.0008250385266782946
mvd_m1_o2,0.25,6,103578.09680294672,0.24899565399342505,0.12457691823613558,0.15000327406141886,0.0007406513072348722
spatial_probe,0.03125,6,12850.599847142743,0.030931145018944253,0.12574205846732522,0.14615147884076962,0.0015042704173251892
spatial_probe,0.0625,6,25658.226665517428,0.061660072470387774,0.12559447382432645,0.14600391193585707,0.001420552577749655
spatial_probe,0.09375,6,38481.104592215816,0.09251462959853547,0.12528370209420495,0.14585592172643363,0.0013489112080015211
spatial_probe,0.125,6,51326.50219101962,0.12341267534540713,0.12512605125193774,0.14572154643140844,0.0012854790483458679
spatial_probe,0.1875,6,77273.34820942998,0.18580392253525876,0.12465423578869411,0.14549515837040755,0.0011710715418109224
spatial_probe,0.25,6,102884.78156135046,0.2474843652432378,0.12419153566531911,0.14528369961047186,0.0010802158249106416
