outer_domain,specimen_id,method,cai_auebc,reconstruction_auebc,statistical_unit
74t7kcdgkr,c8-10t,mavis_full,0.1613828854126965,0.00060400000673121,physical_specimen
74t7kcdgkr,c8-10t,mvd_m1_o2,0.16137481126606118,0.000572652196211923,physical_specimen
74t7kcdgkr,c8-10t,spatial_probe,0.1472691690553339,0.0005282870764130266,physical_specimen
74t7kcdgkr,c8-11,mavis_full,0.18698560792917238,0.0030338630441722374,physical_specimen
74t7kcdgkr,c8-11,mvd_m1_o2,0.18713901993897372,0.0026528883874168837,physical_specimen
74t7kcdgkr,c8-11,spatial_probe,0.10372028323118812,0.003225269039453743,physical_specimen
74t7kcdgkr,c8-12,mavis_full,0.11959190506243159,0.0015728023964852057,physical_specimen
74t7kcdgkr,c8-12,mvd_m1_o2,0.11960113174823035,0.0014790278536195487,physical_specimen
74t7kcdgkr,c8-12,spatial_probe,0.07039349813153417,0.001688997329635571,physical_specimen
74t7kcdgkr,c8-12t,mavis_full,0.07162924756949668,0.0004888797176318552,physical_specimen
74t7kcdgkr,c8-12t,mvd_m1_o2,0.07168619914969707,0.0005863752732719817,physical_specimen
74t7kcdgkr,c8-12t,spatial_probe,0.025001582924144214,0.0004456515541326728,physical_specimen
74t7kcdgkr,c8-13,mavis_full,0.04916620470921247,0.0021594215399593723,physical_specimen
74t7kcdgkr,c8-13,mvd_m1_o2,0.048969370565841115,0.0015763920634492379,physical_specimen
74t7kcdgkr,c8-13,spatial_probe,0.05868312983646821,0.0019258867648387823,physical_specimen
74t7kcdgkr,c8-14,mavis_full,0.040714607985887497,0.0005450088545873842,physical_specimen
74t7kcdgkr,c8-14,mvd_m1_o2,0.040618540110066735,0.0005729365476592911,physical_specimen
74t7kcdgkr,c8-14,spatial_probe,0.06489527476972529,0.000574962215521866,physical_specimen
74t7kcdgkr,c8-15,mavis_full,0.13074400155166857,0.00130206493631204,physical_specimen
74t7kcdgkr,c8-15,mvd_m1_o2,0.1305480642611722,0.0007948234289171812,physical_specimen
74t7kcdgkr,c8-15,spatial_probe,0.022003106252062966,0.0012957571591133352,physical_specimen
74t7kcdgkr,c8-16,mavis_full,0.10028825805431357,0.005319458570740133,physical_specimen
74t7kcdgkr,c8-16,mvd_m1_o2,0.10003162685080219,0.0024762911836330227,physical_specimen
