method,budget,state,mae_mpa,equal_domain_mae_mpa,rmse_mpa,r2,gap_to_full_input_mae_mpa,specimen_count
CENTER_FIRST,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
CENTER_FIRST,0.0625,INTERMEDIATE,73.352614402771,73.352614402771,100.30645503535042,-0.1246913638140581,7.558160146077469,24
CENTER_FIRST,0.125,INTERMEDIATE,72.7151034673055,72.7151034673055,99.54748304541528,-0.10773572897712791,6.92064921061197,24
CENTER_FIRST,0.1875,INTERMEDIATE,71.26196956634521,71.26196956634521,98.23048579976863,-0.07861928217398217,5.467515309651688,24
CENTER_FIRST,0.25,ENDPOINT,70.72624047597249,70.72624047597249,97.45032224492748,-0.061554156630230006,4.931786219278962,24
GEOMETRY_SPREAD,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
GEOMETRY_SPREAD,0.0625,INTERMEDIATE,71.93261369069417,71.93261369069417,98.95675378191946,-0.09462780656158243,6.138159434000642,24
GEOMETRY_SPREAD,0.125,INTERMEDIATE,72.35446262359619,72.35446262359619,99.21116892140398,-0.10026355895681016,6.5600083669026645,24
GEOMETRY_SPREAD,0.1875,INTERMEDIATE,71.82746092478435,71.82746092478435,98.44810605464151,-0.0834037319599279,6.03300666809082,24
GEOMETRY_SPREAD,0.25,ENDPOINT,71.32145531972249,71.32145531972249,97.84727104593715,-0.07021992311407543,5.527001063028962,24
LEARNED_STATIC,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
LEARNED_STATIC,0.0625,INTERMEDIATE,72.27694945865208,72.27694945865207,98.74227695826798,-0.0898880012272667,6.482495201958557,24
LEARNED_STATIC,0.125,INTERMEDIATE,71.20245880550807,71.20245880550807,97.91474014710325,-0.07169633977923007,5.408004548814546,24
LEARNED_STATIC,0.1875,INTERMEDIATE,71.02131070031061,71.0213107003106,97.5634617792392,-0.06402050995166841,5.226856443617081,24
LEARNED_STATIC,0.25,ENDPOINT,70.3486132091946,70.3486132091946,96.85195922554718,-0.048557901120156455,4.554158952501069,24
NO_VLM_FEEDBACK,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
NO_VLM_FEEDBACK,0.0625,INTERMEDIATE,71.91647879282634,71.91647879282634,97.98328465705137,-0.07319733161152309,6.1220245361328125,24
NO_VLM_FEEDBACK,0.125,INTERMEDIATE,70.6168868806627,70.6168868806627,97.00846688431392,-0.0519494677524579,4.822432623969178,24
NO_VLM_FEEDBACK,0.1875,INTERMEDIATE,70.18368180592854,70.18368180592854,96.56790269955681,-0.04241630241103622,4.389227549235017,24
NO_VLM_FEEDBACK,0.25,ENDPOINT,69.87195110321045,69.87195110321046,96.25965531815139,-0.03577208104691265,4.077496846516922,24
RANDOM,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
RANDOM,0.0625,INTERMEDIATE,72.39406935373943,72.39406935373941,99.64971385427044,-0.11001208724824996,6.599615097045898,24
RANDOM,0.125,INTERMEDIATE,72.13753244611952,72.13753244611952,98.96358165471956,-0.09477886724188722,6.343078189425995,24
RANDOM,0.1875,INTERMEDIATE,71.1596080991957,71.1596080991957,97.94167499051242,-0.07228603533158573,5.365153842502167,24
RANDOM,0.25,ENDPOINT,70.68730301327176,70.68730301327176,97.08264839852008,-0.05355891573793459,4.892848756578232,24
SERPENTINE,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
SERPENTINE,0.0625,INTERMEDIATE,73.67341264088948,73.67341264088948,101.00316515041806,-0.1403694208959516,7.878958384195954,24
SERPENTINE,0.125,INTERMEDIATE,72.62440713246663,72.62440713246663,99.96486659752621,-0.11704425056195067,6.8299528757731025,24
SERPENTINE,0.1875,INTERMEDIATE,72.12467543284099,72.12467543284099,99.34860497315972,-0.10331403441956444,6.330221176147461,24
SERPENTINE,0.25,ENDPOINT,71.50168641408284,71.50168641408284,98.72107254515696,-0.0894199554274524,5.707232157389313,24
VLM_CAI_FEEDBACK_AGENT,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
VLM_CAI_FEEDBACK_AGENT,0.0625,INTERMEDIATE,72.38922087351482,72.3892208735148,98.73783324793285,-0.0897899067180854,6.594766616821289,24
VLM_CAI_FEEDBACK_AGENT,0.125,INTERMEDIATE,71.01007578108046,71.01007578108046,97.5831232501964,-0.06444940650668185,5.215621524386933,24
VLM_CAI_FEEDBACK_AGENT,0.1875,INTERMEDIATE,70.5993070602417,70.59930706024171,97.16612727063841,-0.05537155114457226,4.804852803548172,24
VLM_CAI_FEEDBACK_AGENT,0.25,ENDPOINT,70.13168218400743,70.13168218400743,96.5271214188484,-0.041536049360106686,4.337227927313904,24
VLM_OPEN_LOOP,0.0,ZERO_CSCAN,76.25640265146892,76.25640265146892,104.49215046005781,-0.2205144633406393,10.46194839477539,24
VLM_OPEN_LOOP,0.0625,INTERMEDIATE,71.95666450924345,71.95666450924345,98.45978041598734,-0.08366069569614654,6.162210252549926,24
VLM_OPEN_LOOP,0.125,INTERMEDIATE,71.08446958329942,71.08446958329942,97.63456517125178,-0.06557197265230652,5.2900153266058965,24
VLM_OPEN_LOOP,0.1875,INTERMEDIATE,70.92595132191975,70.92595132191975,97.41620477889225,-0.06081098416760322,5.1314970652262275,24
VLM_OPEN_LOOP,0.25,ENDPOINT,70.72751140594482,70.72751140594482,96.93638025109662,-0.05038664910728996,4.933057149251297,24
FULL_INPUT_COMMON_PREDICTOR,1.0,FULL_64_CELL_INPUT,65.79445425669353,65.79445425669353,89.92831708654514,0.0959997963383864,0.0,24
