method,budget,dataset_id,mae_mpa,gap_to_full_input_mae_mpa,specimen_count
GEOMETRY_SPREAD,0.25,74t7kcdgkr,52.472686767578125,11.731868743896484,4
GEOMETRY_SPREAD,0.25,cgtnjyggtm,67.97749900817871,-1.2312240600585938,4
GEOMETRY_SPREAD,0.25,w68dtmpfyf,74.45686340332031,12.803756713867188,4
GEOMETRY_SPREAD,0.25,xcmzfsbd9t,115.39657592773438,4.814380645751953,4
GEOMETRY_SPREAD,0.25,yfxyg8jm46,71.92878341674805,6.3208465576171875,4
GEOMETRY_SPREAD,0.25,ykhs7s2dck,45.69632339477539,-1.2776222229003906,4
LEARNED_STATIC,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
LEARNED_STATIC,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
LEARNED_STATIC,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
LEARNED_STATIC,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
LEARNED_STATIC,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
LEARNED_STATIC,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
LEARNED_STATIC,0.0625,74t7kcdgkr,53.827421824137375,13.086603800455734,4
LEARNED_STATIC,0.0625,cgtnjyggtm,67.19637616475424,-2.0123469034830634,4
LEARNED_STATIC,0.0625,w68dtmpfyf,75.08222961425781,13.429122924804688,4
LEARNED_STATIC,0.0625,xcmzfsbd9t,115.36672973632812,4.784534454345703,4
LEARNED_STATIC,0.0625,yfxyg8jm46,75.6295077006022,10.021570841471345,4
LEARNED_STATIC,0.0625,ykhs7s2dck,46.559431711832694,-0.4145139058430871,4
LEARNED_STATIC,0.125,74t7kcdgkr,52.0866953531901,11.345877329508461,4
LEARNED_STATIC,0.125,cgtnjyggtm,65.59629122416179,-3.612431844075516,4
LEARNED_STATIC,0.125,w68dtmpfyf,74.50506591796874,12.85195922851561,4
LEARNED_STATIC,0.125,xcmzfsbd9t,114.5157267252604,3.933531443277971,4
LEARNED_STATIC,0.125,yfxyg8jm46,75.2844098409017,9.676472981770843,4
LEARNED_STATIC,0.125,ykhs7s2dck,45.22656377156576,-1.7473818461100237,4
LEARNED_STATIC,0.1875,74t7kcdgkr,51.839880625406906,11.099062601725265,4
LEARNED_STATIC,0.1875,cgtnjyggtm,65.33506329854328,-3.8736597696940294,4
LEARNED_STATIC,0.1875,w68dtmpfyf,74.20402018229167,12.550913492838546,4
LEARNED_STATIC,0.1875,xcmzfsbd9t,114.55257924397789,3.9703839619954664,4
LEARNED_STATIC,0.1875,yfxyg8jm46,75.3692970275879,9.761360168457045,4
