dataset_id,decode_mode,decoded_pixel_equal,interpolation,operation,panel_count,panel_index,panel_x0,panel_x1,panel_y0,panel_y1,processing_status,raw_cscan_path,raw_decoded_rgb_sha256,raw_file_sha256,recovered_height_px,recovered_panel_rgb_sha256,recovered_width_px,reflection,registered_crop_file_sha256,registered_crop_rgb_sha256,registered_cscan_crop_path,registered_height_px,registered_width_px,resize,rotation,schema_version,screenshot_height_px,screenshot_width_px,specimen_id,surface_path
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,1,0,31,706,33,707,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/C8-10t.jpg,c72fd774616deff8bfb9d46c2642e143ccb7a22eb5b14da3f6c6818571b663cb,757efdacd2eb9319e137e373378c510c57875fb0d14f2c6a21accd329852fc57,674,8f2884ce4971f09649b805398573e3a740455b1f8ebeddc0b13ad436a497ee6a,675,NONE,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,8f2884ce4971f09649b805398573e3a740455b1f8ebeddc0b13ad436a497ee6a,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-10t.png,674,675,NONE,IDENTITY,1,891,891,c8-10t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-10t.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,1,464,816,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-7and11.jpg,66304df20357f172195bc4614dc8812bfb37262d852271e8dcff04b2f664bcd2,ed33c60dd2ae0767d4c85627d6540c9a083658895399f3848f5b855b973900eb,338,a556744f5bf24a2571ece59e91d7caa833b17b59d947113d0ade1fd685879115,352,NONE,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,a556744f5bf24a2571ece59e91d7caa833b17b59d947113d0ade1fd685879115,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-11.png,338,352,NONE,IDENTITY,1,581,996,c8-11,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-11.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,1,464,816,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-10and12.jpg,e0566a234dc573c46169c04c0d353314b960275988d5cbeb3529907d3bf224d6,5e8d5044578091416ffb4416935528bc2bcae39907f8ca5d695a66efd0004a6d,338,335a44778f1c011b27db24d3f37be5e57355f8f92589d17158fc791a038a453d,352,NONE,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,335a44778f1c011b27db24d3f37be5e57355f8f92589d17158fc791a038a453d,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12.png,338,352,NONE,IDENTITY,1,581,996,c8-12,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,1,0,31,706,33,707,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/C8-12t.jpg,c3b6d9f8871f577a56985d608ba65aee9d2221c57946471ccad84ecebf2421e0,c8acbcef3681cf57b62b53d99fe41d3ccfb44b20cc2159adb3eabfcbb0f2468e,674,0d87125541373cf16d687b76d197f8f82d08470264378400ac5743e56bede0e7,675,NONE,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,0d87125541373cf16d687b76d197f8f82d08470264378400ac5743e56bede0e7,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12t.png,674,675,NONE,IDENTITY,1,891,891,c8-12t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12t.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,0,30,370,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-13and16.jpg,d99c4226fbee0fc7445fc6f8163b2a43de4bd8111d9071010ce347e5fa9db7c0,b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f,338,9fffe57f06ed379cceffa29d909c18bb508d23b7ae08319105a5b0ed541cd9ad,340,NONE,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,9fffe57f06ed379cceffa29d909c18bb508d23b7ae08319105a5b0ed541cd9ad,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-13.png,338,340,NONE,IDENTITY,1,581,996,c8-13,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-13.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,0,30,370,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-14and15.jpg,133741005ca0fa6a95148449a09ae3209fd8012caba0f4aec44f83b1f64eceef,efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623,338,178a085f817fb62f7f20db3670127f846d8b5c62f2f3c0b7ae27d70b0e939fd2,340,NONE,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,178a085f817fb62f7f20db3670127f846d8b5c62f2f3c0b7ae27d70b0e939fd2,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-14.png,338,340,NONE,IDENTITY,1,581,996,c8-14,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-14.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,1,464,816,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-14and15.jpg,133741005ca0fa6a95148449a09ae3209fd8012caba0f4aec44f83b1f64eceef,efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623,338,dccbeaf989fcdf8bbde281f25cec7bcad97fdd2d7a7044791bc4afcd72ed8721,352,NONE,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,dccbeaf989fcdf8bbde281f25cec7bcad97fdd2d7a7044791bc4afcd72ed8721,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-15.png,338,352,NONE,IDENTITY,1,581,996,c8-15,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-15.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,1,464,816,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-13and16.jpg,d99c4226fbee0fc7445fc6f8163b2a43de4bd8111d9071010ce347e5fa9db7c0,b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f,338,860ae09234acd8837176984a81bbb4fdf97f93e94f2589d5840f7db640b4da91,352,NONE,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,860ae09234acd8837176984a81bbb4fdf97f93e94f2589d5840f7db640b4da91,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-16.png,338,352,NONE,IDENTITY,1,581,996,c8-16,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-16.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,0,30,370,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-17and18.jpg,2d1c738c3ccdcafa5bff746933d400f2b7c0cbe7c73611aa65c5d67c8258bedd,5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea,338,147fb22bba2d85565a2bb8f9e10f564fc278db6ce3590f6cf2927666dcd3fb8c,340,NONE,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,147fb22bba2d85565a2bb8f9e10f564fc278db6ce3590f6cf2927666dcd3fb8c,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-17.png,338,340,NONE,IDENTITY,1,581,996,c8-17,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-17.png
74t7kcdgkr,RGB,True,NONE,AXIS_ALIGNED_CROP,2,1,464,816,33,371,PASS_EXACT_DECODED_RGB_REPLAY,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-17and18.jpg,2d1c738c3ccdcafa5bff746933d400f2b7c0cbe7c73611aa65c5d67c8258bedd,5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea,338,8fa97817c430ce9045f19f5fdb044e9e5cd1d2be0fdcffc12ad25c8e13dcbfff,352,NONE,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,8fa97817c430ce9045f19f5fdb044e9e5cd1d2be0fdcffc12ad25c8e13dcbfff,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-18.png,338,352,NONE,IDENTITY,1,581,996,c8-18,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-18.png
