cell_id,column,cscan_x0,cscan_x1,cscan_y0,cscan_y1,dataset_id,round_trip_max_abs_error_px,round_trip_status,row,specimen_id,surface_x0,surface_x1,surface_y0,surface_y1,transform_sha256
0,0,0.000000000000,84.250000000000,0.000000000000,84.125000000000,74t7kcdgkr,0,PASS,0,c8-10t,0.000000000000,209.750000000000,1468.250000000000,1678.000000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
1,1,84.250000000000,168.500000000000,0.000000000000,84.125000000000,74t7kcdgkr,0,PASS,0,c8-10t,0.000000000000,209.750000000000,1258.500000000000,1468.250000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
10,2,168.500000000000,252.750000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,1048.750000000000,1258.500000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
11,3,252.750000000000,337.000000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,839.000000000000,1048.750000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
12,4,337.000000000000,421.250000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,629.250000000000,839.000000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
13,5,421.250000000000,505.500000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,419.500000000000,629.250000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
14,6,505.500000000000,589.750000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,209.750000000000,419.500000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
15,7,589.750000000000,674.000000000000,84.125000000000,168.250000000000,74t7kcdgkr,0,PASS,1,c8-10t,209.750000000000,419.500000000000,0.000000000000,209.750000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
16,0,0.000000000000,84.250000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,1468.250000000000,1678.000000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
17,1,84.250000000000,168.500000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,1258.500000000000,1468.250000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
18,2,168.500000000000,252.750000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,1048.750000000000,1258.500000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
19,3,252.750000000000,337.000000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,839.000000000000,1048.750000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
2,2,168.500000000000,252.750000000000,0.000000000000,84.125000000000,74t7kcdgkr,0,PASS,0,c8-10t,0.000000000000,209.750000000000,1048.750000000000,1258.500000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
20,4,337.000000000000,421.250000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,629.250000000000,839.000000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
21,5,421.250000000000,505.500000000000,168.250000000000,252.375000000000,74t7kcdgkr,0,PASS,2,c8-10t,419.500000000000,629.250000000000,419.500000000000,629.250000000000,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
