coordinate_basis,dataset_id,destination_height_px,destination_width_px,evidence_class,evidence_hashes,evidence_roles,mapping_basis,offset_x,offset_y,orientation,orientation_selection_inputs,outer_frame_crop,physical_mm_used_for_cross_modal_mapping,scale_x,scale_y,source_height_px,source_width_px,specimen_id,status,transform_sha256
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504;931df138e4de133d3afc58cfdff0ab867c0ab53e4af30f07fa3aaba72e833042;3e021ed85ba7b5f6664a410d373c67625fb30fe65f93387bfa98f0a151100008,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-19,AUTHORIZED,f099c98278ef2553e008249200eff45b77646ef77a200ab9c057789a3ecba104
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,340,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d;41a09ef89a9353fe54596a9c42cbb7dc6681c3ca6efce0ff407330dd6a8e9b36;2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,339.0,337.0,1500,1500,c8-2,AUTHORIZED,b99c447288685fdd152fa0c78229b55bfc8954a9933e0ba747c17c11ff023efd
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d;47da22bc73dbb61f4ef2d54ba5d6f98cbd14f088d6702f233e4b818aef4450fa;89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-20,AUTHORIZED,6a4a4b8d94fae88d7930702fcd1e9bd6b9ba8bccae8cecc62fe748afe5776f1a
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0;62c923192f12ca0716be2b0c0980a5239cc8960322b6658ff69ab866883fff4e;0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-21,AUTHORIZED,f126264863c012c8517049923111409fd33248bb5d5bd6fb2f704cbcc816f260
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;2026cfc1c6ab67bd5747beb82f865ba504312de6c6bc3da8a35ac98428b7306c;64d65c73146ed11c9727ba1a19258f04dd39c20dff362e5d4e11c932d04059ae;72449713a844dc00d887b80beb89128d128360b0a348d56f5ed86f960a1decbf,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-22,AUTHORIZED,dd027c5173982e8555f5fddd1b7e9a9b582a91f15540d432540ad4c1b0e6fdb7
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;a61eebadb40109142b8e617c65758734f821c0cf1e888e95050b0324638260f9;2ddf3941c55e1dff110a5d91a246d1a01e1de9f6913502e093114ee2e7a6c81a;c40a82ffa3d70161a862fe223e51ce9e64f22b5215c68c330f5c70cfdfc52204,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-23,AUTHORIZED,00dc2ec731aead111a85bb87e0d920d715ae66f146c5f153db51915d1a346f32
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;24e38e280270b8ecc32da327dc06f0f1c88be32a8481e4885a2a07d203d3cc22;e7deccd0cbc7fcf8ec061885ab0bb57bd6b019dbfa366f0f590204bc82b931a3;39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-24,AUTHORIZED,aee0b32a85679f054d1edead0bbee0faee99df80ab39f553931dfe671479b1af
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;04bf38f0af77606bb6c58205ba4b04119eea06c06dce5c9d3b08c10c0b4abc28;9f582206a9ae203b7419c43c5548640568137a41a924b526ee2c0f295b23d157;d47d110fd874cb7e4d43fee4ef0c2f552f449bc3c349da382148b25fa3a3529a,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-25,AUTHORIZED,233dbd6524b6cc494864f61d2b950a88f2a5d7e246a4344953b35f9eb608620e
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;9f36e3dfc047806d190e6e32852134770bd2446d32a0b9dcb7dfbca5539f5d75;7c955e57ac19ae74e48276f27c225b0a2f0cd79ad8a96e9f19c8cc467e6c05c5;059b1f52a71da61747b4a5d5dd286e2524edc34c7f6a37145c0c6e36ab668ba2,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-26,AUTHORIZED,a78af72f97230412a09e15198fb8a36981db964891c951a5cc9a58390851e748
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;9ba59ca7334a7d47d3ba3346652a548999ced0e75a4e6f22f45efb3b79dcc14b;9215383c8d006746682b947166eba22ba3077840bddd9f255a107ade02f6c2d0;3b880ac4fd2077eb152973bcc8bdcf58fb41027119fb805a04fa653e2d943fa7,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,3357,3357,c8-27,AUTHORIZED,47617c7defb529bf589f0ab00a304d57f5100618b707220461a974165f18eb9e
