specimen_id,dataset_id,height,width,native_count,source_image_sha256,decoded_image_sha256,policy_context_state_sha256
c8-2,74t7kcdgkr,338,340,114920,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,7d593ca2423ece016ecf2db80a0482a8e74398de58bd91d2b75158a2538a7db1,2c291bb9e440f80e8e15e49bdac9685ea2a790995d7e6db045d91d8da268bf46
c8-3,74t7kcdgkr,338,352,118976,e6e77cc9b13aa9321d2bf77103474c08b9c88d9a3ab037008ef010c1cb5896a7,ed3902181e8ed93c5298bec5b3e21692f7f360c8f84d6810b869092eab8c708b,ec50ab0d02fa3b51fb35b28d9c69753913a5e3474aa2dfebebac54d19d9d9816
c8-4,74t7kcdgkr,338,352,118976,259485b737b1fa4536f5bc93b4db6d30a41b46e0549073847bb6334f8438b5b3,0abb7b10194872bd0c03aaf868ad020379d1ed7437ace3dd247d4dea562a1e52,a7337b95d577dc3b440888afe69883208db6230d348c2c292a532e6f7f821171
c8-5,74t7kcdgkr,338,340,114920,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,8a74ff272148c610ebcafd8edfd83df08700dae9953e03b0eed4579ad0a3b189,e0ad8847126aba763cde8990719adc232af8d07227fffaefb545a959d62371fd
c8-6,74t7kcdgkr,338,352,118976,dd422879e64dc2588dc58eb89af69338bf8a619229b66249e6e6bcd283befde7,22302e0e8adcf8c4a82132beaec721a346c4d43f7bd9865dd6ac2284a8e4e3ae,66d8db2b6a2b951bd35611261753ee8919f221884bb0250b4cd7140f3e97223a
c8-6t,74t7kcdgkr,674,675,454950,4391215c4c9c08afa9eb4bb0a43990207917df963b1bef43105096b854486f7b,26a8805ed49d33d0dae65be87800a876967d6b158cfad14d88262be81ce12ab1,c21478d77842475a437e0478e2b14ccba5725f00d7384b3351a5096a459c8c0b
c8-7,74t7kcdgkr,338,340,114920,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,7d4bb2bd37df4c1334ff1e707e2476a920e92d999beb67e03704f8cc55eb2aba,7a28f475654a9cd0752b0d8e6ccb4d36668e263cf95a34b5cb557cd7ab7313d0
c8-8,74t7kcdgkr,338,340,114920,deaa56464ad0eb4c19b66f73847847a626994efe1008e1108ccc0088f891f1e6,6d21044d5ee9112339fe06dca99e67d813f686607e0977f9a59e17adb83f4c1d,cf501cebdc045a64f2b08cc7da986a93cbd4c601af70c3f7f4c767d89246cb51
c8-8t,74t7kcdgkr,674,675,454950,184e5d418e958c2d3b94056f8334ef86614cbc20c9480d7843a9887375ce547b,ce6b09a27cf219ebea6309b83616b0ee9ff51d786a9184076341a40fbf1800e8,d6be8e1a0a15c103367432e051280114b99b2345b85ac1265643eb36faed15f1
c8-9,74t7kcdgkr,338,352,118976,b6fb1ea0e6ffdfa5276a4a95a0fb33b86871cd341974fcc836c248468cb39aa8,fadcd1117bcc1b090a6807365dd3b5ce807bd7026343ee162227c0ca9f88d49a,140c05e74fbfac0bc12cb8048865a407c9e1c65edf7690f5e7320488e5a33950
c8-9t,74t7kcdgkr,674,675,454950,fc611b4c93553b7ff179254696bf75cde070663a8cd2a739919faa634bd5f518,cb33db1af91de010930fd8a9bbd3ec4fe6a91bdf883cf8768c98d1a0440b8751,0610b4a82fcebc2cd7cea8c0ef17b3a1494c2e646b7baf0257c985a0a86628e1
c8-10t,74t7kcdgkr,674,675,454950,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,ee9d570d113500433a1b4323ec5b2bea45dbef910d40c81bb2c99b96751a9bc7,6c9a1aba069c4e1f8d1bd6d3008ab228f6cf113528f2ae5afeac890acedce63f
c8-11,74t7kcdgkr,338,352,118976,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,ee3cbf50c7976c4d64e2f525d0efc7daa5f1c10b95e7be89929bc16f98816c14,b37b205d1f6ce738faf5f9c3754e406a2b19c7c165a785e19b60815c128c8fb2
c8-12,74t7kcdgkr,338,352,118976,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,1d546215c8dd905736cbc7fdb62e6cdc1adf39e3602d33f0314305f072745415,54a5f27ab120e36053d7bd0d3977b40e15b92a96bbfd75c66834f10e69be6e20
c8-12t,74t7kcdgkr,674,675,454950,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,d11300e88e60906d98a7b45bb00fd943753a9539b7303bf041eea33f7a5aa0ef,17aacecd85a6fe9e12e4747c6d4f564522435b29fd7a9ae8a1936076a451d3c2
c8-13,74t7kcdgkr,338,340,114920,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,3e7246d4bcd165d3d099cb9c54c398d6e4bab6d725282e6cb2d41bfb41e95b00,b5c0e16a01cc176a0b8fe69618400db16dd75275a113f88b776c84591145d750
c8-14,74t7kcdgkr,338,340,114920,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,cc01de1701992520506fd0cba604ab212d69d1e141b9f0ccd93832e6ebda194e,8a9e1ccf86f84886eded4f378bfc739bc284deb239f89469b59d056551f4dfce
c8-15,74t7kcdgkr,338,352,118976,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,5fb66a74b59cb290ba49bd274278b33ad210947fc58871effdb8ea8279a79fdd,202851cf95724f0e91e06966baf461636155f664d199b237cd95b5c6b7cbc927
c8-16,74t7kcdgkr,338,352,118976,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,11ad78f3eaa048a76c6204d945afa2245cfd6bbfe8843e1b71c3adeee642c01c,916626cab279497d8e10d32cc79e2a9d6c7235bafcd7ff885ec0284504aae7ef
c8-17,74t7kcdgkr,338,340,114920,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,c7c07e67733d77170dd88520541ba697a51ad0027ce74c5105f4a572248efd75,b507b2e4989ad34547ad05baa8d9fdd0da1ee531ed5b0cc323ffc025659a6812
