specimen_id,dataset_id,pair,normalized_topk_centroid_distance,topk_mean_radial_difference
c8-30,74t7kcdgkr,huber__shallow_mlp,0.258145115115786,0.291565729952367
c8-30,74t7kcdgkr,ridge__huber,0.324290787389198,0.084106034838154
c8-30,74t7kcdgkr,ridge__shallow_mlp,0.072153753182301,0.207459695114213
c8-32,74t7kcdgkr,huber__shallow_mlp,0.072153753182301,0.1503976183258
c8-32,74t7kcdgkr,ridge__huber,0,0
c8-32,74t7kcdgkr,ridge__shallow_mlp,0.072153753182301,0.1503976183258
c8-33,74t7kcdgkr,huber__shallow_mlp,0.260154056815958,0.233529834915529
c8-33,74t7kcdgkr,ridge__huber,0.073582679091102,0.014236688227831
c8-33,74t7kcdgkr,ridge__shallow_mlp,0.194145893780005,0.219293146687698
c8-34,74t7kcdgkr,huber__shallow_mlp,0.09680441816842,0.094917748379961
c8-34,74t7kcdgkr,ridge__huber,0.045634040357139,0.081632653061224
c8-34,74t7kcdgkr,ridge__shallow_mlp,0.052030811363192,0.176550401441185
c8-35,74t7kcdgkr,huber__shallow_mlp,0.194145893780005,0.294084290483802
c8-35,74t7kcdgkr,ridge__huber,0.052030811363192,0.01559044943878
c8-35,74t7kcdgkr,ridge__shallow_mlp,0.208123245452767,0.309674739922582
c8-36,74t7kcdgkr,huber__shallow_mlp,0.040816326530612,0.017365370823781
c8-36,74t7kcdgkr,ridge__huber,0.01443075063646,0.01559044943878
c8-36,74t7kcdgkr,ridge__shallow_mlp,0.052030811363192,0.032955820262561
c8-37,74t7kcdgkr,huber__shallow_mlp,0.123296387485659,0.324078164701545
c8-37,74t7kcdgkr,ridge__huber,0.040816326530612,0.063736849502401
c8-37,74t7kcdgkr,ridge__shallow_mlp,0.087778829255537,0.260341315199144
c8-38,74t7kcdgkr,huber__shallow_mlp,0.144307506364602,0.16245951553091
c8-38,74t7kcdgkr,ridge__huber,0.045634040357139,0
c8-38,74t7kcdgkr,ridge__shallow_mlp,0.183673469387755,0.16245951553091
c8-39,74t7kcdgkr,huber__shallow_mlp,0.20047839494274,0.148092264205756
c8-39,74t7kcdgkr,ridge__huber,0.032268139389473,0.025225877091832
c8-39,74t7kcdgkr,ridge__shallow_mlp,0.174367423373827,0.173318141297589
c8-4,74t7kcdgkr,huber__shallow_mlp,0.118999018262149,0.063206416767359
c8-4,74t7kcdgkr,ridge__huber,0.01443075063646,0.017895803558823
c8-4,74t7kcdgkr,ridge__shallow_mlp,0.123296387485659,0.081102220326183
c8-40,74t7kcdgkr,huber__shallow_mlp,0.205099502471855,0.050572869615679
c8-40,74t7kcdgkr,ridge__huber,0.092401889164667,0.025756309826874
c8-40,74t7kcdgkr,ridge__shallow_mlp,0.224025493878573,0.076329179442553
c8-41,74t7kcdgkr,huber__shallow_mlp,0.105057450418235,0.279883775709781
c8-41,74t7kcdgkr,ridge__huber,0.161340696947366,0.275386092682649
c8-41,74t7kcdgkr,ridge__shallow_mlp,0.109901322594582,0.004497683027132
c8-42,74t7kcdgkr,huber__shallow_mlp,0.052030811363192,0.112541946734252
c8-42,74t7kcdgkr,ridge__huber,0.155423940935998,0.042170087741561
c8-42,74t7kcdgkr,ridge__shallow_mlp,0.173769248631902,0.154712034475813
c8-43,74t7kcdgkr,huber__shallow_mlp,0.118999018262149,0.126342235567797
c8-43,74t7kcdgkr,ridge__huber,0.072153753182301,0.056406775969392
