outer_domain,query_domains,learner,fit_domains,fit_specimen_count,fit_specimen_ids_sha256,selected_pca_dimension,predictor_state_sha256,initial_budget,candidate_count,candidate_bank_state_sha256,candidate_bank_file_sha256
74t7kcdgkr,74t7kcdgkr,huber,"cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",231,42126b5a0cba67d9a3803cb818d7bfe8c4170f91549e6e1b43345ec89ddaebd6,8,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b,0.03125,64,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,cfeff617df9208bdfbd8434474f63134661f8fb6f7b59676bced5054ac0d2443
74t7kcdgkr,74t7kcdgkr,ridge,"cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",231,42126b5a0cba67d9a3803cb818d7bfe8c4170f91549e6e1b43345ec89ddaebd6,8,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e,0.03125,64,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,cfeff617df9208bdfbd8434474f63134661f8fb6f7b59676bced5054ac0d2443
74t7kcdgkr,74t7kcdgkr,shallow_mlp,"cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",231,42126b5a0cba67d9a3803cb818d7bfe8c4170f91549e6e1b43345ec89ddaebd6,8,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4,0.03125,64,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,cfeff617df9208bdfbd8434474f63134661f8fb6f7b59676bced5054ac0d2443
cgtnjyggtm,cgtnjyggtm,huber,"74t7kcdgkr,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",227,4ecf370ce22fa241963483db546af56d6d886427683549c2901f697662823be3,32,02d6d176fb79a9c32c95fb929de64a202c3d96e22c5a272a3a58e5a9de943660,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
cgtnjyggtm,cgtnjyggtm,ridge,"74t7kcdgkr,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",227,4ecf370ce22fa241963483db546af56d6d886427683549c2901f697662823be3,32,456345a50a851ea61ceeb4375b71c6afdf800ff620ea8baa33bec4fcd1eddf28,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
cgtnjyggtm,cgtnjyggtm,shallow_mlp,"74t7kcdgkr,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",227,4ecf370ce22fa241963483db546af56d6d886427683549c2901f697662823be3,32,33a151a1a2c0a04a961a406a7db043d625fe8721a94dc0253cfa1a5b3ec14bf5,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
w68dtmpfyf,w68dtmpfyf,huber,"74t7kcdgkr,cgtnjyggtm,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",233,dda9c3c80cf76a6182c959f7064cf787b3a8a3e901ad99deef41e1c8fdabef2b,8,bb5206aa47cb365b889dc83bda5ac90133d44aa39da507e6c6e9c220765b0658,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
w68dtmpfyf,w68dtmpfyf,ridge,"74t7kcdgkr,cgtnjyggtm,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",233,dda9c3c80cf76a6182c959f7064cf787b3a8a3e901ad99deef41e1c8fdabef2b,8,d5db4c5d6c140d0e463001767593343a7b2135ce20a608b7fe7f27b2db502cf5,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
w68dtmpfyf,w68dtmpfyf,shallow_mlp,"74t7kcdgkr,cgtnjyggtm,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",233,dda9c3c80cf76a6182c959f7064cf787b3a8a3e901ad99deef41e1c8fdabef2b,8,09164e62565ca63ff40522e06a59098b101e661aeb82a3259e34aa4de7f297d5,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
xcmzfsbd9t,xcmzfsbd9t,huber,"74t7kcdgkr,cgtnjyggtm,w68dtmpfyf,yfxyg8jm46,ykhs7s2dck",217,7b05d2c91d0fb3a05370e5f5c70b84dcc93d611b886df4265c0c30312f48c775,8,d8002e2020312334ba9db29607eaba1dd663ca5749c5debcd5507f6f2f8518cd,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
xcmzfsbd9t,xcmzfsbd9t,ridge,"74t7kcdgkr,cgtnjyggtm,w68dtmpfyf,yfxyg8jm46,ykhs7s2dck",217,7b05d2c91d0fb3a05370e5f5c70b84dcc93d611b886df4265c0c30312f48c775,8,bd6ff8ec1e4e057e654152381ef1aeb0145059b46cc729af34941a2da9700381,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
xcmzfsbd9t,xcmzfsbd9t,shallow_mlp,"74t7kcdgkr,cgtnjyggtm,w68dtmpfyf,yfxyg8jm46,ykhs7s2dck",217,7b05d2c91d0fb3a05370e5f5c70b84dcc93d611b886df4265c0c30312f48c775,8,2fb0049223d2d849cf4e8317f7b12c400fe68a4cd072ffa0d010f3031042d0a2,0.015625,64,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4,42882df095ac2935bf7cf0efec5d17c3fee257ddee4f4735fbb64d6931976b08
