specimen_id,dataset_id,learner,initial_budget,current_absolute_error,mechanical_oracle_cell,mechanical_oracle_added_measurements,mechanical_oracle_error_after,mechanical_oracle_improvement,reconstruction_oracle_cell,reconstruction_oracle_added_measurements,reconstruction_action_error_after,mechanical_headroom_over_reconstruction,candidate_bank_state_sha256,predictor_state_sha256
c8-13,74t7kcdgkr,ridge,0.03125,0.030278954322552,55,442,0.025431284749179,0.004847669573373,55,442,0.025431284749179,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-13,74t7kcdgkr,shallow_mlp,0.03125,0.245445058453924,35,403,0.206060256636207,0.039384801817717,55,442,0.236133985551138,0.030073728914931,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-14,74t7kcdgkr,huber,0.03125,0.02815534424779,0,403,0.019509065680913,0.008646278566876,51,421,0.024024369893094,0.004515304212181,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-14,74t7kcdgkr,ridge,0.03125,0.01895072045465,0,403,0.008553388317432,0.010397332137218,51,421,0.014809757795569,0.006256369478138,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-14,74t7kcdgkr,shallow_mlp,0.03125,0.256593842681756,0,403,0.249684745579997,0.006909097101759,51,421,0.25307573638418,0.003390990804183,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-15,74t7kcdgkr,huber,0.03125,0.000687779937014,12,403,0.00000294697346,0.000684832963554,23,443,0.002618395172127,0.002615448198666,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-15,74t7kcdgkr,ridge,0.03125,0.001392433754538,41,425,0.00002196003792,0.001370473716617,23,443,0.002153856960562,0.002131896922641,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-15,74t7kcdgkr,shallow_mlp,0.03125,0.212166900668412,7,443,0.201334742304461,0.010832158363951,23,443,0.207359189866872,0.006024447562411,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-16,74t7kcdgkr,huber,0.03125,0.077605263965328,15,443,0.063115159703408,0.014490104261919,7,443,0.065490096695347,0.002374936991939,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-16,74t7kcdgkr,ridge,0.03125,0.089369153549159,15,443,0.073805018198879,0.01556413535028,7,443,0.07953793294865,0.005732914749771,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-16,74t7kcdgkr,shallow_mlp,0.03125,0.129193013970651,15,443,0.076439717384185,0.052753296586466,7,443,0.089950970501352,0.013511253117168,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-17,74t7kcdgkr,huber,0.03125,0.014032472453791,49,421,0.004862048984461,0.00917042346933,31,430,0.009637009311516,0.004774960327055,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-17,74t7kcdgkr,ridge,0.03125,0.009397011759941,41,403,0.000504220398561,0.00889279136138,31,430,0.006483129322993,0.005978908924432,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-17,74t7kcdgkr,shallow_mlp,0.03125,0.28623252889556,31,430,0.269988415987169,0.016244112908391,31,430,0.269988415987169,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-18,74t7kcdgkr,huber,0.03125,0.015266249355839,47,443,0.000037008325834,0.015229241030005,7,443,0.003549786571729,0.003512778245895,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-18,74t7kcdgkr,ridge,0.03125,0.025837782379494,39,443,0.010728204498177,0.015109577881317,7,443,0.016492888689768,0.005764684191591,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-18,74t7kcdgkr,shallow_mlp,0.03125,0.194409178886818,7,443,0.171035314134305,0.023373864752513,7,443,0.171035314134305,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-19,74t7kcdgkr,huber,0.03125,0.016775544247951,20,1603,0.013455633525845,0.003319910722106,63,1728,0.017349167489351,0.003893533963506,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-19,74t7kcdgkr,ridge,0.03125,0.008917632204741,47,1662,0.006554271704005,0.002363360500736,63,1728,0.008848932316218,0.002294660612214,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-19,74t7kcdgkr,shallow_mlp,0.03125,0.221539150941762,36,1603,0.213140056466523,0.008399094475239,63,1728,0.2212565686854,0.008116512218878,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-2,74t7kcdgkr,huber,0.03125,0.214056779359346,35,403,0.183694328454212,0.030362450905134,36,425,0.199860617234193,0.016166288779981,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-2,74t7kcdgkr,ridge,0.03125,0.224841761324259,35,403,0.194538214270581,0.030303547053678,36,425,0.213771726259372,0.019233511988791,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-2,74t7kcdgkr,shallow_mlp,0.03125,0.071822539488948,44,425,0.000766418441147,0.071056121047801,36,425,0.032140681096449,0.031374262655302,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-20,74t7kcdgkr,huber,0.03125,0.144913670538986,27,1560,0.126828155782973,0.018085514756013,47,1662,0.148518941456789,0.021690785673816,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-20,74t7kcdgkr,ridge,0.03125,0.149509366564557,27,1560,0.133237899590803,0.016271466973753,47,1662,0.152523831111191,0.019285931520387,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-20,74t7kcdgkr,shallow_mlp,0.03125,0.065297733883162,36,1603,0.017617359779138,0.047680374104024,47,1662,0.059782896385307,0.042165536606169,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-21,74t7kcdgkr,huber,0.03125,0.039404073660757,62,1706,0.036248320387676,0.00315575327308,63,1728,0.037617584525233,0.001369264137556,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-21,74t7kcdgkr,ridge,0.03125,0.017216052147357,62,1706,0.014505589471439,0.002710462675918,63,1728,0.015991115345283,0.001485525873844,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
