method,dataset_id,budget,physical_n,mae_mpa,rmse_mpa,r2,area_mpa,early_area_mpa
CENTER_FIRST,74t7kcdgkr,0.0,9,48.94345940483941,65.29096492652504,-1.3270393943076688,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.0,9,98.52284410264757,114.4632092675568,0.014502106434936213,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.0,8,54.86939239501953,66.70878619196668,-0.7872480812152287,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.0,9,65.11017354329427,76.12731754706031,-0.02247689434267164,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.0,8,51.48122596740723,68.77335471623537,0.675004204712115,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.0,7,23.36521257672991,27.338883832722736,-0.42309177219318994,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.0625,9,40.19403415256076,52.437948343250405,-0.5010285205951635,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.0625,9,73.1254645453559,93.08869891078126,0.348194854919438,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.0625,8,35.33867263793945,47.984295286267816,0.07526561937139253,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.0625,9,54.924109564887154,69.80248449305228,0.14036476101877005,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.0625,8,51.20693397521973,68.87523435525883,0.6740406053917867,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.0625,7,26.814202444893972,32.78068873542957,-1.0460087965204616,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.125,9,44.34107462565104,56.824444761791334,-0.7626576215874208,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.125,9,71.93893602159288,92.83213050562057,0.351782876830653,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.125,8,40.06388854980469,53.14233284461959,-0.1342270301566617,41.027479258360266,43.684702353548225
CENTER_FIRST,xcmzfsbd9t,0.125,9,57.02024163140191,68.4016981732798,0.17452064480138885,55.546391509574875,54.164338253021384
CENTER_FIRST,yfxyg8jm46,0.125,8,50.92135047912598,71.26712326448711,0.6510077517591073,51.89408528441243,55.537227282047745
CENTER_FIRST,ykhs7s2dck,0.125,7,21.968191964285715,27.762772849733484,-0.4675639266243796,22.42890492383915,27.88167834154127
CENTER_FIRST,74t7kcdgkr,0.1875,9,45.49436611599393,58.73745780822243,-0.8833361975037131,43.491688564941484,42.743351217017306
CENTER_FIRST,cgtnjyggtm,0.1875,9,74.3055419921875,93.26185880126168,0.34576767560014776,76.46349423701898,86.9125707978745
CENTER_FIRST,w68dtmpfyf,0.1875,8,40.6085205078125,53.087836489902976,-0.1319019705595681,41.027479258360266,43.684702353548225
