specimen_key,dataset_id,capture_group_id,method,run,action_index,cell,before_cost,after_cost,error_before_mpa,error_after_mpa,error_reduction_mpa
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,1,27,0.0,0.015532544378698224,17.985794067382812,26.833099365234375,-8.847305297851562
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,2,28,0.015532544378698224,0.03106508875739645,26.833099365234375,29.680465698242188,-2.8473663330078125
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,3,35,0.03106508875739645,0.04659763313609468,29.680465698242188,21.119949340820312,8.560516357421875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,4,36,0.04659763313609468,0.0621301775147929,21.119949340820312,3.1519622802734375,17.967987060546875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,5,19,0.0621301775147929,0.07803254437869822,3.1519622802734375,4.3769378662109375,-1.2249755859375
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,6,20,0.07803254437869822,0.09393491124260354,4.3769378662109375,7.5631561279296875,-3.18621826171875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,7,26,0.09393491124260354,0.10946745562130177,7.5631561279296875,8.982345581054688,-1.419189453125
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,8,29,0.10946745562130177,0.125,8.982345581054688,10.092330932617188,-1.1099853515625
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,9,34,0.125,0.14053254437869822,10.092330932617188,16.901107788085938,-6.80877685546875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,10,37,0.14053254437869822,0.15606508875739644,16.901107788085938,20.319046020507812,-3.417938232421875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,11,43,0.15606508875739644,0.17196745562130178,20.319046020507812,20.040115356445312,0.2789306640625
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,12,44,0.17196745562130178,0.18786982248520712,20.040115356445312,17.905776977539062,2.13433837890625
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,13,18,0.18786982248520712,0.20377218934911245,17.905776977539062,17.015518188476562,0.8902587890625
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,14,21,0.20377218934911245,0.2196745562130178,17.015518188476562,16.188690185546875,0.8268280029296875
74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,15,42,0.2196745562130178,0.23557692307692313,16.188690185546875,15.832992553710938,0.3556976318359375
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,1,27,0.0,0.015349808562478246,145.62942504882812,54.9476318359375,90.68179321289062
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,2,28,0.015349808562478246,0.03069961712495649,54.9476318359375,89.05120849609375,-34.10357666015625
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,3,35,0.03069961712495649,0.04604942568743474,89.05120849609375,98.22280883789062,-9.171600341796875
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,4,36,0.04604942568743474,0.06139923424991298,98.22280883789062,118.58944702148438,-20.36663818359375
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,5,19,0.06139923424991298,0.0771145144448312,118.58944702148438,121.81741333007812,-3.22796630859375
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,6,20,0.0771145144448312,0.0928297946397494,121.81741333007812,127.07858276367188,-5.26116943359375
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,7,26,0.0928297946397494,0.1085450748346676,127.07858276367188,131.58505249023438,-4.5064697265625
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,8,29,0.1085450748346676,0.1242603550295858,131.58505249023438,134.66217041015625,-3.077117919921875
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,9,34,0.1242603550295858,0.139975635224504,134.66217041015625,138.476318359375,-3.81414794921875
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,10,37,0.139975635224504,0.1556909154194222,138.476318359375,139.71340942382812,-1.237091064453125
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,11,43,0.1556909154194222,0.1714061956143404,139.71340942382812,141.36434936523438,-1.65093994140625
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,12,44,0.1714061956143404,0.1871214758092586,141.36434936523438,142.35906982421875,-0.994720458984375
74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,13,18,0.1871214758092586,0.20321092934215104,142.35906982421875,142.7022705078125,-0.34320068359375
