method,budget,mae_mpa,rmse_mpa,r2,actual_cost_mean
CENTER_FIRST,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0
CENTER_FIRST,0.015349808562478246,56.42819915771484,72.93971611931403,0.4707805616348445,0.0006139923424991298
CENTER_FIRST,0.015509396636993076,56.42819915771484,72.93971611931403,0.4707805616348445,0.0006139923424991298
CENTER_FIRST,0.015532544378698224,56.65634429931641,72.95594497839686,0.4705450360908052,0.0015459450052210232
CENTER_FIRST,0.015694032311242993,52.38619537353516,72.32795454463147,0.4796206950201698,0.01567057408533972
CENTER_FIRST,0.015715280194918205,52.38619537353516,72.32795454463147,0.4796206950201698,0.01567057408533972
CENTER_FIRST,0.01588086602923398,52.38619537353516,72.32795454463147,0.4796206950201698,0.01567057408533972
CENTER_FIRST,0.015902366863905327,52.38619537353516,72.32795454463147,0.4796206950201698,0.01567057408533972
CENTER_FIRST,0.03069961712495649,52.24541137695312,72.25700243951717,0.48064115516029493,0.01628456642783885
CENTER_FIRST,0.031018793273986153,52.24541137695312,72.25700243951717,0.48064115516029493,0.01628456642783885
CENTER_FIRST,0.03106508875739645,51.74700775146484,72.1528575712656,0.4821371922891067,0.017216519090560746
CENTER_FIRST,0.03120342894823607,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.03138806462248599,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.031390262666227055,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.03143056038983641,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.03143491124260355,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.03157489834047697,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.03180473372781065,51.68550476074219,69.90488321502568,0.5139032928531069,0.03117497606385452
CENTER_FIRST,0.04604942568743474,51.54742401123047,69.97897207025825,0.5128723653455076,0.031788968406353646
CENTER_FIRST,0.04641489731987469,51.54742401123047,69.97897207025825,0.5128723653455076,0.031788968406353646
CENTER_FIRST,0.04652818991097923,51.54742401123047,69.97897207025825,0.5128723653455076,0.031788968406353646
CENTER_FIRST,0.04659763313609468,51.57550262451172,69.95279111890751,0.5132367913673823,0.032720921069075544
CENTER_FIRST,0.04671282558522914,51.57550262451172,69.95279111890751,0.5132367913673823,0.032720921069075544
CENTER_FIRST,0.04671282558522915,51.57550262451172,69.95279111890751,0.5132367913673823,0.032720921069075544
CENTER_FIRST,0.046780368952314653,51.57550262451172,69.95279111890751,0.5132367913673823,0.032720921069075544
CENTER_FIRST,0.04678907065784894,51.57550262451172,69.95279111890751,0.5132367913673823,0.032720921069075544
CENTER_FIRST,0.046897461259479065,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04689965930322013,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04696745562130178,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04708209693372898,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04708429497747005,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.047145840584754614,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04715454229028889,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04726893065171997,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.04733727810650888,48.85898315429687,65.416245470829,0.5743242803143385,0.0468455501491942
CENTER_FIRST,0.06139923424991298,49.28377197265625,66.09566498340047,0.5654361430649386,0.047459542491693325
CENTER_FIRST,0.06176470588235294,49.28377197265625,66.09566498340047,0.5654361430649386,0.047459542491693325
CENTER_FIRST,0.061764705882352944,49.28377197265625,66.09566498340047,0.5654361430649386,0.047459542491693325
CENTER_FIRST,0.062037586547972305,49.28377197265625,66.09566498340047,0.5654361430649386,0.047459542491693325
CENTER_FIRST,0.0621301775147929,48.95623565673828,66.02239233372549,0.5663991107777713,0.04839149515441522
CENTER_FIRST,0.06222222222222222,48.95623565673828,66.02239233372549,0.5663991107777713,0.04839149515441522
CENTER_FIRST,0.06222222222222223,48.95623565673828,66.02239233372549,0.5663991107777713,0.04839149515441522
CENTER_FIRST,0.062406857896472136,48.95623565673828,66.02239233372549,0.5663991107777713,0.04839149515441522
CENTER_FIRST,0.06240685789647214,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06249564914723286,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.0625,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06250435085276713,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06250435085276715,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06259149357072205,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06259369161446313,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06277612924497197,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06277832728871305,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06286112077967282,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.0628698224852071,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06296296296296296,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06296296296296297,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06314979668095395,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.06323529411764706,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.07674904281239123,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.07711451444483118,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904
CENTER_FIRST,0.0771145144448312,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.07747998607727113,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.07747998607727115,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.07754698318496538,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.07766272189349112,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.0777316188592153,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.0778454577097111,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
CENTER_FIRST,0.0779162545334652,48.03439270019531,65.04310293289805,0.5791666463664257,0.06297856333550576
