method,budget,mae_mpa,rmse_mpa,r2,actual_cost_mean,actual_cost_min,actual_cost_max,physical_n,aggregation
CENTER_FIRST,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
CENTER_FIRST,0.0625,47.885134887695315,64.8815873858624,0.5812540847892316,0.06234995212770904,0.06139923424991298,0.06240685789647214,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
CENTER_FIRST,0.125,48.827230529785155,65.93190618961884,0.5675868286030434,0.11101245178773139,0.1094911528739422,0.125,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
CENTER_FIRST,0.1875,49.09352935791016,66.27724383311052,0.563045184648074,0.17251309430238826,0.17190020881415538,0.1871214758092586,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
CENTER_FIRST,0.25,48.02656921386719,65.22312805595055,0.576833872644771,0.23475891309414762,0.23467633805912738,0.23557692307692313,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
GEOMETRY_SPREAD,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
GEOMETRY_SPREAD,0.0625,50.22089508056641,67.80384947059515,0.5426840463146962,0.06201760791405909,0.06139923424991298,0.0621301775147929,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
GEOMETRY_SPREAD,0.125,46.188976745605466,62.42060463472086,0.6124180062920022,0.12454835101389078,0.12316394013226592,0.12462908011869436,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
GEOMETRY_SPREAD,0.1875,46.55507232666016,62.34661882995215,0.6133362470434123,0.1873358278222533,0.18603376261747306,0.1874074074074074,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
GEOMETRY_SPREAD,0.25,46.9099169921875,62.27821704539136,0.6141842154698014,0.24996977314972113,0.2492690567351201,0.25,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
SERPENTINE,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
SERPENTINE,0.0625,49.73057769775391,64.72056561827686,0.5833299753595051,0.062379189858304235,0.0621301775147929,0.06240685789647214,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
SERPENTINE,0.125,48.7731787109375,64.77756780986628,0.5825956936467955,0.12459220760978357,0.1242603550295858,0.12462908011869436,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
SERPENTINE,0.1875,48.343042602539064,63.93146999524376,0.5934284073931729,0.18680522536126268,0.18639053254437868,0.1868513023409166,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
SERPENTINE,0.25,48.012801818847656,63.04097796057084,0.604675678972965,0.24918441521956713,0.2485207100591716,0.24925816023738873,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
RANDOM,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
RANDOM,0.0625,53.15628833007813,69.11539740918136,0.5248209672303872,0.0536034845209486,0.046897461259479065,0.0625,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
RANDOM,0.125,49.153046874999994,65.03798418307292,0.5792328810875601,0.11876832825346553,0.10930651719969228,0.125,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
RANDOM,0.1875,48.107519653320296,63.4121820528051,0.6000063970987094,0.1866457941756575,0.1715976331360947,0.1875,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
RANDOM,0.25,46.88638348388671,61.94055032586338,0.6183565884487423,0.24694306468044036,0.23449170238487746,0.25,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
LEARNED_STATIC_TRUE,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
LEARNED_STATIC_TRUE,0.0625,46.46498809814453,62.72043864285171,0.6086856051658253,0.06240137920741666,0.0621301775147929,0.0625,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
LEARNED_STATIC_TRUE,0.125,48.06415130615235,63.99410524880627,0.5926313605086361,0.12480275841483332,0.1242603550295858,0.125,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
LEARNED_STATIC_TRUE,0.1875,46.784012145996094,62.5699267441342,0.6105614467550116,0.18739989552789127,0.18713017751479294,0.1875,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
LEARNED_STATIC_TRUE,0.25,46.99311798095703,62.16796138115515,0.6155490818137663,0.23529661463201668,0.23467414001538633,0.2499912982944657,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
NO_VLM_SPATIAL_FEEDBACK,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,60.878044492919074,0.6313374374280374,0.057700425782035526,0.046897461259479065,0.0625,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
NO_VLM_SPATIAL_FEEDBACK,0.125,43.164353637695314,60.168546209893805,0.6398804601392791,0.11982440926809393,0.10911968348170129,0.1249983514671942,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
NO_VLM_SPATIAL_FEEDBACK,0.1875,42.92821166992187,58.38781435626984,0.6608810279087215,0.18255501056235385,0.1714148973198747,0.1874074074074074,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
NO_VLM_SPATIAL_FEEDBACK,0.25,42.38468078613281,56.53360712086606,0.6820776623867433,0.24717384321445035,0.2344917023848775,0.25,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_MEAN_FEEDBACK,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_MEAN_FEEDBACK,0.0625,44.512246704101564,62.520086128708016,0.6111816209386602,0.059856979540558373,0.04678907065784894,0.06240685789647214,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_MEAN_FEEDBACK,0.125,45.494161987304686,62.57264445601109,0.6105276156536552,0.12284621083041873,0.10948895483020113,0.1249983514671942,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
