source_row,specimen_key,dataset_id,capture_group_id,method,run,action_count,final_cost,target_mpa
0,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,CENTER_FIRST,0,15,0.23557692307692313,197.97145080566406
1,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,15,0.23538983640793595,266.5553894042969
2,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,CENTER_FIRST,0,15,0.23557692307692313,264.1634521484375
3,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,CENTER_FIRST,0,15,0.23538983640793595,163.86158752441406
4,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,CENTER_FIRST,0,15,0.23467633805912738,263.10400390625
5,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,CENTER_FIRST,0,15,0.23467633805912738,282.8260803222656
6,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,CENTER_FIRST,0,15,0.23557692307692313,213.09927368164062
7,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,CENTER_FIRST,0,15,0.23467633805912738,168.51828002929688
8,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,CENTER_FIRST,0,15,0.23467633805912738,199.83413696289062
9,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,CENTER_FIRST,0,15,0.23467633805912738,300.3553771972656
10,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,CENTER_FIRST,0,15,0.23467633805912738,415.8692932128906
11,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,CENTER_FIRST,0,15,0.23467633805912738,428.6219482421875
12,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,CENTER_FIRST,0,15,0.23467633805912738,283.3366394042969
13,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,CENTER_FIRST,0,15,0.23467633805912738,109.75041198730469
14,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,CENTER_FIRST,0,15,0.23467633805912738,119.86738586425781
15,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,CENTER_FIRST,0,15,0.23467633805912738,136.6800079345703
16,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,CENTER_FIRST,0,15,0.23467633805912738,348.28472900390625
17,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,CENTER_FIRST,0,15,0.23467633805912738,262.2107238769531
18,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,CENTER_FIRST,0,15,0.23467633805912738,404.2454528808594
19,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,CENTER_FIRST,0,15,0.23467633805912738,304.9983215332031
20,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,CENTER_FIRST,0,15,0.23467633805912738,338.54833984375
21,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,CENTER_FIRST,0,15,0.23467633805912738,352.2940673828125
22,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,CENTER_FIRST,0,15,0.23467633805912738,257.2702331542969
23,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,CENTER_FIRST,0,15,0.23467633805912738,344.6358337402344
24,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,CENTER_FIRST,0,15,0.23467633805912738,302.281982421875
25,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,CENTER_FIRST,0,15,0.23467633805912738,418.267333984375
26,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,CENTER_FIRST,0,15,0.23467633805912738,381.1910705566406
27,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,CENTER_FIRST,0,15,0.23467633805912738,246.54722595214844
28,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,CENTER_FIRST,0,15,0.23467633805912738,301.55389404296875
29,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,CENTER_FIRST,0,15,0.23467633805912738,480.5938415527344
30,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,CENTER_FIRST,0,15,0.23467633805912738,292.1376647949219
31,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,CENTER_FIRST,0,15,0.23467633805912738,263.2923583984375
32,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,CENTER_FIRST,0,15,0.23467633805912738,252.29762268066406
33,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,CENTER_FIRST,0,15,0.23467633805912738,230.2566680908203
34,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,CENTER_FIRST,0,15,0.23467633805912738,278.2536315917969
35,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,CENTER_FIRST,0,15,0.23467633805912738,268.03814697265625
36,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,CENTER_FIRST,0,15,0.23467633805912738,508.2288818359375
37,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,CENTER_FIRST,0,15,0.23467633805912738,499.259765625
38,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,CENTER_FIRST,0,15,0.23467633805912738,512.5420532226562
39,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,CENTER_FIRST,0,15,0.23467633805912738,523.44140625
40,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,CENTER_FIRST,0,15,0.23467633805912738,234.76339721679688
41,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,CENTER_FIRST,0,15,0.23467633805912738,322.6684265136719
42,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,CENTER_FIRST,0,15,0.23467633805912738,270.7127685546875
43,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,CENTER_FIRST,0,15,0.23467633805912738,260.08502197265625
44,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,CENTER_FIRST,0,15,0.23467633805912738,219.15264892578125
45,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,CENTER_FIRST,0,15,0.23467633805912738,235.01319885253906
46,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,CENTER_FIRST,0,15,0.23467633805912738,215.7657928466797
47,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,CENTER_FIRST,0,15,0.23467633805912738,235.4805145263672
48,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,CENTER_FIRST,0,15,0.23467633805912738,248.33407592773438
49,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,CENTER_FIRST,0,15,0.23467633805912738,184.39810180664062
50,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,GEOMETRY_SPREAD,0,16,0.25,197.97145080566406
51,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,GEOMETRY_SPREAD,0,16,0.2492690567351201,266.5553894042969
52,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,GEOMETRY_SPREAD,0,16,0.25,264.1634521484375
53,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,GEOMETRY_SPREAD,0,16,0.2492690567351201,163.86158752441406
54,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,GEOMETRY_SPREAD,0,16,0.24999890097812943,263.10400390625
55,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,GEOMETRY_SPREAD,0,16,0.24999890097812943,282.8260803222656
56,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,GEOMETRY_SPREAD,0,16,0.25,213.09927368164062
57,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,GEOMETRY_SPREAD,0,16,0.24999890097812943,168.51828002929688
58,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,GEOMETRY_SPREAD,0,16,0.24999890097812943,199.83413696289062
59,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,GEOMETRY_SPREAD,0,16,0.24999890097812943,300.3553771972656
60,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,GEOMETRY_SPREAD,0,16,0.24999890097812943,415.8692932128906
61,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,GEOMETRY_SPREAD,0,16,0.24999890097812943,428.6219482421875
62,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,GEOMETRY_SPREAD,0,16,0.24999890097812943,283.3366394042969
63,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,GEOMETRY_SPREAD,0,16,0.24999890097812943,109.75041198730469
64,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,GEOMETRY_SPREAD,0,16,0.24999890097812943,119.86738586425781
65,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,GEOMETRY_SPREAD,0,16,0.24999890097812943,136.6800079345703
66,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,GEOMETRY_SPREAD,0,16,0.24999890097812943,348.28472900390625
67,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,GEOMETRY_SPREAD,0,16,0.24999890097812943,262.2107238769531
68,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,GEOMETRY_SPREAD,0,16,0.24999890097812943,404.2454528808594
69,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,GEOMETRY_SPREAD,0,16,0.24999890097812943,304.9983215332031
70,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,GEOMETRY_SPREAD,0,16,0.24999890097812943,338.54833984375
71,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,GEOMETRY_SPREAD,0,16,0.24999890097812943,352.2940673828125
72,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,GEOMETRY_SPREAD,0,16,0.24999890097812943,257.2702331542969
73,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,GEOMETRY_SPREAD,0,16,0.24999890097812943,344.6358337402344
74,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,GEOMETRY_SPREAD,0,16,0.24999890097812943,302.281982421875
75,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,GEOMETRY_SPREAD,0,16,0.24999890097812943,418.267333984375
76,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,GEOMETRY_SPREAD,0,16,0.24999890097812943,381.1910705566406
77,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,GEOMETRY_SPREAD,0,16,0.24999890097812943,246.54722595214844
78,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,GEOMETRY_SPREAD,0,16,0.24999890097812943,301.55389404296875
79,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,GEOMETRY_SPREAD,0,16,0.24999890097812943,480.5938415527344
80,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,GEOMETRY_SPREAD,0,16,0.24999890097812943,292.1376647949219
81,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,GEOMETRY_SPREAD,0,16,0.24999890097812943,263.2923583984375
