target_id,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,46.98702209472656,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,44.70976043701172,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,CENTER_FIRST,0.06240685789647214,47.885134887695315,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,SERPENTINE,0.10911968348170129,48.82163482666016,REACHED,True,0.03138806462248599,0.0777316188592153,0.7123519458544839
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,RANDOM,0.12500054951093525,48.80570129394531,REACHED,True,0.03138806462248599,0.09361248488844927,0.7488965868926831
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.06240685789647214,45.96669342041016,REACHED,False,0.03138806462248599,0.031018793273986156,0.4970414201183432
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.01588086602923398,48.38935333251953,REACHED,False,0.03138806462248599,-0.015507198593252006,-0.9764705882352942
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03106508875739645,47.672654418945314,REACHED,False,0.03138806462248599,-0.00032297586508953785,-0.010396746895263265
