specimen_key,state,acquired_count,measured_cells,cost,prediction_mpa,target_mpa,next_cell
74t7kcdgkr:c8-16,measured_1,1,36,0.015532544378698224,333.2409973144531,264.1634521484375,27
74t7kcdgkr:c8-16,measured_4,4,36;27;35;57,0.0621301775147929,255.73910522460938,264.1634521484375,24
74t7kcdgkr:c8-16,measured_8,8,36;27;35;57;24;28;56;8,0.1242603550295858,251.75738525390625,264.1634521484375,0
74t7kcdgkr:c8-16,measured_endpoint,16,36;27;35;57;24;28;56;8;0;16;32;48;40;58;62;59,0.2492603550295858,231.03045654296875,264.1634521484375,
cgtnjyggtm:q24-48,measured_1,1,28,0.015509396636993076,303.2976379394531,136.6800079345703,31
cgtnjyggtm:q24-48,measured_4,4,28;31;23;0,0.06222222222222222,289.02960205078125,136.6800079345703,48
cgtnjyggtm:q24-48,measured_8,8,28;31;23;0;48;55;35;30,0.12462908011869436,262.32525634765625,136.6800079345703,52
cgtnjyggtm:q24-48,measured_endpoint,16,28;31;23;0;48;55;35;30;52;27;39;19;8;32;16;40,0.24962962962962965,257.69476318359375,136.6800079345703,
w68dtmpfyf:q16-29,measured_1,1,27,0.015694032311242993,342.2681884765625,338.54833984375,49
w68dtmpfyf:q16-29,measured_4,4,27;49;0;24,0.06240685789647214,336.6079406738281,338.54833984375,32
w68dtmpfyf:q16-29,measured_8,8,27;49;0;24;32;33;48;19,0.12500054951093525,334.6150207519531,338.54833984375,40
w68dtmpfyf:q16-29,measured_endpoint,16,27;49;0;24;32;33;48;19;40;1;37;16;34;51;50;7,0.24981426530387954,328.2357177734375,338.54833984375,
