target_id,target_mae,target_type,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,SERPENTINE,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,RANDOM,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
Q_41,41.0,UNIFORM_1_MPA,SECONDARY_EVENT_GRID,CENTER_FIRST,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,,,
