method,metric,dataset_id,physical_n,A_minus_C
VLM_SPATIAL_FEEDBACK,area_mpa,74t7kcdgkr,9,1.1552883260835838
VLM_SPATIAL_FEEDBACK,area_mpa,cgtnjyggtm,9,-4.7998204108631075
VLM_SPATIAL_FEEDBACK,area_mpa,w68dtmpfyf,8,0.7342981688192013
VLM_SPATIAL_FEEDBACK,area_mpa,xcmzfsbd9t,9,4.391683864187077
VLM_SPATIAL_FEEDBACK,area_mpa,yfxyg8jm46,8,-2.3222116647718827
VLM_SPATIAL_FEEDBACK,area_mpa,ykhs7s2dck,7,-3.577431882952574
VLM_SPATIAL_FEEDBACK,early_area_mpa,74t7kcdgkr,9,1.7563669005777698
VLM_SPATIAL_FEEDBACK,early_area_mpa,cgtnjyggtm,9,-5.9384042633534015
VLM_SPATIAL_FEEDBACK,early_area_mpa,w68dtmpfyf,8,0.43130471163836503
VLM_SPATIAL_FEEDBACK,early_area_mpa,xcmzfsbd9t,9,5.480255443826734
VLM_SPATIAL_FEEDBACK,early_area_mpa,yfxyg8jm46,8,-1.3713248789982564
VLM_SPATIAL_FEEDBACK,early_area_mpa,ykhs7s2dck,7,-4.5346717079522785
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,74t7kcdgkr,9,1.521211412217882
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,cgtnjyggtm,9,-2.644987318250868
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,w68dtmpfyf,8,-0.5406112670898438
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,xcmzfsbd9t,9,1.233183119032118
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,yfxyg8jm46,8,1.9741268157958984
VLM_SPATIAL_FEEDBACK,endpoint_abs_error_mpa,ykhs7s2dck,7,2.3252040318080356
VLM_SPATIAL_OPEN_LOOP,area_mpa,74t7kcdgkr,9,3.0777351047192325
VLM_SPATIAL_OPEN_LOOP,area_mpa,cgtnjyggtm,9,1.5759715767585394
VLM_SPATIAL_OPEN_LOOP,area_mpa,w68dtmpfyf,8,3.2840034612648723
VLM_SPATIAL_OPEN_LOOP,area_mpa,xcmzfsbd9t,9,-2.633792551590345
VLM_SPATIAL_OPEN_LOOP,area_mpa,yfxyg8jm46,8,3.3399752542906778
VLM_SPATIAL_OPEN_LOOP,area_mpa,ykhs7s2dck,7,0.9221246182938216
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,74t7kcdgkr,9,-0.22294755574567915
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,cgtnjyggtm,9,-0.7181084347138069
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,w68dtmpfyf,8,7.799079269373964
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,xcmzfsbd9t,9,-1.1871135231486976
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,yfxyg8jm46,8,3.255891148975648
VLM_SPATIAL_OPEN_LOOP,early_area_mpa,ykhs7s2dck,7,2.4391977233297384
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,74t7kcdgkr,9,4.3779449462890625
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,cgtnjyggtm,9,-0.5762769911024306
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,w68dtmpfyf,8,3.667621612548828
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,xcmzfsbd9t,9,-0.2703314887152778
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,yfxyg8jm46,8,-0.2793407440185547
VLM_SPATIAL_OPEN_LOOP,endpoint_abs_error_mpa,ykhs7s2dck,7,-1.9469996861049108
VLM_MEAN_FEEDBACK,area_mpa,74t7kcdgkr,9,-2.686037250323505
VLM_MEAN_FEEDBACK,area_mpa,cgtnjyggtm,9,-3.9893546429258717
VLM_MEAN_FEEDBACK,area_mpa,w68dtmpfyf,8,4.248087360496535
VLM_MEAN_FEEDBACK,area_mpa,xcmzfsbd9t,9,4.1355050924700585
VLM_MEAN_FEEDBACK,area_mpa,yfxyg8jm46,8,-1.0003755006288126
VLM_MEAN_FEEDBACK,area_mpa,ykhs7s2dck,7,1.314061081480986
VLM_MEAN_FEEDBACK,early_area_mpa,74t7kcdgkr,9,-2.415675427295563
VLM_MEAN_FEEDBACK,early_area_mpa,cgtnjyggtm,9,-2.4204623796889413
VLM_MEAN_FEEDBACK,early_area_mpa,w68dtmpfyf,8,11.745123658876702
VLM_MEAN_FEEDBACK,early_area_mpa,xcmzfsbd9t,9,5.80831153133344
VLM_MEAN_FEEDBACK,early_area_mpa,yfxyg8jm46,8,-5.544858883586161
VLM_MEAN_FEEDBACK,early_area_mpa,ykhs7s2dck,7,3.22362936443004
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,74t7kcdgkr,9,-5.460340711805555
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,cgtnjyggtm,9,-2.592341105143229
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,w68dtmpfyf,8,1.8582267761230469
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,xcmzfsbd9t,9,4.202831692165798
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,yfxyg8jm46,8,1.181833267211914
VLM_MEAN_FEEDBACK,endpoint_abs_error_mpa,ykhs7s2dck,7,-1.7734222412109375
