outer_domain,loss,lambda_consistency,equal_domain_mae,worst_domain_mae,domain_mae_sd,mean_absolute_disagreement,prediction_variances,residual_correlations,collapsed
74t7kcdgkr,huber,0.003,0.09934980900664715,0.14532515893228182,0.02789146973623436,0.012140363457348619,"[0.02919324111037493, 0.029317706364377402, 0.02847702217970359]","[0.9979556923184266, 0.9927419059089676, 0.99031466876671]",False
74t7kcdgkr,huber,0.01,0.0993374222614082,0.14530572791175808,0.027893269555050757,0.012055403073915144,"[0.02917456205054713, 0.02932898282325552, 0.028437749000601538]","[0.9979729230443788, 0.9928326657142693, 0.9903860794190547]",False
74t7kcdgkr,huber,0.03,0.09930655239416805,0.14525189234893826,0.027895548476312405,0.011878431574546702,"[0.029119288626320048, 0.029329588673730894, 0.02837706928678904]","[0.9980041436658468, 0.993078829860781, 0.9905869197778089]",False
74t7kcdgkr,huber,0.1,0.09922662236083972,0.1450938513188588,0.027890344674967718,0.01143063409417138,"[0.02895752335869273, 0.029258549826875643, 0.02830894698615046]","[0.998056534158147, 0.9937734184917417, 0.9912916744075666]",False
74t7kcdgkr,huber,0.3,0.09904553715319014,0.14479721390530417,0.0279086049519702,0.01070505094332832,"[0.028632001105998187, 0.029007382874952945, 0.028198745086111296]","[0.998137039353197, 0.9947794118529213, 0.9925050452601514]",False
74t7kcdgkr,huber,1.0,0.09878210716043181,0.14441793889409393,0.028014455387868353,0.009481568848982632,"[0.027967359710605575, 0.028382745508985865, 0.027867678597653874]","[0.9983357741188379, 0.9960343249422264, 0.9942790924935021]",False
cgtnjyggtm,mse,0.0,0.07861587323117317,0.12478162440026183,0.025193710120250873,0.021918849395263174,"[0.03654846844099043, 0.03642002027069355, 0.035434921272453845]","[0.9807329594423035, 0.9657296255500191, 0.9403132208564142]",False
cgtnjyggtm,mse,0.001,0.07861697860882763,0.12478535745849398,0.025195073020452603,0.02190252929215671,"[0.03654555948588745, 0.036418137076707637, 0.035434420363880385]","[0.9807653891535402, 0.9657757380532006, 0.9403985480852353]",False
cgtnjyggtm,mse,0.003,0.0786191754119939,0.1247928057668194,0.025197796195919792,0.02187007904541352,"[0.036539773608922375, 0.036414385594857934, 0.035433409549996124]","[0.9808296591989685, 0.965867061048259, 0.9405677155292839]",False
cgtnjyggtm,mse,0.01,0.0786267535264797,0.12481869056064433,0.025207286210871666,0.02175855796297156,"[0.03651985024858877, 0.036401407999765725, 0.03542978003058655]","[0.9810486054642011, 0.9661775191354882, 0.9411446406456865]",False
cgtnjyggtm,mse,0.03,0.07864898227481956,0.12489113137678862,0.025233440698622607,0.02145803417614291,"[0.036465521853911324, 0.036365546716930104, 0.03541868848975913]","[0.981627052009845, 0.9669927076199186, 0.9426733915504295]",False
cgtnjyggtm,mse,0.1,0.07873037701519658,0.12512912550982436,0.02530655623125069,0.020585340037518045,"[0.03629929444458889, 0.03625144034942256, 0.035373429489253115]","[0.9832300198826506, 0.969209589943162, 0.9469415000694279]",False
cgtnjyggtm,mse,0.3,0.07894327652932777,0.12571264684456795,0.025483287722871232,0.019081957171426817,"[0.035941035196768334, 0.03598303878811908, 0.03521703750375132]","[0.9858949912861853, 0.9727452130184362, 0.9541368679497805]",False
cgtnjyggtm,mse,1.0,0.07940677032823891,0.12720877522965307,0.025943676112306583,0.01698157586904742,"[0.03512436952027274, 0.035281367795431125, 0.03464630777018357]","[0.9892693327916116, 0.9771330699520813, 0.9636840520272798]",False
cgtnjyggtm,huber,0.0,0.08153263313337067,0.12960357951720625,0.02750186957980998,0.020648686962844744,"[0.03354485270988789, 0.03389490671820322, 0.03229136022901574]","[0.9826265965174242, 0.9711095392341121, 0.9470201988197291]",False
cgtnjyggtm,huber,0.001,0.0815331431665491,0.12961078861359723,0.02750468269237145,0.020603950478512465,"[0.033539923727227784, 0.03388405783378579, 0.03229546384295454]","[0.9827118104869454, 0.9712136948572451, 0.9472598055296316]",False
cgtnjyggtm,huber,0.003,0.08153448547478068,0.1296251732805492,0.02751010233581652,0.020515228838199676,"[0.033530114233657995, 0.033863475112576875, 0.03230326629450971]","[0.9828835651612244, 0.9714157632725312, 0.9477254486848926]",False
cgtnjyggtm,huber,0.01,0.08153787895932911,0.1296749693368704,0.02752996879423076,0.020224663619465736,"[0.03349626007802621, 0.03379686722016621, 0.03232686419360002]","[0.9834299405409755, 0.9720629404772984, 0.9492074441125474]",False
cgtnjyggtm,huber,0.03,0.08154067150580553,0.12980984780993055,0.02758730150837041,0.019546913635829416,"[0.03340398810974412, 0.03364702497699301, 0.032369637267963235]","[0.9846405174032027, 0.9735231251920459, 0.9524582182349923]",False
cgtnjyggtm,huber,0.1,0.08157201144205668,0.13027559952088663,0.027806664520390524,0.01811373582788627,"[0.033120659313113525, 0.03331889391052986, 0.03237092312885126]","[0.9871601995062278, 0.9764675532382389, 0.9590361691098989]",False
cgtnjyggtm,huber,0.3,0.08166788246894544,0.13131279622913786,0.028327221560322236,0.01642462496586317,"[0.03256807703276045, 0.032778220582783756, 0.032106655749506594]","[0.9899295784092099, 0.979609598064132, 0.9661504901512789]",False
cgtnjyggtm,huber,1.0,0.08215988738984863,0.13357455900358645,0.029289463617033013,0.014463990916819347,"[0.03148874223267942, 0.03171809585004469, 0.031213444244480103]","[0.9926417813137558, 0.9829131079087486, 0.9737528627960569]",False
w68dtmpfyf,mse,0.0,0.08662225373229801,0.1221283254036012,0.030016684628211904,0.014950216492475077,"[0.030263491744823613, 0.030344302906026455, 0.02987931239419808]","[0.9949125117863691, 0.9856230678042034, 0.9779149450372364]",False
w68dtmpfyf,mse,0.001,0.08662181022464147,0.12212767430201923,0.03001684958635682,0.01494535753410888,"[0.0302625258070918, 0.030343178441710916, 0.029879319878987367]","[0.9949125592269383, 0.985634519716799, 0.9779294439996347]",False
w68dtmpfyf,mse,0.003,0.08662092784350317,0.12212637446327286,0.03001717880712396,0.014935676942343115,"[0.030260601469733712, 0.030340937024221498, 0.029879329934670684]","[0.9949126531663103, 0.9856572478920331, 0.9779582602327666]",False
w68dtmpfyf,mse,0.01,0.08661788703947051,0.12212184954776283,0.030018324047560663,0.014902431432824817,"[0.030253943688566192, 0.03033316957760251, 0.029879314840533588]","[0.9949129752794115, 0.9857350051379279, 0.9780572591662929]",False
w68dtmpfyf,mse,0.03,0.08660958035298834,0.12210912411097037,0.030021542058746874,0.014810831763489256,"[0.030235544469884534, 0.030311609606894076, 0.029878870944736548]","[0.9949139065664554, 0.9859430212391667, 0.9783253290497486]",False
w68dtmpfyf,mse,0.1,0.08658414138932478,0.12206670487142011,0.030032358617546863,0.014532987145833181,"[0.030177153680217297, 0.03024250028866466, 0.029873593562274307]","[0.9949188921082042, 0.9865423138495057, 0.9791257196414851]",False
w68dtmpfyf,mse,0.3,0.08655069534081286,0.12205210762145467,0.030082025380950117,0.013963893571241821,"[0.03004301089412707, 0.03008262809869912, 0.029840693730861272]","[0.994955399995465, 0.9876436196188507, 0.9807148566951424]",False
w68dtmpfyf,mse,1.0,0.08654893777664442,0.12262475405479357,0.03024773228514592,0.012942856012709442,"[0.029723367301899048, 0.029716871424848888, 0.029676028349948685]","[0.9951753664423497, 0.9893811215257352, 0.9834825133653862]",False
w68dtmpfyf,huber,0.0,0.08806517272656299,0.13337908628450693,0.0323234659772111,0.01233910755428196,"[0.02566498408521859, 0.0255549833504013, 0.026288464614559966]","[0.9965413401337635, 0.9901115420217325, 0.9856346913107801]",False
w68dtmpfyf,huber,0.001,0.08806664243864634,0.13337975641618133,0.03232285676819034,0.012326091290588434,"[0.02566468351106151, 0.02555457946881588, 0.026286249931054113]","[0.9965480033837271, 0.990135371487736, 0.9856537745534827]",False
w68dtmpfyf,huber,0.003,0.08806952301274126,0.13338111190092625,0.0323215682983909,0.012300667878025856,"[0.025664289136769772, 0.025553685008594156, 0.026281901644394163]","[0.9965617305795864, 0.9901803863850982, 0.9856915327417312]",False
w68dtmpfyf,huber,0.01,0.08807959523351981,0.13338598006933158,0.03231716849398056,0.012217949518503829,"[0.025662738535986267, 0.025550370419083916, 0.026267489790369154]","[0.9966040756604653, 0.9903266989533596, 0.9858154275443244]",False
w68dtmpfyf,huber,0.03,0.08811373711637555,0.13340170656503977,0.03231196429685873,0.012017949106045187,"[0.02565595406853379, 0.02553939456658069, 0.02623210061886948]","[0.9966935021354615, 0.9906705456881857, 0.986120924936405]",False
w68dtmpfyf,huber,0.1,0.0882297821226053,0.1334662787796257,0.03230102220166152,0.011597656182175476,"[0.025623790135449853, 0.02549972167899427, 0.026139672933489067]","[0.9968276710139862, 0.9914209009733025, 0.9868363133034852]",False
w68dtmpfyf,huber,0.3,0.088561271849793,0.13368053595445725,0.03226467354877705,0.011013762721534504,"[0.025524636664554474, 0.02537745121928034, 0.025967848703664153]","[0.9969310056600262, 0.9924701897348567, 0.9880654427575211]",False
w68dtmpfyf,huber,1.0,0.08971825258910276,0.1344535977877362,0.03211632617359687,0.010054010773192493,"[0.025237831264313355, 0.02505675622527108, 0.025629467334360237]","[0.9972037866706642, 0.99394314100989, 0.9902607500730701]",False
xcmzfsbd9t,mse,0.0,0.09802303619485418,0.1452269520396538,0.03256739210846457,0.011462294720245458,"[0.02553658803746511, 0.02524512375363882, 0.025905121762992967]","[0.9974080921271969, 0.9924293270428819, 0.990878971268809]",False
xcmzfsbd9t,mse,0.001,0.09802218435860698,0.14522762925502658,0.032568361333239836,0.011460703829652552,"[0.025536511046284106, 0.02524541566298796, 0.025904762642559344]","[0.9974088739557712, 0.99243093434951, 0.9908828451599766]",False
xcmzfsbd9t,mse,0.003,0.09802048659919242,0.14522898773625878,0.03257029740756197,0.011457550995303711,"[0.025536358682948204, 0.025245994221885986, 0.025904047362302934]","[0.9974104083562748, 0.9924341214471684, 0.9908905304661365]",False
xcmzfsbd9t,mse,0.01,0.09801460538814182,0.14523378385860952,0.032577048896919425,0.01144712185628742,"[0.025535841779924913, 0.02524796533578047, 0.025901574197801418]","[0.9974154841100289, 0.9924449988694306, 0.9909167946661717]",False
xcmzfsbd9t,mse,0.03,0.09799829786920947,0.1452478171306692,0.032596130645368385,0.011419481720444968,"[0.02553449088303351, 0.02525316749410338, 0.025894750199512283]","[0.997427742472301, 0.9924739564374654, 0.9909868865060845]",False
xcmzfsbd9t,mse,0.1,0.09794616937654653,0.14530000921670888,0.03266063395061829,0.01133981192133023,"[0.025530807398440013, 0.025267350720473498, 0.025873149606187393]","[0.9974525496142223, 0.9925578558911413, 0.9911887905464122]",False
xcmzfsbd9t,mse,0.3,0.09782675421223655,0.14546432408951337,0.03282824941236011,0.01119896067758964,"[0.025523768619066602, 0.02528764661397784, 0.025823262165427574]","[0.9974643583239688, 0.9927327134004903, 0.9915759552649712]",False
xcmzfsbd9t,mse,1.0,0.09759226999737632,0.14608982041560947,0.03328928376618213,0.010893497073821241,"[0.02549581714946467, 0.025282240230967232, 0.025699236477608654]","[0.9974762497220535, 0.9931752897729298, 0.9923358718215356]",False
xcmzfsbd9t,huber,0.0,0.09988858549818067,0.16764911971480506,0.03943923450642631,0.00826967299143413,"[0.020386720707320505, 0.02018665770019125, 0.020478808678445495]","[0.9986426142753289, 0.99628689906439, 0.9953525900752171]",False
xcmzfsbd9t,huber,0.001,0.09988796019908458,0.16765111378798148,0.03944012198531932,0.008269898312225648,"[0.020387298484197378, 0.020188476081426574, 0.020476124975586547]","[0.9986483938585092, 0.9962885799637429, 0.9953637793152322]",False
xcmzfsbd9t,huber,0.003,0.0998867108054475,0.1676552078180496,0.039441943823237,0.008270682659736144,"[0.020388381573209168, 0.02019196424552917, 0.02047105211508464]","[0.9986578170946971, 0.9962905900123236, 0.9953784070277181]",False
xcmzfsbd9t,huber,0.01,0.09988225758410083,0.16766949498299213,0.03944840395186533,0.008270987985299174,"[0.020391522338377474, 0.020202532981974997, 0.02045566039018078]","[0.9986786617787913, 0.996297103048853, 0.9953986549415558]",False
xcmzfsbd9t,huber,0.03,0.09987132647624777,0.16770850565164838,0.03946561762218852,0.008246813922162179,"[0.020397447217107314, 0.020223351974302868, 0.020423320217710823]","[0.9987070059439954, 0.9963416752881128, 0.9954409857145492]",False
xcmzfsbd9t,huber,0.1,0.09982605333332668,0.16783155702352848,0.0395249243875689,0.00813995382538779,"[0.020402444088567034, 0.020242699895391944, 0.020362251142480307]","[0.9987301918379152, 0.9965037853049477, 0.9956103845094824]",False
xcmzfsbd9t,huber,0.3,0.09974378311012456,0.16814570628600892,0.03966621515616076,0.00798147400477539,"[0.020379189051863245, 0.02021855705952399, 0.020283653661568497]","[0.9987117285423106, 0.9967119161174255, 0.9959081665467516]",False
xcmzfsbd9t,huber,1.0,0.09975286560430353,0.16928085397168116,0.04008886731325969,0.007662543324921531,"[0.02025493915667825, 0.020089293053738248, 0.020134625269413634]","[0.998720417317443, 0.9970275718918191, 0.9964371788165156]",False
yfxyg8jm46,mse,0.0,0.08491735068282187,0.10987582744318115,0.019680069987143674,0.012887163678413097,"[0.028288478214278063, 0.028682082967708668, 0.02795767441821646]","[0.9971515948534887, 0.9899532203139116, 0.9874678657516994]",False
yfxyg8jm46,mse,0.001,0.08491617601474225,0.10987569804169782,0.019679993153733415,0.012884314677319578,"[0.02828711454420673, 0.028681933024974494, 0.027957418686633984]","[0.9971524556122232, 0.9899595428677662, 0.9874739907443072]",False
yfxyg8jm46,mse,0.003,0.08491382860921956,0.10987544002718573,0.01967984810413982,0.012878648177774663,"[0.028284399094035562, 0.02868162407567325, 0.02795690694842311]","[0.997154155908946, 0.9899721024282551, 0.9874861645177958]",False
yfxyg8jm46,mse,0.01,0.0849056330735904,0.10987454486459788,0.01967942883046922,0.0128596309473175,"[0.028275017222758537, 0.028680450681404356, 0.027955112886124418]","[0.9971598926530114, 0.9900151870353031, 0.9875279939677428]",False
yfxyg8jm46,mse,0.03,0.08488239448993708,0.10987204603155933,0.019678939984279824,0.012807254683714025,"[0.028249198229468492, 0.028676379829018075, 0.02794995976050644]","[0.9971746379322324, 0.9901313533119461, 0.9876413220195183]",False
yfxyg8jm46,mse,0.1,0.084803248480296,0.10986372684402616,0.019683940589340334,0.012645313696366331,"[0.02816841563593033, 0.028655900839362973, 0.02793158721958293]","[0.9972125483405809, 0.9904739655912573, 0.9879806707218818]",False
yfxyg8jm46,mse,0.3,0.0845978067970534,0.10984041179988231,0.019731546542161464,0.012313622802948537,"[0.027990552967704526, 0.028573227584921874, 0.027876995421317708]","[0.9972698861819647, 0.9911391644063462, 0.9886652642455898]",False
yfxyg8jm46,mse,1.0,0.08405716874926279,0.10974330667118894,0.019969688898723213,0.011632432511178584,"[0.027612765255333013, 0.028270128441298187, 0.027688378787538617]","[0.9973793418702322, 0.9923006538430315, 0.9899540289916144]",False
yfxyg8jm46,huber,0.0,0.0798795408035721,0.10710654618484736,0.02222182652817967,0.010153224790938534,"[0.020295128380789867, 0.020102766047067188, 0.02016110548875939]","[0.9981547000299147, 0.9917080669652123, 0.9904384581467263]",False
yfxyg8jm46,huber,0.001,0.0798815523283148,0.10711002654062708,0.022221206510314027,0.010145311311190003,"[0.020292386543066542, 0.020102136544495088, 0.020162974165098747]","[0.9981555305583228, 0.9917308061875972, 0.9904469492981787]",False
yfxyg8jm46,huber,0.003,0.07988554475725138,0.10711717697413739,0.02222008121690686,0.010129703928641133,"[0.02028699321449397, 0.020100880332995955, 0.02016649629214194]","[0.9981570473284676, 0.9917757111174792, 0.990463520150429]",False
yfxyg8jm46,huber,0.01,0.07989888051358188,0.10714180690127431,0.022216632806195576,0.010081529000942849,"[0.02026906482635146, 0.020096604103062507, 0.02017785132294651]","[0.9981609176003222, 0.9919227791976114, 0.9905169601394223]",False
yfxyg8jm46,huber,0.03,0.07993317266137008,0.10720690496758695,0.0222090830948334,0.009967881791648104,"[0.020225414481694914, 0.02008433912786137, 0.020203932383557936]","[0.998164819133514, 0.9922744898793766, 0.9906517467200735]",False
yfxyg8jm46,huber,0.1,0.080035189887774,0.10740854373346582,0.0221932622625988,0.009714984023723915,"[0.020119088529292062, 0.020043698669578808, 0.020253613073860612]","[0.9981384181822786, 0.9930763234762466, 0.9910108906743751]",False
yfxyg8jm46,huber,0.3,0.08024141018666431,0.10789968858211033,0.022201939690471493,0.009326582588716013,"[0.01995180832814654, 0.019937951890752204, 0.020269670567368014]","[0.9980702343208763, 0.9941236596058431, 0.9917430290840066]",False
yfxyg8jm46,huber,1.0,0.0808584136297981,0.1093764362615738,0.022266828171848035,0.008689643824520187,"[0.019693496295931038, 0.01969100435236083, 0.02015731476103912]","[0.9981045083959267, 0.9953510818630962, 0.9931384673226795]",False
ykhs7s2dck,mse,0.0,0.10259379513628045,0.1267599656109662,0.01932166782162539,0.013667110984104433,"[0.03782116965824535, 0.038872705785377, 0.036398568941596134]","[0.9960906886915041, 0.9911767961666099, 0.9861542201486951]",False
ykhs7s2dck,mse,0.001,0.1025911888629604,0.12675313752250256,0.01932107007798275,0.013662019058861316,"[0.037820072752371724, 0.03887150327738647, 0.036400258188384646]","[0.9960920059496304, 0.9911841279761894, 0.9861650088958684]",False
ykhs7s2dck,mse,0.003,0.10258600225444274,0.1267395666285375,0.019319894305896985,0.013651885324679777,"[0.037817887452463485, 0.038869107531729175, 0.03640361268128927]","[0.996094613902554, 0.9911986564593013, 0.9861863956177794]",False
ykhs7s2dck,mse,0.01,0.10256811606314546,0.126692947266946,0.019315981960050372,0.0136169331983099,"[0.03781032619094512, 0.038860817597708056, 0.0364151064199781]","[0.9961034718542745, 0.9912481301331493, 0.9862593054741802]",False
ykhs7s2dck,mse,0.03,0.10251917446892315,0.12656688893049206,0.019306445052365822,0.013521395673808988,"[0.03778942258787059, 0.03883789782663177, 0.03644594634130152]","[0.9961266714027851, 0.99137866790511, 0.9864523170744036]",False
ykhs7s2dck,mse,0.1,0.10236904355599794,0.12619611737125422,0.01928902083248209,0.013254565905662832,"[0.03772292358816402, 0.03876504229002223, 0.036534391539241866]","[0.9961892893219368, 0.9917388140879387, 0.9869903414961896]",False
ykhs7s2dck,mse,0.3,0.10205765783824505,0.1255297877381803,0.01932410488202984,0.012807450982253213,"[0.03756801295160288, 0.038596583152090067, 0.03668156747043005]","[0.9962872172678934, 0.9923352260940914, 0.987906357973495]",False
ykhs7s2dck,mse,1.0,0.10150184972102774,0.12488232178231182,0.01974548922167827,0.012078079497949696,"[0.03718333845495055, 0.03818965171958244, 0.03677805754953833]","[0.9964125085798281, 0.9931730087549476, 0.9892879176549804]",False
ykhs7s2dck,huber,0.0,0.09076761609194546,0.1349617070503061,0.02931070756344308,0.01355730966901317,"[0.028533279378474264, 0.028898476133881867, 0.027620483459550062]","[0.9965795159467068, 0.9890272526021073, 0.9832727512449901]",False
ykhs7s2dck,huber,0.001,0.09076604694991611,0.1349595570327641,0.0293100493050854,0.013532339238249586,"[0.028532346583193577, 0.028896991599070523, 0.02761858095312461]","[0.9965909546781858, 0.9890630133653961, 0.9833264621679989]",False
ykhs7s2dck,huber,0.003,0.09076280220304828,0.13495409145732545,0.02930829161615101,0.013482876435112668,"[0.02853030860017893, 0.028893975660614805, 0.027615199503825058]","[0.9966123137536611, 0.9891363270596526, 0.9834318056872203]",False
ykhs7s2dck,huber,0.01,0.09075275865771606,0.13493704402735757,0.029302280038426214,0.013320767463894595,"[0.028522215006719764, 0.028882954433233094, 0.027605120501640837]","[0.9966765142873146, 0.9893875514049136, 0.9837743554709313]",False
ykhs7s2dck,huber,0.03,0.09073177482862708,0.13490306847745917,0.029288354712527935,0.012944764605602491,"[0.028496885081929723, 0.02884953435802997, 0.027586676942380303]","[0.996815144232499, 0.989979187182164, 0.984575375847014]",False
ykhs7s2dck,huber,0.1,0.0907165925666865,0.13487030133745298,0.029252129512388127,0.012126031625154438,"[0.02840642985130839, 0.02873618276435807, 0.027573278572084758]","[0.9970534061936877, 0.9912872771828578, 0.9863186002697829]",False
ykhs7s2dck,huber,0.3,0.09083428162393915,0.1351088975815687,0.029217121400794428,0.011145851441754673,"[0.028178777327151197, 0.0284670284320442, 0.02753800137866976]","[0.9972728556689378, 0.9928362376327489, 0.9884130333395259]",False
ykhs7s2dck,huber,1.0,0.09157129317055748,0.13627917043568877,0.029040623159899952,0.009901807555867,"[0.027641607774251453, 0.027872845606326368, 0.027324970445594024]","[0.9975405856134754, 0.994629047301318, 0.9909887078125253]",False
