outer_domain,loss,lambda_consistency,equal_domain_mae,worst_domain_mae,domain_mae_sd,mean_absolute_disagreement,prediction_variances,residual_correlations,collapsed
74t7kcdgkr,mse,0.0,0.10694046589647148,0.14305410781809125,0.023873489836141997,0.014412978295979937,"[0.03777384497363249, 0.03872779923303265, 0.03750946623337761]","[0.996986335726112, 0.9912813338138519, 0.9873195492523974]",False
74t7kcdgkr,mse,0.001,0.10693954830820351,0.1430505119331936,0.02387308335323989,0.014407595164213591,"[0.03777252852010019, 0.03872718599488571, 0.037509627254851546]","[0.9969867607128037, 0.9912876941864748, 0.9873303599502448]",False
74t7kcdgkr,mse,0.003,0.10693771537167433,0.1430433442679392,0.02387227670910826,0.014396883461328914,"[0.03776990367832809, 0.03872595677383616, 0.03750994510653222]","[0.9969875994405341, 0.9913003002129941, 0.9873518001909344]",False
74t7kcdgkr,mse,0.01,0.10693132378549126,0.14301850691961865,0.023869518555078878,0.014360089923779235,"[0.03776079975859017, 0.038721626994747, 0.03751101395446514]","[0.9969904214581173, 0.9913432538475477, 0.9874249951317791]",False
74t7kcdgkr,mse,0.03,0.10691326881146132,0.1429495960459031,0.023862166175188812,0.014261917922101445,"[0.03773546177575234, 0.03870905033426147, 0.03751370368250657]","[0.9969976134294176, 0.9914568156651605, 0.9876195837117585]",False
74t7kcdgkr,mse,0.1,0.10685544825131506,0.1427295113019796,0.02384404076997863,0.013980217305739784,"[0.03765342078777517, 0.03866352048200215, 0.037519285691916]","[0.9970155597567233, 0.9917725981888806, 0.988169578530604]",False
74t7kcdgkr,mse,0.3,0.10671320021209427,0.1422325042407662,0.02382253629737986,0.013475648775599652,"[0.03745753019527705, 0.03853201101606734, 0.037511996403098775]","[0.9970403680577794, 0.992309944286785, 0.9891390133105373]",False
74t7kcdgkr,mse,1.0,0.10638463118596875,0.14125057899660992,0.0238455778821284,0.01265725718204806,"[0.03698362115055484, 0.038142234048099855, 0.03739283438475135]","[0.997088634638838, 0.993105195456625, 0.9906300002094733]",False
74t7kcdgkr,huber,0.0,0.09935506465328163,0.14533348708252417,0.027890801584633567,0.012188910804568178,"[0.029199609788601578, 0.029307935079094186, 0.02850104785767265]","[0.9979440085763949, 0.992698608428806, 0.9902704820999857]",False
74t7kcdgkr,huber,0.001,0.09935332939756329,0.14533069897863007,0.027890993229205085,0.012172200877891016,"[0.029197686459073866, 0.029311666571189634, 0.028492329061596242]","[0.9979484410440981, 0.9927137511738081, 0.9902874117147302]",False
