method,equal_domain_mae,worst_domain_mae,domain_mae_sd,rmse,r2,equal_domain_mae_mpa,rmse_mpa
full,0.08963580465761434,0.1274307438735015,0.029213979225082776,0.124322140072645,0.6642138175661688,37.260857994328234,54.19714335765872
bilinear_50,0.09209015330283075,0.13040575293423998,0.02999815403852643,0.12784757954578846,0.6448998247944709,38.334470888259695,55.761817763096246
bilinear_25,0.09118022972907479,0.13226041469369032,0.03124432195376967,0.12532521850022266,0.6587734564000731,38.03999854442548,54.73048499039409
independent_equal_fusion,0.09062720807964307,0.12924226503555925,0.030311412938187874,0.12544929283578826,0.658097480493186,37.743176542035194,54.73245619910955
validation_weighted,0.09130311076243099,0.13226041469369032,0.031004814640866702,0.1261932692293607,0.6540301532098582,38.0622090380786,55.11395597728594
cooperative_selected,0.09390536286205671,0.13846740001477814,0.030523595714700556,0.12754907139694327,0.6465561181337389,38.954220230502656,55.5731111224453
