outer_domain,loss,lambda_consistency,validation_weights
74t7kcdgkr,huber,1.0,"[0.263266438176504, 0.0, 0.7367335618234959]"
cgtnjyggtm,mse,0.0,"[0.32602971978488354, 0.6739702802151165, 0.0]"
w68dtmpfyf,mse,1.0,"[0.31488961026458906, 0.0, 0.6851103897354109]"
xcmzfsbd9t,mse,1.0,"[0.0, 0.09805002100794749, 0.9019499789920525]"
yfxyg8jm46,huber,0.0,"[-0.0, 0.0, 1.0]"
ykhs7s2dck,huber,0.1,"[1.0, 0.0, -0.0]"
