method,nominal_checkpoint,specimen_fold_count,pearson,spearman,signed_bias_additive_minus_joint,mean_absolute_error
one_shot_mechanical,0.0625,1380,0.2806193938682847,0.4246238816824489,0.04776863525699454,0.04842524189338194
one_shot_mechanical,0.09375,1380,0.22325677874621597,0.35183575546383156,0.06367629970376747,0.06406166369874537
one_shot_mechanical,0.125,1380,0.20890838056613154,0.33855981084709214,0.07162657596916991,0.0721639306155797
one_shot_mechanical,0.1875,1380,0.27532079442316704,0.3889903460813394,0.06578293086122095,0.06919207238064704
one_shot_mechanical,0.25,1380,0.5770782443548016,0.6186684435443368,0.012854603248181185,0.05568894734421763
one_shot_reconstruction,0.0625,1380,0.7148469930569107,0.7480210451878955,0.002321085955526657,0.03380076736115948
one_shot_reconstruction,0.09375,1380,0.7038036330544426,0.7279612052434117,0.0038783301938194663,0.038727319429586106
one_shot_reconstruction,0.125,1380,0.6768300316243656,0.7145817154639476,0.00410241981590096,0.0423330639211775
one_shot_reconstruction,0.1875,1380,0.6401095165277391,0.7005986026357238,0.004266851198077945,0.048558624350926324
one_shot_reconstruction,0.25,1380,0.6084905529189217,0.6625455795400202,0.003527593661575669,0.05677192478584372
random,0.0625,1380,0.8370787205807787,0.8539507054799009,0.0015023400594150647,0.01113284089157561
random,0.09375,1380,0.7809368712388782,0.8032925690558499,0.0032735606371337477,0.02066544932108911
random,0.125,1380,0.7584626924607539,0.7814614479423693,0.004783417205510227,0.031980889536812857
random,0.1875,1380,0.7035649981044464,0.7477023231590331,0.004944291955155215,0.041463553626190794
random,0.25,1380,0.6091973306470925,0.6627333781464366,0.0037423643347063882,0.056797177344701084
uniform,0.0625,1380,0.9538625368449959,0.9531329854446607,0.00023126687933157863,0.004016811232488491
uniform,0.09375,1380,0.8130462103495105,0.83659329063235,0.004381441625799208,0.016103295520265876
uniform,0.125,1380,0.7921800441783652,0.8157891190914803,0.0034587731240284946,0.01920180474252155
uniform,0.1875,1380,0.6912833533922133,0.7283767054935534,0.004026230788431599,0.04254132990749003
uniform,0.25,1380,0.6096621175610666,0.6619435409235694,0.0034700023616313024,0.05715208738633548
