dataset_id,method,auebc,mae_0p125,b_5,uniform_minus_method_auebc,reconstruction_minus_method_auebc
74t7kcdgkr,uniform,0.010159913994099087,0.05213141500072992,0.03125,0.0,-0.00041199314891839436
74t7kcdgkr,random_median,0.011051791112659264,0.05762323778266884,0.03125,-0.0008918771185601766,-0.001303870267478571
74t7kcdgkr,one_shot_reconstruction,0.009747920845180693,0.05278424230368772,0.03125,0.00041199314891839436,0.0
74t7kcdgkr,global_mechanical_mask,0.010115252366111679,0.05455759010650369,0.03125,0.00004466162798740826,-0.0003673315209309861
74t7kcdgkr,one_shot_mechanical_oracle,0.007256235230724656,0.03500259635702778,0.03125,0.002903678763374431,0.002491685614456037
74t7kcdgkr,sequential_mechanical_oracle,0.006185735118673276,0.038279808248108727,0.03125,0.003974178875425811,0.0035621857265074166
74t7kcdgkr,FULL,0.016806713373302685,0.08963580465761432,1.0,-0.0066467993792035975,-0.007058792528121992
cgtnjyggtm,uniform,0.024221554997891796,0.1329365545193173,,0.0,-0.00021945699998663498
cgtnjyggtm,random_median,0.02590442262811264,0.14592571438398175,,-0.0016828676302208453,-0.0019023246302074803
cgtnjyggtm,one_shot_reconstruction,0.02400209799790516,0.13366304770831727,,0.00021945699998663498,0.0
cgtnjyggtm,global_mechanical_mask,0.02622556147536186,0.1482017857950149,,-0.0020040064774700626,-0.0022234634774566976
cgtnjyggtm,one_shot_mechanical_oracle,0.02091162017309052,0.11086616204555137,,0.0033099348248012764,0.0030904778248146414
cgtnjyggtm,sequential_mechanical_oracle,0.017831261756011955,0.08981222070529196,0.09375,0.006390293241879841,0.006170836241893206
cgtnjyggtm,FULL,0.016806713373302685,0.08963580465761432,1.0,0.0074148416245891115,0.0071953846246024765
w68dtmpfyf,uniform,0.018316679622120146,0.10423544487573264,0.1875,0.0,-0.0003514815508034348
w68dtmpfyf,random_median,0.015044141744455454,0.08409726850114191,0.09375,0.0032725378776646916,0.002921056326861257
w68dtmpfyf,one_shot_reconstruction,0.01796519807131671,0.09802254306872964,0.1875,0.0003514815508034348,0.0
w68dtmpfyf,global_mechanical_mask,0.01698180227308572,0.09697907472530062,0.09375,0.0013348773490344246,0.0009833957982309897
w68dtmpfyf,one_shot_mechanical_oracle,0.012377372276580336,0.060556211912822684,0.03125,0.00593930734553981,0.005587825794736375
w68dtmpfyf,sequential_mechanical_oracle,0.00874309522671577,0.057327020805138976,0.0625,0.009573584395404375,0.00922210284460094
w68dtmpfyf,FULL,0.016806713373302685,0.08963580465761432,1.0,0.0015099662488174612,0.0011584846980140263
xcmzfsbd9t,uniform,0.0144335925833716,0.07826474065944278,0.0625,0.0,0.00040554473174606726
xcmzfsbd9t,random_median,0.013857683603885541,0.07422830004657069,0.0625,0.0005759089794860582,0.0009814537112321255
xcmzfsbd9t,one_shot_reconstruction,0.014839137315117667,0.08280370097136619,0.0625,-0.00040554473174606726,0.0
xcmzfsbd9t,global_mechanical_mask,0.014302773122553777,0.07901425611227075,0.0625,0.00013081946081782217,0.0005363641925638894
xcmzfsbd9t,one_shot_mechanical_oracle,0.011699592712195686,0.0613155032813968,0.0625,0.0027339998711759135,0.0031395446029219808
xcmzfsbd9t,sequential_mechanical_oracle,0.008503898567353528,0.057833208429826546,0.0625,0.0059296940160180715,0.006335238747764139
xcmzfsbd9t,FULL,0.016806713373302685,0.08963580465761432,1.0,-0.0023731207899310852,-0.001967576058185018
yfxyg8jm46,uniform,0.024944920072866385,0.13302197071271804,,0.0,-0.0007988523542185252
yfxyg8jm46,random_median,0.02724354249047299,0.1362557019959611,,-0.0022986224176066057,-0.003097474771825131
yfxyg8jm46,one_shot_reconstruction,0.02414606771864786,0.12411434440664965,,0.0007988523542185252,0.0
yfxyg8jm46,global_mechanical_mask,0.026277872303142276,0.14070986848791306,,-0.0013329522302758905,-0.0021318045844944157
yfxyg8jm46,one_shot_mechanical_oracle,0.01896017088352315,0.087146381163056,0.03125,0.0059847491893432365,0.005185896835124711
yfxyg8jm46,sequential_mechanical_oracle,0.013943836934880863,0.07132232792547158,0.03125,0.011001083137985522,0.010202230783766997
yfxyg8jm46,FULL,0.016806713373302685,0.08963580465761432,1.0,0.0081382066995637,0.007339354345345175
ykhs7s2dck,uniform,0.012104086899690975,0.06710753342756914,0.03125,0.0,0.00032145349682318955
ykhs7s2dck,random_median,0.012575747479278119,0.06745374799484011,0.03125,-0.0004716605795871444,-0.00015020708276395484
ykhs7s2dck,one_shot_reconstruction,0.012425540396514164,0.06972130801409468,0.03125,-0.00032145349682318955,0.0
ykhs7s2dck,global_mechanical_mask,0.011930086241004317,0.07146698614672269,0.03125,0.00017400065868665784,0.0004954541555098474
ykhs7s2dck,one_shot_mechanical_oracle,0.009542673387950902,0.049264311830605,0.03125,0.0025614135117400724,0.002882867008563262
ykhs7s2dck,sequential_mechanical_oracle,0.008539327021157275,0.05197849612724955,0.03125,0.0035647598785336996,0.003886213375356889
ykhs7s2dck,FULL,0.016806713373302685,0.08963580465761432,1.0,-0.00470262647361171,-0.004381172976788521
