method,protocol,nominal_checkpoint,equal_domain_mae,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max
one_shot_mechanical_oracle,P-A,0.03125,0.09400445944367081,,,,,0.03074227836584023,0.030409494351802045,0.03132613992342499
one_shot_mechanical_oracle,P-A,0.0625,0.08633041670672553,,,,,0.06071943196106377,0.05917573359709858,0.062485987471150674
one_shot_mechanical_oracle,P-A,0.09375,0.08499699265833123,,,,,0.09115369801492844,0.09016375425870975,0.09374876360039565
one_shot_mechanical_oracle,P-A,0.125,0.08280107506989445,,,,,0.12366733010895366,0.12161503654716324,0.125
one_shot_mechanical_oracle,P-A,0.1875,0.08020912317677219,,,,,0.1859000864432977,0.18431082492168466,0.1874159494351802
one_shot_mechanical_oracle,P-A,0.25,0.08448493538545405,,,,,0.2472277479833802,0.24671282558522914,0.25
one_shot_mechanical_oracle,P-B,0.03125,0.07766817318572904,,,,,0.03074227836584023,0.030409494351802045,0.03132613992342499
one_shot_mechanical_oracle,P-B,0.0625,0.0643566140787871,,,,,0.06071943196106377,0.05917573359709858,0.062485987471150674
one_shot_mechanical_oracle,P-B,0.09375,0.06924802944203502,,,,,0.09115369801492844,0.09016375425870975,0.09374876360039565
one_shot_mechanical_oracle,P-B,0.125,0.0673585277650766,,,,,0.12366733010895366,0.12161503654716324,0.125
one_shot_mechanical_oracle,P-B,0.1875,0.07203374708239128,,,,,0.1859000864432977,0.18431082492168466,0.1874159494351802
one_shot_mechanical_oracle,P-B,0.25,0.08412258924785528,,,,,0.2472277479833802,0.24671282558522914,0.25
