level,outer_domain,nominal_checkpoint,specimen_count,mean_feedback_benefit,mean_exact_cost_difference
auebc,74t7kcdgkr,,45,0.000004984611182,
auebc,__equal_domain__,,276,-0.000014962761715,
auebc,cgtnjyggtm,,49,-0.000009291206566,
auebc,w68dtmpfyf,,43,0.000002983333065,
auebc,xcmzfsbd9t,,59,-0.000009004203264,
auebc,yfxyg8jm46,,42,-0.000040325602902,
auebc,ykhs7s2dck,,38,-0.000039123501809,
checkpoint,74t7kcdgkr,0.03125,45,0,0
checkpoint,__equal_domain__,0.03125,276,-0.000003466448758,23.67460317460317
checkpoint,cgtnjyggtm,0.03125,49,0,0
checkpoint,w68dtmpfyf,0.03125,43,0,0
checkpoint,xcmzfsbd9t,0.03125,59,0,0
checkpoint,yfxyg8jm46,0.03125,42,-0.000020798692548,142.04761904761904
checkpoint,ykhs7s2dck,0.03125,38,0,0
checkpoint,74t7kcdgkr,0.0625,45,-0.000006706114275,367.9555555555556
checkpoint,__equal_domain__,0.0625,276,-0.00001808088059,160.42749896667956
checkpoint,cgtnjyggtm,0.0625,49,-0.000002134554729,92.06122448979592
checkpoint,w68dtmpfyf,0.0625,43,0,0
checkpoint,xcmzfsbd9t,0.0625,59,-0.000004865495456,14.983050847457626
checkpoint,yfxyg8jm46,0.0625,42,-0.000010812187321,286.8809523809524
checkpoint,ykhs7s2dck,0.0625,38,-0.000083966931758,200.68421052631578
checkpoint,74t7kcdgkr,0.09375,45,-0.000006350259322,7.133333333333334
checkpoint,__equal_domain__,0.09375,276,-0.00002704255745,75.25727286758668
checkpoint,cgtnjyggtm,0.09375,49,-0.000006251745454,47.16326530612245
checkpoint,w68dtmpfyf,0.09375,43,-0.000007647794845,-117.02325581395348
checkpoint,xcmzfsbd9t,0.09375,59,-0.000003473939035,0.796610169491525
checkpoint,yfxyg8jm46,0.09375,42,-0.000064238216096,231
checkpoint,ykhs7s2dck,0.09375,38,-0.000074293389948,282.4736842105263
checkpoint,74t7kcdgkr,0.125,45,0.000007447469474,-51.53333333333333
checkpoint,__equal_domain__,0.125,276,-0.000032458130111,61.64560328359988
checkpoint,cgtnjyggtm,0.125,49,-0.000008228308439,10.571428571428571
checkpoint,w68dtmpfyf,0.125,43,-0.000005917565128,30.27906976744186
checkpoint,xcmzfsbd9t,0.125,59,-0.000023769021803,-37.96610169491525
checkpoint,yfxyg8jm46,0.125,42,-0.000099110515373,172.78571428571428
checkpoint,ykhs7s2dck,0.125,38,-0.000065170839396,245.73684210526312
checkpoint,74t7kcdgkr,0.1875,45,0.00001332574454,155.42222222222222
checkpoint,__equal_domain__,0.1875,276,-0.000008380536627,90.90856595882157
checkpoint,cgtnjyggtm,0.1875,49,-0.000007601044154,151.77551020408163
checkpoint,w68dtmpfyf,0.1875,43,0.000011701967063,47.674418604651166
checkpoint,xcmzfsbd9t,0.1875,59,-0.000003890014114,-31.508474576271187
checkpoint,yfxyg8jm46,0.1875,42,-0.000043738134464,174.66666666666666
checkpoint,ykhs7s2dck,0.1875,38,-0.000020081738631,47.421052631578945
checkpoint,74t7kcdgkr,0.25,45,0.000016583457515,-10.688888888888888
checkpoint,__equal_domain__,0.25,276,0.000000463062775,-220.15605152193257
checkpoint,cgtnjyggtm,0.25,49,-0.000011553189099,-715.3265306122449
checkpoint,w68dtmpfyf,0.25,43,0.000007795625344,102.44186046511628
checkpoint,xcmzfsbd9t,0.25,59,-0.000005481764079,-19.983050847457626
checkpoint,yfxyg8jm46,0.25,42,-0.000009518715793,-709.6428571428571
checkpoint,ykhs7s2dck,0.25,38,0.000004952962764,32.26315789473684
