level,mechanism_source,stratifier,current_checkpoint,domain_count,mean_domain_spearman,positive_domain_count,minimum_domain_spearman,maximum_domain_spearman
specimen_auebc,real,best_action_turnover,,6,-0.060572344181097,2,-0.494873176524319,0.316827971899965
specimen_auebc,real,mean_absolute_value_shift,,6,0.013748509699802,3,-0.636334170650676,0.478707339172455
specimen_auebc,teacher,best_action_turnover,,6,0.006493084391658,2,-0.1970537489088,0.463522963335116
specimen_auebc,teacher,mean_absolute_value_shift,,6,0.169995997466199,5,-0.135714285714286,0.586419252896848
state_checkpoint,real,best_action_turnover,0.0625,6,0.092443502274672,4,0,0.240552212536647
state_checkpoint,real,best_action_turnover,0.09375,6,-0.086680336078595,3,-0.518345132380001,0.116950938758068
state_checkpoint,real,best_action_turnover,0.125,6,-0.15147134044128,1,-0.557886731836869,0.088718188449867
state_checkpoint,real,best_action_turnover,0.1875,6,0.062590816916684,4,-0.231482781752828,0.33071556639012
state_checkpoint,real,mean_absolute_value_shift,0.0625,6,0.01762720105847,3,-0.225783992252876,0.305948261112365
state_checkpoint,real,mean_absolute_value_shift,0.09375,6,-0.070083878635742,4,-0.656537417985514,0.147827989933253
state_checkpoint,real,mean_absolute_value_shift,0.125,6,0.002038709820073,3,-0.588850174216028,0.488523104802175
state_checkpoint,real,mean_absolute_value_shift,0.1875,6,-0.146351900444397,2,-0.624017502633498,0.138075314526521
state_checkpoint,teacher,best_action_turnover,0.0625,6,-0.141026021460479,0,-0.354517162679182,0
state_checkpoint,teacher,best_action_turnover,0.09375,6,0.037218746750126,3,-0.161202319624893,0.502657315924956
state_checkpoint,teacher,best_action_turnover,0.125,6,-0.019985642329797,2,-0.390434761085615,0.470717167063435
state_checkpoint,teacher,best_action_turnover,0.1875,6,0.040188654964182,3,-0.123780338781338,0.358696591450472
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,6,-0.058790747116226,2,-0.26571261397986,0.204075048497077
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,6,0.047749557730568,3,-0.314171942797552,0.523074430152615
state_checkpoint,teacher,mean_absolute_value_shift,0.125,6,0.153541985336135,4,-0.057285654483448,0.486265294546633
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,6,0.226355483129874,5,-0.007347688577908,0.557572319909246
