level,mechanism_source,stratifier,current_checkpoint,outer_domain,specimen_count,spearman
specimen_auebc,real,best_action_turnover,,74t7kcdgkr,45,-0.052602425009152
specimen_auebc,real,best_action_turnover,,cgtnjyggtm,49,0.316827971899965
specimen_auebc,real,best_action_turnover,,w68dtmpfyf,43,0.258063785396428
specimen_auebc,real,best_action_turnover,,xcmzfsbd9t,59,-0.355689558292634
specimen_auebc,real,best_action_turnover,,yfxyg8jm46,42,-0.494873176524319
specimen_auebc,real,best_action_turnover,,ykhs7s2dck,38,-0.035160662556867
specimen_auebc,real,mean_absolute_value_shift,,74t7kcdgkr,45,-0.15836627140975
specimen_auebc,real,mean_absolute_value_shift,,cgtnjyggtm,49,0.166938775510204
specimen_auebc,real,mean_absolute_value_shift,,w68dtmpfyf,43,0.478707339172455
specimen_auebc,real,mean_absolute_value_shift,,xcmzfsbd9t,59,-0.222443015780246
specimen_auebc,real,mean_absolute_value_shift,,yfxyg8jm46,42,-0.636334170650676
specimen_auebc,real,mean_absolute_value_shift,,ykhs7s2dck,38,0.453988401356822
specimen_auebc,teacher,best_action_turnover,,74t7kcdgkr,45,-0.1970537489088
specimen_auebc,teacher,best_action_turnover,,cgtnjyggtm,49,-0.120762963567365
specimen_auebc,teacher,best_action_turnover,,w68dtmpfyf,43,-0.104741468195947
specimen_auebc,teacher,best_action_turnover,,xcmzfsbd9t,59,0.041770526700071
specimen_auebc,teacher,best_action_turnover,,yfxyg8jm46,42,0.463522963335116
specimen_auebc,teacher,best_action_turnover,,ykhs7s2dck,38,-0.043776803013129
specimen_auebc,teacher,mean_absolute_value_shift,,74t7kcdgkr,45,0.143610013175231
specimen_auebc,teacher,mean_absolute_value_shift,,cgtnjyggtm,49,-0.135714285714286
specimen_auebc,teacher,mean_absolute_value_shift,,w68dtmpfyf,43,0.011778918755663
specimen_auebc,teacher,mean_absolute_value_shift,,xcmzfsbd9t,59,0.019637638807715
specimen_auebc,teacher,mean_absolute_value_shift,,yfxyg8jm46,42,0.586419252896848
specimen_auebc,teacher,mean_absolute_value_shift,,ykhs7s2dck,38,0.394244446876026
state_checkpoint,real,best_action_turnover,0.0625,74t7kcdgkr,45,0.240552212536647
state_checkpoint,real,best_action_turnover,0.0625,cgtnjyggtm,49,0.10699019966877
state_checkpoint,real,best_action_turnover,0.0625,w68dtmpfyf,43,0
state_checkpoint,real,best_action_turnover,0.0625,xcmzfsbd9t,59,0.149614213670829
state_checkpoint,real,best_action_turnover,0.0625,yfxyg8jm46,42,0.057504387771789
state_checkpoint,real,best_action_turnover,0.0625,ykhs7s2dck,38,0
state_checkpoint,real,best_action_turnover,0.09375,74t7kcdgkr,45,0.025464382331879
state_checkpoint,real,best_action_turnover,0.09375,cgtnjyggtm,49,0.116950938758068
state_checkpoint,real,best_action_turnover,0.09375,w68dtmpfyf,43,-0.057929862427486
state_checkpoint,real,best_action_turnover,0.09375,xcmzfsbd9t,59,0.010501539278846
state_checkpoint,real,best_action_turnover,0.09375,yfxyg8jm46,42,-0.518345132380001
state_checkpoint,real,best_action_turnover,0.09375,ykhs7s2dck,38,-0.096723882032874
state_checkpoint,real,best_action_turnover,0.125,74t7kcdgkr,45,-0.010363210018564
state_checkpoint,real,best_action_turnover,0.125,cgtnjyggtm,49,-0.130684725777855
state_checkpoint,real,best_action_turnover,0.125,w68dtmpfyf,43,0.088718188449867
state_checkpoint,real,best_action_turnover,0.125,xcmzfsbd9t,59,-0.12307844133136
state_checkpoint,real,best_action_turnover,0.125,yfxyg8jm46,42,-0.557886731836869
state_checkpoint,real,best_action_turnover,0.125,ykhs7s2dck,38,-0.175533122132899
state_checkpoint,real,best_action_turnover,0.1875,74t7kcdgkr,45,0.057169643646317
state_checkpoint,real,best_action_turnover,0.1875,cgtnjyggtm,49,0.33071556639012
state_checkpoint,real,best_action_turnover,0.1875,w68dtmpfyf,43,0.085338090246564
state_checkpoint,real,best_action_turnover,0.1875,xcmzfsbd9t,59,-0.058403346223689
state_checkpoint,real,best_action_turnover,0.1875,yfxyg8jm46,42,0.192207729193619
state_checkpoint,real,best_action_turnover,0.1875,ykhs7s2dck,38,-0.231482781752828
state_checkpoint,real,mean_absolute_value_shift,0.0625,74t7kcdgkr,45,-0.132076818786973
state_checkpoint,real,mean_absolute_value_shift,0.0625,cgtnjyggtm,49,0.14462708919628
state_checkpoint,real,mean_absolute_value_shift,0.0625,w68dtmpfyf,43,0
state_checkpoint,real,mean_absolute_value_shift,0.0625,xcmzfsbd9t,59,0.013048667082023
state_checkpoint,real,mean_absolute_value_shift,0.0625,yfxyg8jm46,42,-0.225783992252876
state_checkpoint,real,mean_absolute_value_shift,0.0625,ykhs7s2dck,38,0.305948261112365
state_checkpoint,real,mean_absolute_value_shift,0.09375,74t7kcdgkr,45,0.035943964583389
state_checkpoint,real,mean_absolute_value_shift,0.09375,cgtnjyggtm,49,-0.073386070263551
state_checkpoint,real,mean_absolute_value_shift,0.09375,w68dtmpfyf,43,0.048240790830334
state_checkpoint,real,mean_absolute_value_shift,0.09375,xcmzfsbd9t,59,0.077407471087636
state_checkpoint,real,mean_absolute_value_shift,0.09375,yfxyg8jm46,42,-0.656537417985514
state_checkpoint,real,mean_absolute_value_shift,0.09375,ykhs7s2dck,38,0.147827989933253
state_checkpoint,real,mean_absolute_value_shift,0.125,74t7kcdgkr,45,-0.174176548089592
state_checkpoint,real,mean_absolute_value_shift,0.125,cgtnjyggtm,49,0.064241057185337
state_checkpoint,real,mean_absolute_value_shift,0.125,w68dtmpfyf,43,0.488523104802175
state_checkpoint,real,mean_absolute_value_shift,0.125,xcmzfsbd9t,59,-0.062984992557056
state_checkpoint,real,mean_absolute_value_shift,0.125,yfxyg8jm46,42,-0.588850174216028
state_checkpoint,real,mean_absolute_value_shift,0.125,ykhs7s2dck,38,0.285479811795601
state_checkpoint,real,mean_absolute_value_shift,0.1875,74t7kcdgkr,45,-0.171409749670619
state_checkpoint,real,mean_absolute_value_shift,0.1875,cgtnjyggtm,49,0.138075314526521
state_checkpoint,real,mean_absolute_value_shift,0.1875,w68dtmpfyf,43,-0.025974025974026
state_checkpoint,real,mean_absolute_value_shift,0.1875,xcmzfsbd9t,59,-0.269082407948568
state_checkpoint,real,mean_absolute_value_shift,0.1875,yfxyg8jm46,42,-0.624017502633498
state_checkpoint,real,mean_absolute_value_shift,0.1875,ykhs7s2dck,38,0.074296969033811
state_checkpoint,teacher,best_action_turnover,0.0625,74t7kcdgkr,45,-0.19233472336346
state_checkpoint,teacher,best_action_turnover,0.0625,cgtnjyggtm,49,-0.354517162679182
state_checkpoint,teacher,best_action_turnover,0.0625,w68dtmpfyf,43,0
state_checkpoint,teacher,best_action_turnover,0.0625,xcmzfsbd9t,59,-0.002499638848044
state_checkpoint,teacher,best_action_turnover,0.0625,yfxyg8jm46,42,-0.104256831095522
state_checkpoint,teacher,best_action_turnover,0.0625,ykhs7s2dck,38,-0.192547772776666
state_checkpoint,teacher,best_action_turnover,0.09375,74t7kcdgkr,45,-0.161202319624893
state_checkpoint,teacher,best_action_turnover,0.09375,cgtnjyggtm,49,-0.130985841117838
state_checkpoint,teacher,best_action_turnover,0.09375,w68dtmpfyf,43,-0.110256847739943
state_checkpoint,teacher,best_action_turnover,0.09375,xcmzfsbd9t,59,0.019130627656954
state_checkpoint,teacher,best_action_turnover,0.09375,yfxyg8jm46,42,0.502657315924956
state_checkpoint,teacher,best_action_turnover,0.09375,ykhs7s2dck,38,0.103969545401519
state_checkpoint,teacher,best_action_turnover,0.125,74t7kcdgkr,45,-0.169682984870153
state_checkpoint,teacher,best_action_turnover,0.125,cgtnjyggtm,49,-0.085905605415486
state_checkpoint,teacher,best_action_turnover,0.125,w68dtmpfyf,43,-0.014005940577501
state_checkpoint,teacher,best_action_turnover,0.125,xcmzfsbd9t,59,0.06939827090654
state_checkpoint,teacher,best_action_turnover,0.125,yfxyg8jm46,42,0.470717167063435
state_checkpoint,teacher,best_action_turnover,0.125,ykhs7s2dck,38,-0.390434761085615
state_checkpoint,teacher,best_action_turnover,0.1875,74t7kcdgkr,45,-0.086720281603738
state_checkpoint,teacher,best_action_turnover,0.1875,cgtnjyggtm,49,0.046005085122343
state_checkpoint,teacher,best_action_turnover,0.1875,w68dtmpfyf,43,0.052096794955513
state_checkpoint,teacher,best_action_turnover,0.1875,xcmzfsbd9t,59,-0.123780338781338
state_checkpoint,teacher,best_action_turnover,0.1875,yfxyg8jm46,42,0.358696591450472
state_checkpoint,teacher,best_action_turnover,0.1875,ykhs7s2dck,38,-0.005165921358163
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,74t7kcdgkr,45,-0.223285334067646
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,cgtnjyggtm,49,-0.26571261397986
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,w68dtmpfyf,43,0
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,xcmzfsbd9t,59,0.084099376303366
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,yfxyg8jm46,42,-0.151920959450296
state_checkpoint,teacher,mean_absolute_value_shift,0.0625,ykhs7s2dck,38,0.204075048497077
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,74t7kcdgkr,45,-0.043990136471781
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,cgtnjyggtm,49,0.065986223122929
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,w68dtmpfyf,43,-0.314171942797552
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,xcmzfsbd9t,59,-0.206027226090906
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,yfxyg8jm46,42,0.523074430152615
state_checkpoint,teacher,mean_absolute_value_shift,0.09375,ykhs7s2dck,38,0.261625998468104
state_checkpoint,teacher,mean_absolute_value_shift,0.125,74t7kcdgkr,45,0.050724637681159
state_checkpoint,teacher,mean_absolute_value_shift,0.125,cgtnjyggtm,49,0.016238995377534
state_checkpoint,teacher,mean_absolute_value_shift,0.125,w68dtmpfyf,43,-0.006795530051344
state_checkpoint,teacher,mean_absolute_value_shift,0.125,xcmzfsbd9t,59,-0.057285654483448
state_checkpoint,teacher,mean_absolute_value_shift,0.125,yfxyg8jm46,42,0.486265294546633
state_checkpoint,teacher,mean_absolute_value_shift,0.125,ykhs7s2dck,38,0.432104168946274
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,74t7kcdgkr,45,0.271541501976285
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,cgtnjyggtm,49,-0.007347688577908
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,w68dtmpfyf,43,0.20869827846572
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,xcmzfsbd9t,59,0.104558737580362
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,yfxyg8jm46,42,0.557572319909246
state_checkpoint,teacher,mean_absolute_value_shift,0.1875,ykhs7s2dck,38,0.223109749425539
