specimen_key,dataset_id,source_json_path,pooled_json_path,source_image_sha256,reference_sha256,source_packet_id,reviewer_alias,reference_type,application_state,native_height,native_width,certain_pixel_count,uncertain_pixel_count
74t7kcdgkr:c8-24,74t7kcdgkr,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-001-742fab86.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-001-742fab86.json,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,e2214df84a10bfb90aaa591fdc3e29fa0c8d09fb2aebb06fd2c81e90db221c43,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,674,675,7346,0
74t7kcdgkr:c8-41,74t7kcdgkr,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-004-5c5f0d0c.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-004-5c5f0d0c.json,8786699e0853a3b9909a55ad3eefcaf8c19824d9ec541629a8d22255f20553d7,d1636fe2ca5df9203432609ee22d6e4ac1837795adcc7f0faea31108db1067bc,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,674,675,10668,0
74t7kcdgkr:c8-5,74t7kcdgkr,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-003-3c1e8eb0.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-003-3c1e8eb0.json,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,dfc477296dd35c85db1bfed4978d298c1d96a9b0d2f47e91297df7ca2d4ed78a,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,338,340,3346,0
74t7kcdgkr:c8-7,74t7kcdgkr,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-002-7f0ff819.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-002-7f0ff819.json,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,eda2b17bac6add8cf5a9c50730ef527a9a14fa821d69d199531da33b0c50630f,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,338,340,11258,0
cgtnjyggtm:q24-21,cgtnjyggtm,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-007-8801d5ec.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-007-8801d5ec.json,02ec16ba0bdb8a9f3cb7f1d305699cbf69dcb92ff6222c284f6ffbb2c73c8b7d,4475b03e2458a7ad630d2d1cfc64efa2543d724e990eacb7ff60ed21461c48e2,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,43104,0
cgtnjyggtm:q24-37,cgtnjyggtm,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-008-47bd1723.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-008-47bd1723.json,0caa2bdfff372124f9116725fefe96fcb76700bc2775e991a623aec5ebd1b4f2,ef6e1f157c187b7eff46b5f2906238b01996770d109319e971c6c04d32c15337,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,13373,0
cgtnjyggtm:q24-40,cgtnjyggtm,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-005-d1ba3b34.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-005-d1ba3b34.json,888ba49cc90410ef4b1326c9fc8bfb51b6e6c84379136a010e5a9a024d6c01f7,84b86f4d93f7b2e651f195efb2fc7e21dc90780074acf10c2c3f484e94d7329c,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,674,675,39061,0
cgtnjyggtm:q24-8,cgtnjyggtm,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/ww/reference-20260909070923/references/reference-006-abf409e0.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-006-abf409e0.json,54cccad86e57fcda126bb3f2fe6e7cd81dc67f22218454d743aaee2474e8e57a,f389db8465e9a00821973de89718899a092a1a251304861f38b70f916b2de287,c70a096a2928a75a3b76430443d14a953b8f9fe96e80f7ad66427e9d69b2008d,ww,EXPERT_REVIEWED,CONFIRMED,674,675,35575,0
w68dtmpfyf:q16-21,w68dtmpfyf,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-011-03cd385a.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-011-03cd385a.json,5c956b6a9137aa39d82d11791718c22ecabff5d76b0ac3ab3792cb9d31380de6,8b4027e417d31a5b752ddde2fcd5f220cb9f92005e747d942e7dde7c1edfe1cf,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,24410,0
w68dtmpfyf:q16-3,w68dtmpfyf,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-009-041911b5.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-009-041911b5.json,d8bce00b811b8a9c284ce88f989689032ebf98a72841c8943af5a57f085fd0e8,6c07c9e0df208ba1ab11fca9a6dfae64b1daf8339a896b133266d213766e60c2,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,32441,0
