method,specimen_count,specimen_mae,equal_domain_mae,worst_domain_mae,pearson,spearman
B0,276,0.08965475200367343,0.08963580465761434,0.12743074387350148,0.8152140873099513,0.8477966923987956
B1,276,0.1204554466491319,0.12074273748803939,0.1717120104456665,0.6920696166252034,0.7341767383456286
B2,276,0.12437583578961432,0.12383765713978162,0.1662884933888912,0.6625719200075946,0.714806580956322
B3,276,0.12541886313821504,0.12396223756804547,0.16744578893100426,0.6777505698106043,0.7154977811389678
B4,276,0.09249518669075511,0.09241461424896318,0.13531684128569435,0.8084719911506385,0.8405593527489619
R_coarse,276,0.12155008507658434,0.12176798557684441,0.1691081945860747,0.7018688468523875,0.7441714587406002
S_R_coarse,276,0.12155008507658434,0.12176798557684441,0.1691081945860747,0.14118904689886308,0.11617699519127866
R_full,276,0.0928249474208453,0.0924196226168106,0.12587121270758367,0.8116246944001357,0.8497464362666057
S_R_full,276,0.0928249474208453,0.0924196226168106,0.12587121270758367,0.051704941820633295,0.07428375736647594
P3_20260831,276,0.12333615914357532,0.12335808442382518,0.1694728940201605,0.694691384957254,0.7350425935702972
S_P3_20260831,276,0.12333615914357532,0.12335808442382518,0.1694728940201605,0.00993324272107079,0.027023586992194745
P3_20260901,276,0.12095685938914758,0.12111917278479578,0.17225265924048028,0.7045310437250575,0.7459140137840499
S_P3_20260901,276,0.12095685938914758,0.12111917278479578,0.17225265924048028,0.14132570669891004,0.14300366718511437
P3_20260902,276,0.12173092877912713,0.12197548343671459,0.17468215317895566,0.696343750002136,0.7385054437008605
S_P3_20260902,276,0.12173092877912713,0.12197548343671459,0.17468215317895566,0.08622775451186303,0.07063654913599977
