outer_domain,method,removed_domain,top1_agreement,top10_overlap,spearman,rbo_p0_9
74t7kcdgkr,global_appearance_mask,cgtnjyggtm,true,1.0,0.9663919413919413,0.931751382512815
74t7kcdgkr,global_appearance_mask,w68dtmpfyf,true,0.5714285714285714,0.8883699633699634,0.7660043988004148
74t7kcdgkr,global_appearance_mask,xcmzfsbd9t,true,0.8571428571428571,0.9478937728937729,0.9382821715860974
74t7kcdgkr,global_appearance_mask,yfxyg8jm46,false,0.7142857142857143,0.9308150183150181,0.6048069834689817
74t7kcdgkr,global_appearance_mask,ykhs7s2dck,false,0.5714285714285714,0.9228937728937727,0.7025156006162437
74t7kcdgkr,global_mechanical_mask,cgtnjyggtm,true,0.5714285714285714,0.8722985347985347,0.6743336836892571
74t7kcdgkr,global_mechanical_mask,w68dtmpfyf,true,0.5714285714285714,0.8342948717948717,0.814826331808054
74t7kcdgkr,global_mechanical_mask,xcmzfsbd9t,true,0.8571428571428571,0.9163461538461537,0.8000718556672727
74t7kcdgkr,global_mechanical_mask,yfxyg8jm46,false,0.7142857142857143,0.7412087912087912,0.6196263496489527
74t7kcdgkr,global_mechanical_mask,ykhs7s2dck,false,0.7142857142857143,0.7816849816849817,0.6040412063628705
74t7kcdgkr,global_reconstruction_mask,cgtnjyggtm,true,1.0,0.9963369963369962,0.9740496141227785
74t7kcdgkr,global_reconstruction_mask,w68dtmpfyf,true,1.0,0.9975274725274724,0.9854712271022771
74t7kcdgkr,global_reconstruction_mask,xcmzfsbd9t,true,1.0,0.9956501831501829,0.9068648273652321
74t7kcdgkr,global_reconstruction_mask,yfxyg8jm46,true,1.0,0.9964285714285713,0.9815223926824699
74t7kcdgkr,global_reconstruction_mask,ykhs7s2dck,true,1.0,0.9926739926739926,0.9610413386722523
cgtnjyggtm,global_appearance_mask,74t7kcdgkr,true,0.8571428571428571,0.9719780219780217,0.9264312164907698
cgtnjyggtm,global_appearance_mask,w68dtmpfyf,true,0.7142857142857143,0.8786630036630035,0.7957940200773577
cgtnjyggtm,global_appearance_mask,xcmzfsbd9t,true,1.0,0.9433608058608057,0.9442237152134199
cgtnjyggtm,global_appearance_mask,yfxyg8jm46,true,0.8571428571428571,0.9394688644688644,0.8018160656795671
