mode,domain_count,domain_balanced_auebc,worst_domain_auebc
positions_only,6,0.1224056688601569,0.154628242366142
real,6,0.12536423080588757,0.14569040026536106
reconstruction,6,0.08768187176917998,0.11408306703849991
shuffled,6,0.12392427425386872,0.1386373411534895
static,6,0.11531100200647242,0.14033191586104687
