replicate,reference_mode,control_mode,reference_auebc,control_auebc,control_minus_reference_auebc
0,spatial_real,deepsets_real,0.1289130323387453,0.13261389252480818,0.0037008601860628876
1,spatial_real,deepsets_real,0.12242634431686718,0.13050236385790095,0.008076019541033777
2,spatial_real,deepsets_real,0.12431539473027796,0.11481724577868768,-0.009498148951590277
3,spatial_real,deepsets_real,0.12293891663397595,0.12863465543569635,0.005695738801720404
4,spatial_real,deepsets_real,0.1282853861440341,0.12712176555110602,-0.0011636205929280719
5,spatial_real,deepsets_real,0.13037969545201422,0.12531576702521743,-0.005063928426796788
6,spatial_real,deepsets_real,0.11990460988476455,0.12212959022170677,0.0022249803369422255
7,spatial_real,deepsets_real,0.12930519893073136,0.1314781809747997,0.00217298204406835
8,spatial_real,deepsets_real,0.129865638589603,0.12527354581535216,-0.00459209277425085
9,spatial_real,deepsets_real,0.1254590574442863,0.12496544905746095,-0.0004936083868253421
10,spatial_real,deepsets_real,0.12779362826521706,0.13237083482868187,0.004577206563464803
11,spatial_real,deepsets_real,0.12365427158030452,0.12809075308942922,0.004436481509124693
12,spatial_real,deepsets_real,0.13630931972089042,0.13919492358847854,0.002885603867588127
13,spatial_real,deepsets_real,0.1209193721463226,0.11595350928433651,-0.004965862861986095
14,spatial_real,deepsets_real,0.12355400550651997,0.12766234975603535,0.0041083442495153805
15,spatial_real,deepsets_real,0.13262390941478794,0.12934654039614632,-0.0032773690186416182
16,spatial_real,deepsets_real,0.1327047603738484,0.12948699030262614,-0.003217770071222259
17,spatial_real,deepsets_real,0.12227796888908715,0.12729703939237444,0.005019070503287287
18,spatial_real,deepsets_real,0.12335418444628042,0.11994049156207613,-0.003413692884204289
19,spatial_real,deepsets_real,0.12446495108174327,0.11420612118253708,-0.010258829899206193
20,spatial_real,deepsets_real,0.12269233182330162,0.12332134666524441,0.0006290148419427904
21,spatial_real,deepsets_real,0.11227064501490452,0.11728345177837567,0.005012806763471142
22,spatial_real,deepsets_real,0.12466756798175053,0.12688445920545285,0.002216891223702319
23,spatial_real,deepsets_real,0.11749321311645715,0.11452581917703603,-0.002967393939421123
24,spatial_real,deepsets_real,0.12983728604038888,0.131250223909231,0.0014129378688421124
25,spatial_real,deepsets_real,0.12297248876839591,0.1237226474365325,0.0007501586681365885
26,spatial_real,deepsets_real,0.13456796499993603,0.13110032854376397,-0.0034676364561720685
27,spatial_real,deepsets_real,0.12179454383481092,0.12427681968219743,0.002482275847386514
28,spatial_real,deepsets_real,0.11599902733636576,0.11850838458450207,0.002509357248136307
29,spatial_real,deepsets_real,0.1278935977685279,0.12760592757397596,-0.00028767019455194776
30,spatial_real,deepsets_real,0.12338379550562999,0.12803797980119772,0.004654184295567729
31,spatial_real,deepsets_real,0.12402464785379874,0.1264745049957284,0.002449857141929662
32,spatial_real,deepsets_real,0.11699696527538646,0.11582399707664402,-0.0011729681987424356
33,spatial_real,deepsets_real,0.12371425340063515,0.12790604275153036,0.004191789350895217
34,spatial_real,deepsets_real,0.12153077575765558,0.1147276084622937,-0.006803167295361887
35,spatial_real,deepsets_real,0.1173513964939692,0.11493010893783147,-0.0024212875561377273
36,spatial_real,deepsets_real,0.1333953750046367,0.13803460851793947,0.004639233513302782
37,spatial_real,deepsets_real,0.12555921808282788,0.12537390539162355,-0.0001853126912043368
38,spatial_real,deepsets_real,0.12903641919347741,0.119983877910891,-0.00905254128258641
39,spatial_real,deepsets_real,0.12685984573694253,0.12949413285644965,0.0026342871195071116
40,spatial_real,deepsets_real,0.12679838932914822,0.1293753437312127,0.0025769544020644852
41,spatial_real,deepsets_real,0.12988649019527262,0.1281172713169304,-0.0017692188783422214
42,spatial_real,deepsets_real,0.12341855547327833,0.12796391459467718,0.004545359121398848
43,spatial_real,deepsets_real,0.12342795718590267,0.12086606058536242,-0.0025618966005402505
44,spatial_real,deepsets_real,0.13102397355889542,0.12615596200437657,-0.004868011554518853
45,spatial_real,deepsets_real,0.12645073727737619,0.12820406075746182,0.001753323480085639
46,spatial_real,deepsets_real,0.1255509791748111,0.12840598285142343,0.0028550036766123443
47,spatial_real,deepsets_real,0.12087460483590436,0.12521199821593273,0.004337393380028379
48,spatial_real,deepsets_real,0.1258066661626322,0.12696172804069883,0.0011550618780666322
