outer_domain,mode,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,mae
74t7kcdgkr,positions_only,0.03125,45,10429.977777777778,0.031185615457384668,0.15619440203486973
74t7kcdgkr,positions_only,0.0625,45,20229.65777777778,0.060460019506402694,0.1556601923982825
74t7kcdgkr,positions_only,0.09375,45,30652.244444444445,0.09171584121061985,0.15521868428309993
74t7kcdgkr,positions_only,0.125,45,41327.65333333333,0.12354392569432286,0.15480050764433073
74t7kcdgkr,positions_only,0.1875,45,62267.79555555555,0.18598780152873015,0.15402441580084647
74t7kcdgkr,positions_only,0.25,45,82996.47111111111,0.24824579388923082,0.15323883960370513
74t7kcdgkr,real,0.03125,45,10429.977777777778,0.031185615457384668,0.1285366240360581
74t7kcdgkr,real,0.0625,45,20229.65777777778,0.060460019506402694,0.12938362477910534
74t7kcdgkr,real,0.09375,45,30652.244444444445,0.09171584121061985,0.12920611632779186
74t7kcdgkr,real,0.125,45,41327.65333333333,0.12354392569432286,0.12895167924103762
74t7kcdgkr,real,0.1875,45,62267.79555555555,0.18598780152873015,0.1282546894763299
74t7kcdgkr,real,0.25,45,82996.47111111111,0.24824579388923082,0.1273948009871515
74t7kcdgkr,reconstruction,0.03125,45,10429.977777777778,0.031185615457384668,0.0592205824612365
74t7kcdgkr,reconstruction,0.0625,45,20229.65777777778,0.060460019506402694,0.05578144900729994
74t7kcdgkr,reconstruction,0.09375,45,30652.244444444445,0.09171584121061985,0.05534537630654597
74t7kcdgkr,reconstruction,0.125,45,41327.65333333333,0.12354392569432286,0.05660310786301231
74t7kcdgkr,reconstruction,0.1875,45,62267.79555555555,0.18598780152873015,0.058242693648186794
74t7kcdgkr,reconstruction,0.25,45,82996.47111111111,0.24824579388923082,0.06210016846704744
74t7kcdgkr,shuffled,0.03125,45,10429.977777777778,0.031185615457384668,0.13491078609966678
74t7kcdgkr,shuffled,0.0625,45,20229.65777777778,0.060460019506402694,0.13434678146062304
74t7kcdgkr,shuffled,0.09375,45,30652.244444444445,0.09171584121061985,0.13384254170070597
74t7kcdgkr,shuffled,0.125,45,41327.65333333333,0.12354392569432286,0.1333784773966523
74t7kcdgkr,shuffled,0.1875,45,62267.79555555555,0.18598780152873015,0.13250233304158152
74t7kcdgkr,shuffled,0.25,45,82996.47111111111,0.24824579388923082,0.13164050774151329
74t7kcdgkr,static,0.03125,45,10429.977777777778,0.031185615457384668,0.11164826605375408
74t7kcdgkr,static,0.0625,45,20229.65777777778,0.060460019506402694,0.11164826605375408
74t7kcdgkr,static,0.09375,45,30652.244444444445,0.09171584121061985,0.11164825951544405
74t7kcdgkr,static,0.125,45,41327.65333333333,0.12354392569432286,0.11164825951544405
74t7kcdgkr,static,0.1875,45,62267.79555555555,0.18598780152873015,0.11164825951544405
74t7kcdgkr,static,0.25,45,82996.47111111111,0.24824579388923082,0.11164825951544405
cgtnjyggtm,positions_only,0.03125,49,8431.718367346939,0.01853328578381567,0.13238113932148995
cgtnjyggtm,positions_only,0.0625,49,27786.395918367343,0.06107571363527277,0.13216393486299347
cgtnjyggtm,positions_only,0.09375,49,41713.208163265306,0.09168745612323399,0.13226993590903316
cgtnjyggtm,positions_only,0.125,49,56042.477551020405,0.12318381701510146,0.1324353071941413
cgtnjyggtm,positions_only,0.1875,49,84528.77551020408,0.185797945950553,0.13283001417474552
cgtnjyggtm,positions_only,0.25,49,112690.2163265306,0.24769802467640537,0.13324107810319927
cgtnjyggtm,real,0.03125,49,8431.718367346939,0.01853328578381567,0.14623286823316217
cgtnjyggtm,real,0.0625,49,27786.395918367343,0.06107571363527277,0.14598641173259114
cgtnjyggtm,real,0.09375,49,41713.208163265306,0.09168745612323399,0.14584218486595368
cgtnjyggtm,real,0.125,49,56042.477551020405,0.12318381701510146,0.14570161810089757
cgtnjyggtm,real,0.1875,49,84528.77551020408,0.185797945950553,0.14546652273586955
cgtnjyggtm,real,0.25,49,112690.2163265306,0.24769802467640537,0.14524873339344055
cgtnjyggtm,reconstruction,0.03125,49,8431.718367346939,0.01853328578381567,0.11647974773711647
cgtnjyggtm,reconstruction,0.0625,49,27786.395918367343,0.06107571363527277,0.11239375945292474
cgtnjyggtm,reconstruction,0.09375,49,41713.208163265306,0.09168745612323399,0.1128963225329608
cgtnjyggtm,reconstruction,0.125,49,56042.477551020405,0.12318381701510146,0.11277951820645256
cgtnjyggtm,reconstruction,0.1875,49,84528.77551020408,0.185797945950553,0.11454695821999009
cgtnjyggtm,reconstruction,0.25,49,112690.2163265306,0.24769802467640537,0.11667179243423986
cgtnjyggtm,shuffled,0.03125,49,8431.718367346939,0.01853328578381567,0.13311312442645748
cgtnjyggtm,shuffled,0.0625,49,27786.395918367343,0.06107571363527277,0.13316927544271656
cgtnjyggtm,shuffled,0.09375,49,41713.208163265306,0.09168745612323399,0.13316481310247372
cgtnjyggtm,shuffled,0.125,49,56042.477551020405,0.12318381701510146,0.13320640812426182
cgtnjyggtm,shuffled,0.1875,49,84528.77551020408,0.185797945950553,0.1333236764335556
cgtnjyggtm,shuffled,0.25,49,112690.2163265306,0.24769802467640537,0.1335041757286828
cgtnjyggtm,static,0.03125,49,8431.718367346939,0.01853328578381567,0.14033191586104687
cgtnjyggtm,static,0.0625,49,27786.395918367343,0.06107571363527277,0.14033191586104687
cgtnjyggtm,static,0.09375,49,41713.208163265306,0.09168745612323399,0.14033191586104687
cgtnjyggtm,static,0.125,49,56042.477551020405,0.12318381701510146,0.14033191586104687
cgtnjyggtm,static,0.1875,49,84528.77551020408,0.185797945950553,0.14033191586104687
cgtnjyggtm,static,0.25,49,112690.2163265306,0.24769802467640537,0.14033191586104687
w68dtmpfyf,positions_only,0.03125,43,8433.990697674419,0.018538280465269633,0.06741505980279029
w68dtmpfyf,positions_only,0.0625,43,27782.46046511628,0.06106706333688598,0.06739097013703717
w68dtmpfyf,positions_only,0.09375,43,41688.12558139535,0.09163232351114484,0.06720236326166212
w68dtmpfyf,positions_only,0.125,43,56016.31627906977,0.12312631339503191,0.0669188959818724
w68dtmpfyf,positions_only,0.1875,43,84458.2976744186,0.18564303258472054,0.066280914035104
w68dtmpfyf,positions_only,0.25,43,112612.47906976743,0.24752715478572906,0.06565674704905117
w68dtmpfyf,real,0.03125,43,8433.990697674419,0.018538280465269633,0.09386307465206957
w68dtmpfyf,real,0.0625,43,27782.46046511628,0.06106706333688598,0.09435219017046054
w68dtmpfyf,real,0.09375,43,41688.12558139535,0.09163232351114484,0.0947634048443706
w68dtmpfyf,real,0.125,43,56016.31627906977,0.12312631339503191,0.09476034890711199
w68dtmpfyf,real,0.1875,43,84458.2976744186,0.18564303258472054,0.09451697439943078
w68dtmpfyf,real,0.25,43,112612.47906976743,0.24752715478572906,0.09387536559518714
w68dtmpfyf,reconstruction,0.03125,43,8433.990697674419,0.018538280465269633,0.09938503201157443
w68dtmpfyf,reconstruction,0.0625,43,27782.46046511628,0.06106706333688598,0.10286585148814928
w68dtmpfyf,reconstruction,0.09375,43,41688.12558139535,0.09163232351114484,0.10475004700322733
