source_id,source_path,source_sha256,source_sheet,header_cell,field_name_raw,field_name_normalized,unit_raw,unit_cell,data_column,first_data_row,last_data_row,extraction_status,notes
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,49,EXTRACTED,
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,B1,ply,PLY_COUNT,,,B,2,49,EXTRACTED,
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,49,EXTRACTED,
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,49,EXTRACTED,
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,49,EXTRACTED,
impact_condition_74t7kcdgkr,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,condition,F1,Angle,SCAN_ANGLE,,,F,2,49,EXTRACTED,
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,43,EXTRACTED,
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,B1,ply,PLY_COUNT,,,B,2,43,EXTRACTED,
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,43,EXTRACTED,
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,43,EXTRACTED,
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,43,EXTRACTED,
