record_id,dataset_id,dataset_version,source_dataset_id,source_dataset_version,specimen_id_raw,specimen_key,measurement_stage,measurement_name_raw,measurement_semantics,value_raw,value_numeric,unit_raw,unit_normalized,source_kind,source_path_or_url,source_sheet,source_cell,source_sha256,extraction_method,derivation,provenance_status,notes
hasebe-ad8e023933aba6b102ad,74t7kcdgkr,1,74t7kcdgkr,1,c8-12t,74t7kcdgkr:c8-12t,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B7,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-6e8c45ab230d36f6c516,74t7kcdgkr,1,74t7kcdgkr,1,c8-12t,74t7kcdgkr:c8-12t,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.3,3.3,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E7,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-7bc87539b31fba307cc1,74t7kcdgkr,1,74t7kcdgkr,1,c8-1,74t7kcdgkr:c8-1,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B8,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-e31f453f10f5001e1162,74t7kcdgkr,1,74t7kcdgkr,1,c8-1,74t7kcdgkr:c8-1,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E8,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-87fcd1fa74cfb0ba67fc,74t7kcdgkr,1,74t7kcdgkr,1,c8-2,74t7kcdgkr:c8-2,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B9,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-7432e948d278a9224177,74t7kcdgkr,1,74t7kcdgkr,1,c8-2,74t7kcdgkr:c8-2,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E9,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-e72168ba462a5c1bb17b,74t7kcdgkr,1,74t7kcdgkr,1,c8-3,74t7kcdgkr:c8-3,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B10,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-22d82022ed1e656e355c,74t7kcdgkr,1,74t7kcdgkr,1,c8-3,74t7kcdgkr:c8-3,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E10,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-4bda81e7576af25d12ad,74t7kcdgkr,1,74t7kcdgkr,1,c8-4,74t7kcdgkr:c8-4,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B11,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-5ac3ab1849b226cb5a50,74t7kcdgkr,1,74t7kcdgkr,1,c8-4,74t7kcdgkr:c8-4,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E11,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
