study_name,trial_id,outer_fold,state,failure_reason,inner_mae__74t7kcdgkr,inner_mae__cgtnjyggtm,inner_mae__w68dtmpfyf,inner_mae__xcmzfsbd9t,inner_mae__yfxyg8jm46,inner_mae__ykhs7s2dck,mean_mae,worst_mae,domain_sd,objective,accepted_proposals,proposed_variants,acceptance_rate,acceptance_by_domain,control_id,decomposition_family,band,decomposition_parameters,alpha,K_train,K_test,marginalization_stage,feature_layer,feature_aggregation,prediction_aggregation,morphology_beta,consistency,consistency_weight,pca_dimension,regressor,regressor_parameters,seed,runtime_seconds,config_sha256,search_view_sha256,candidate_sha256,evidence_sha256
d8::74t7kcdgkr,0,74t7kcdgkr,COMPLETE,,,0.13539991994696507,0.10132258525073962,0.07223249180657344,0.12767445108216538,0.07826830869710483,0.10297955135670966,0.13539991994696507,0.02537593778923712,0.13936712512237465,231,231,1.0,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":49,""proposed_variants"":49},""w68dtmpfyf"":{""acceptance_rate"":1.0,""accepted_proposals"":43,""proposed_variants"":43},""xcmzfsbd9t"":{""acceptance_rate"":1.0,""accepted_proposals"":59,""proposed_variants"":59},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":42,""proposed_variants"":42},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":38,""proposed_variants"":38}}",B0,gaussian,low,"{""sigma"":2.0}",0.0,1,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260820,17.502822938840836,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,18b081bcf614726470b25f3b35e234eed0e05aaeb2544fa6515a7d69d82fea85,e6e81bc9589ccb908dd8f8cb57090bb66cc8b5ba2e10124998d200788e43694d
d8::74t7kcdgkr,1,74t7kcdgkr,PRUNED,"morphology_acceptance:cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",,0.16731646932104421,0.11914204351249184,0.08753295833429023,0.16209606730470802,0.06794969040473328,0.12080744577545352,0.16731646932104421,0.0394252379091131,,89,231,0.3852813852813853,"{""cgtnjyggtm"":{""acceptance_rate"":0.5714285714285714,""accepted_proposals"":28,""proposed_variants"":49},""w68dtmpfyf"":{""acceptance_rate"":0.32558139534883723,""accepted_proposals"":14,""proposed_variants"":43},""xcmzfsbd9t"":{""acceptance_rate"":0.3728813559322034,""accepted_proposals"":22,""proposed_variants"":59},""yfxyg8jm46"":{""acceptance_rate"":0.40476190476190477,""accepted_proposals"":17,""proposed_variants"":42},""ykhs7s2dck"":{""acceptance_rate"":0.21052631578947367,""accepted_proposals"":8,""proposed_variants"":38}}",B1,gaussian,low,"{""sigma"":2.0}",1.0,1,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260821,17.148411419941112,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,03632a69193f98ebb40a41c97b7c52fc4dcec19939d184d26b2b462f845586c4,e66511141534999c6912a12910b2cc88502ed1f977be25457b3e0dcffc7b18bd
d8::74t7kcdgkr,2,74t7kcdgkr,COMPLETE,,,0.13554605244195855,0.10055348922326728,0.07199469350462041,0.12708884447304633,0.07840239923891659,0.10271709577636183,0.13554605244195855,0.025343536425121563,0.1391379625293636,1843,1924,0.9579002079002079,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":392,""proposed_variants"":392},""w68dtmpfyf"":{""acceptance_rate"":0.900523560209424,""accepted_proposals"":344,""proposed_variants"":382},""xcmzfsbd9t"":{""acceptance_rate"":0.9174852652259332,""accepted_proposals"":467,""proposed_variants"":509},""yfxyg8jm46"":{""acceptance_rate"":0.9970326409495549,""accepted_proposals"":336,""proposed_variants"":337},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":304,""proposed_variants"":304}}",B2,gaussian,high,"{""sigma"":2.0}",0.1,4,8,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260822,103.90419048420154,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,0948a608afcaa235a58428179619dff49d4bf40d460c9ccf336cc2fb4b749ce4,c02c7d290bd2d98d6f24b57b8cb88e3c758a76dd838bf9257967dfd8726528b1
d8::74t7kcdgkr,3,74t7kcdgkr,COMPLETE,,,0.1352244985512427,0.09993004877916675,0.07208925404379359,0.12749304831848687,0.07873846564046134,0.10269506306663026,0.1352244985512427,0.025264139232083926,0.13902760162764932,1845,1923,0.9594383775351014,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":392,""proposed_variants"":392},""w68dtmpfyf"":{""acceptance_rate"":0.8955613577023499,""accepted_proposals"":343,""proposed_variants"":383},""xcmzfsbd9t"":{""acceptance_rate"":0.9270216962524654,""accepted_proposals"":470,""proposed_variants"":507},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":336,""proposed_variants"":336},""ykhs7s2dck"":{""acceptance_rate"":0.9967213114754099,""accepted_proposals"":304,""proposed_variants"":305}}",B3,fourier,high,"{""cutoff"":0.2,""transition"":0.05}",0.1,4,8,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260823,126.00261050811969,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,bbfa8140c9c20d7353dfedff3cf113976122343028d3f2ec2fe6378e63edd264,4f585ce27251c3add2363298e262a642c8d068a7aabef178968d455add1d5fe7
d8::74t7kcdgkr,4,74t7kcdgkr,COMPLETE,,,0.13537531837850175,0.10123318920449692,0.07210010791657667,0.12745521925424205,0.07816393050991914,0.10286555305274732,0.13537531837850175,0.025380637926753203,0.13924744644004808,1848,1878,0.9840255591054313,"{""cgtnjyggtm"":{""acceptance_rate"":0.9974554707379135,""accepted_proposals"":392,""proposed_variants"":393},""w68dtmpfyf"":{""acceptance_rate"":0.9885057471264368,""accepted_proposals"":344,""proposed_variants"":348},""xcmzfsbd9t"":{""acceptance_rate"":0.9711934156378601,""accepted_proposals"":472,""proposed_variants"":486},""yfxyg8jm46"":{""acceptance_rate"":0.9940828402366864,""accepted_proposals"":336,""proposed_variants"":338},""ykhs7s2dck"":{""acceptance_rate"":0.9712460063897763,""accepted_proposals"":304,""proposed_variants"":313}}",B4,wavelet,high,"{""level"":2,""wavelet"":""db2""}",0.1,4,8,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260824,763.5523228249513,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,e9ef83ce54de6764aa31278fcdc0abffdd522afadac042fb1e00792a787283e1,392f72603446bd1ac412f152d96a8e07adf5b883ed00ff2cf9251c552c1907d6
d8::74t7kcdgkr,5,74t7kcdgkr,COMPLETE,,,0.13523598070874707,0.10042370358691516,0.07157644307198657,0.12772262360817027,0.0781356279346077,0.10261887578208535,0.13523598070874707,0.025541944027035222,0.13898206536197563,924,936,0.9871794871794872,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":196,""proposed_variants"":196},""w68dtmpfyf"":{""acceptance_rate"":0.9502762430939227,""accepted_proposals"":172,""proposed_variants"":181},""xcmzfsbd9t"":{""acceptance_rate"":0.9874476987447699,""accepted_proposals"":236,""proposed_variants"":239},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":168,""proposed_variants"":168},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":152,""proposed_variants"":152}}",B5,gaussian,high,"{""sigma"":2.0}",0.1,4,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260825,49.19313794700429,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,e53a0b42323762e4a972a42c05602f71dbd4449f17a38ce8e122119372f4812b,5b0ea9278c725dd65a63b942ed3201aba79c7e03d868f9f4be4c5c63f1a9384c
d8::74t7kcdgkr,6,74t7kcdgkr,COMPLETE,,,0.1356204415466356,0.10076629732613342,0.0718358345100579,0.12759704276632813,0.07789309500832031,0.10274254223149508,0.1356204415466356,0.025594247844444248,0.1392070774025984,924,934,0.9892933618843683,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":196,""proposed_variants"":196},""w68dtmpfyf"":{""acceptance_rate"":0.9555555555555556,""accepted_proposals"":172,""proposed_variants"":180},""xcmzfsbd9t"":{""acceptance_rate"":0.9915966386554622,""accepted_proposals"":236,""proposed_variants"":238},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":168,""proposed_variants"":168},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":152,""proposed_variants"":152}}",B5,fourier,high,"{""cutoff"":0.2,""transition"":0.05}",0.1,4,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260826,52.657746240030974,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,5a29a2e062fb974aab79180862e8961de051ca9143d28d7c81b5ac599a840647,a644fe8fd216c3c0d0ac7f0e30606ebb0935373d8a6372e0c3c4979a8afab754
d8::74t7kcdgkr,7,74t7kcdgkr,COMPLETE,,,0.13527755531983066,0.10161472800319969,0.07205351607014765,0.12756355826071367,0.07816877392696245,0.10293562631617081,0.13527755531983066,0.02538259989210082,0.13929327513533857,923,939,0.9829605963791267,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":196,""proposed_variants"":196},""w68dtmpfyf"":{""acceptance_rate"":0.9193548387096774,""accepted_proposals"":171,""proposed_variants"":186},""xcmzfsbd9t"":{""acceptance_rate"":0.9957805907172996,""accepted_proposals"":236,""proposed_variants"":237},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":168,""proposed_variants"":168},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":152,""proposed_variants"":152}}",B5,wavelet,high,"{""level"":2,""wavelet"":""db2""}",0.1,4,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260827,59.37963044969365,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,243691969babe1b4b3d58995ac8014736545ddf69bc9d1a0b8865f7c5d37a5fb,7ae94084150f7ff9fcddfa2711b5cbff38a1f911c395ef764896785c3549d241
d8::74t7kcdgkr,8,74t7kcdgkr,COMPLETE,,,0.1352359807087471,0.1004237035869151,0.0715764430719865,0.12772262360817038,0.07813562793460781,0.10261887578208537,0.1352359807087471,0.02554194402703525,0.13898206536197566,924,936,0.9871794871794872,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":196,""proposed_variants"":196},""w68dtmpfyf"":{""acceptance_rate"":0.9502762430939227,""accepted_proposals"":172,""proposed_variants"":181},""xcmzfsbd9t"":{""acceptance_rate"":0.9874476987447699,""accepted_proposals"":236,""proposed_variants"":239},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":168,""proposed_variants"":168},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":152,""proposed_variants"":152}}",B6,gaussian,high,"{""sigma"":2.0}",0.1,4,1,feature,global,mean,mean,,feature_variance,0.1,8,ridge,"{""alpha"":10.0}",20260828,53.54352858988568,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,4c646dc86825fd2a3e118b9014da51e8aaec7942b08a94ba23e7f7e9c6435123,48211bcd62d1c4fd346fccc805f3bacdb00a4a35e8cee6288be655f27c5e2f1e
d8::74t7kcdgkr,9,74t7kcdgkr,COMPLETE,,,0.13550025045224498,0.1012357590793489,0.07215110951769366,0.12771807694211232,0.0783420654167712,0.10298945228163421,0.13550025045224498,0.02541664564347248,0.13940617945904268,1847,1848,0.9994588744588745,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":392,""proposed_variants"":392},""w68dtmpfyf"":{""acceptance_rate"":1.0,""accepted_proposals"":344,""proposed_variants"":344},""xcmzfsbd9t"":{""acceptance_rate"":0.9978813559322034,""accepted_proposals"":471,""proposed_variants"":472},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":336,""proposed_variants"":336},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":304,""proposed_variants"":304}}",B7,fourier,mid,"{""cutoff"":0.2,""transition"":0.05}",0.1,4,8,prediction,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260829,95.93800720432773,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,4644e7acc683a277e93b63f0c884c91d03a143a850bb240b598f712c881f88bf,052df62abef91c692b434552cf9be4855dbd18c449607da2d8da5a03e9a2531f
