outer_domain,specimen_id,dataset_id,predictor_state_sha256,trajectory_state_sha256,cache_sha256,state_count,decision_state_count,candidate_count
74t7kcdgkr,q24-1,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,d5303fda78e520f794982db5b1f9ae7384dde62aaa7317d9b481925cb37facd0,7dd1ff00a32e02aac7a00715bc6ad5c2b16187c5663e56aec1fe7c80365657f7,36,36,2038
74t7kcdgkr,q24-10,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,df7af9d930387608b845c5d8a05f19f8f7eebba1830d638bceff7d1bc0aaa1fe,08d5f35693c42dace57a29d01e761c905fadaead4bc7980e460ba76eba8101e5,39,39,2219
74t7kcdgkr,q24-11,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,933e70db7ae56a94ef04e43059691bbfa1714f9084769ddbf5feee0b25cb445f,9c37f2b2ae48537bbd7369461f81d8387c6c51ed441e482ca871572e885fc5e3,38,38,2249
74t7kcdgkr,q24-12,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,f26c3dc010615fd7cf150ab47cd1c20c7d7d924aafcdfcb97ff85d50b9cabc14,738d16fd84aabac6dd5c2a42482198a4bc57669c8c6ed2580eb20d834fc69b50,43,41,2349
74t7kcdgkr,q24-13,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,99733e002137cfffe16ed4f23c3a87dac1f4675209c4291714d2cb77397b2a31,07269ade4f49c714c119a07b5cd0d52a49c4f9eac983d09b9275c683c5c20230,41,41,2369
74t7kcdgkr,q24-14,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,dba6fe7504903e084cc4a63450466288e35d5a7fa50fb3822e5198069ea786dd,533c8782192626cce9ab76099678ce723e9b44cb6a9e2087f1eaf16953a5cea0,36,36,2077
74t7kcdgkr,q24-15,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,878c14b71860b8350f2b59f474be0b77d458124130595e15986e0200d2ae3b16,4c681a9ffbeab30e276d23318bf681d4262d2567c7ba844423f6e0039ea8571a,36,36,2082
74t7kcdgkr,q24-16,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,369168a1e89935531f5b55fd6f37e6d73f0727d75841150f86e7b907e8a2c864,41fab0e9edf6361b76c66865a785dd651a1574310384216e99984650784b1597,34,34,1983
74t7kcdgkr,q24-18,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,1638d823c5ef198879b226f3ad12e72aa7d4739936c308650fafd4222f62bbc8,cece718041c39066d6b241255f221bdfe1f795b0a4d487cbe4a4cbf337b6796a,41,41,2349
74t7kcdgkr,q24-19,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,42857f763cdbeb3a84abeb9c2f1fff2d473294a5ecb497dbe96e07fca7b68564,0a6207301b6d2e0a773d23fdd40daa609273ad25c20dd27bcd2fc857ddeac3ae,36,36,2019
74t7kcdgkr,q24-2,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,ac8117782f91183e34cc3abab7b24988602fe3fbef0df784ff49a876ce1c9284,bbf30ef24e2f22e5dad3cbfd40edbfe6a20e74599c1b8b502f634d02c058adf5,36,36,2063
74t7kcdgkr,q24-20,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,4be1fad7efa5b605d7c1ebccdb1402e85667560cdc8a3bf29f33fc3cc16ab9f1,163673c27f7447377d8071a5b22ea9ed90f4031120c38d052c87aa43d1c2b5be,36,36,2055
74t7kcdgkr,q24-21,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,88793e41bd659f4e719549275fab51fb02c48d3a075264164721595704e48aee,5809438efa2ebc2f2b5cfd4f5388e292f6c8d6049cd0a35823200bf93e1ea2fa,34,34,1939
74t7kcdgkr,q24-22,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,f4c35dad349df5e413259b81a5e7ee910af5a4e9515d3aa0f31f1604bc6eb811,c8bd7e65affea79587b91ab903ec04db530c6b563be33416f8d2e8f9bec747a9,34,34,1991
74t7kcdgkr,q24-23,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,2d980563372757f1111578186685309499afe93671841c3e89afc0895bba4e01,2140a4e27c203a3d7dbc3853c66e7ff4f269700812aad125bbfb839ddf9310b8,38,38,2233
74t7kcdgkr,q24-24,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,50c49dbe86bf8df5913c764a1d0721bfb82d557fe9f22a7014ebc18158538700,e5a9c65e95ce46c89e54c0bf2d9e9220b5e23194990f4d6eee95085f4a7ea79b,34,34,1972
74t7kcdgkr,q24-25,cgtnjyggtm,6272347e9b892f36495312384b391db73cdae2c32d9e4b375ae74c92fd19d1a3,d7851fe477167b6e0b25c580ec4e84b5e1be92fc6947ec76bbad5c4987f044ba,b16ba0e3d4ccfd249d0791c8f897dd640997843e1015da6d1c7e6cc681ad97ff,36,36,2080
