effect_id,point_estimate,lower,upper,improved_domains,domain_effects,seed,resamples,indices_sha256
global_minus_policy_auebc,0.0005466614205920933,-0.0007925906874404846,0.0020971123812180362,3,"[-0.00012886241333604637,-0.0020675151786252177,0.003775600638773819,0.00026347863539305516,0.0016186613117071397,-0.00018139447036018969]",20260823,100000,732abea9fa90893d53c6a0620c020a2072cd97a2b7d8e48e16aa8feb10c5564c
uniform_minus_policy_auebc,0.0002712281520554866,-0.0019236586003862077,0.00260568957710224,3,"[-8.42007853486381e-05,-0.00407152165609528,0.005110477987808244,0.00039429809621087733,0.0002857090814312492,-7.3938116735318415e-06]",20260823,100000,732abea9fa90893d53c6a0620c020a2072cd97a2b7d8e48e16aa8feb10c5564c
policy_minus_oracle_auebc,0.006467704105485733,0.004209928171561115,0.008767739899173545,6,"[0.004058379660774449,0.010461814897975121,0.004463106407596132,0.005535395919807194,0.010715374056554273,0.0035721536902072314]",20260823,100000,732abea9fa90893d53c6a0620c020a2072cd97a2b7d8e48e16aa8feb10c5564c
