method,protocol,nominal_checkpoint,equal_domain_mae,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max,normalized_rgb_mse,ssim
center_first,P-B,0.03125,0.10431704919385637,,,,,0.03064270079880471,0.03051324321353995,0.03132613992342499,0.00124981594368473,0.8943563408593773
center_first,P-B,0.0625,0.10034401103409198,,,,,0.062227892170651104,0.06027671423599026,0.06240246180899,0.0011849915332890826,0.8988651637542938
center_first,P-B,0.09375,0.0939757502431142,,,,,0.09320945071687621,0.0912808910546467,0.09351722937695789,0.0011135620196108123,0.9032788208733074
center_first,P-B,0.125,0.09346008486522712,,,,,0.12420833780454972,0.12268860946745562,0.12469741796664874,0.001085355247978143,0.9063912239264657
center_first,P-B,0.1875,0.08920962546863827,,,,,0.18693296544964477,0.1856421858684302,0.18714584020222003,0.0010653865510374483,0.9096962444890083
center_first,P-B,0.25,0.09049950562983522,,,,,0.24810925975579065,0.24694896449704143,0.24998259658893143,0.0010369427808554522,0.9146768465206477
observed_gradient,P-B,0.03125,0.10026509116277295,,,,,0.03087901477245432,0.030224583109198493,0.03132613992342499,0.0012726455863966459,0.8924376812553453
observed_gradient,P-B,0.0625,0.09692537935922561,,,,,0.061926374336233596,0.05887742065626681,0.062492581602373885,0.0010388271240403862,0.9023932539940006
observed_gradient,P-B,0.09375,0.09213642610534432,,,,,0.09313101318458637,0.09031233189887036,0.09373117925046709,0.0009197464394278109,0.908751138537621
observed_gradient,P-B,0.125,0.09164305350791796,,,,,0.12416678180427254,0.12147828133405056,0.1249763710297835,0.0008201656023117525,0.9143638152268431
observed_gradient,P-B,0.1875,0.08956677953462211,,,,,0.1866621074668471,0.18413012418947136,0.18748433893834487,0.0006880988802607134,0.9220270059093525
observed_gradient,P-B,0.25,0.09297789101576903,,,,,0.24888166683494384,0.24676296554124608,0.24999890097812946,0.0005508337268210062,0.931288734216746
observed_uncertainty,P-B,0.03125,0.10118892865041929,,,,,0.030916763470780137,0.03037476645785251,0.03132613992342499,0.0013466506125368357,0.8906999526156559
observed_uncertainty,P-B,0.0625,0.09591917512904963,,,,,0.06196766522554129,0.05906802945378613,0.0625,0.0011644212995387186,0.8988806792726803
observed_uncertainty,P-B,0.09375,0.09210492941001858,,,,,0.0930977848831497,0.090108803165183,0.09374436751291351,0.001051227836873127,0.9046446300289737
observed_uncertainty,P-B,0.125,0.09049766918818479,,,,,0.12420504093357489,0.12145290691284756,0.12499615342345313,0.0009597753547383579,0.9095687803454838
observed_uncertainty,P-B,0.1875,0.08945981249166297,,,,,0.1866248296037598,0.18393625605164066,0.1874975272007913,0.000827919326178803,0.9170142604213175
observed_uncertainty,P-B,0.25,0.09237940511777669,,,,,0.24888890137198727,0.24638582571274878,0.24999890097812946,0.0007081650780237777,0.9248536016272279
imitation_policy,P-B,0.03125,0.09716473121697244,,,,,0.031030645477336666,0.03046708429497747,0.03132613992342499,0.001450451373404267,0.8874636667420988
imitation_policy,P-B,0.0625,0.08986699537750031,,,,,0.06203493204453061,0.060440761161915005,0.062468403121222114,0.0013503609187421122,0.8930427042337931
imitation_policy,P-B,0.09375,0.09177959813715712,,,,,0.09293193736476729,0.09013298164633476,0.09374436751291351,0.0013001864431319407,0.8969270502156256
imitation_policy,P-B,0.125,0.09033852959392276,,,,,0.12386046772781494,0.12136058907572261,0.12498955929222992,0.001264804176423561,0.9002392409852585
imitation_policy,P-B,0.1875,0.09097949444144737,,,,,0.18606919048172318,0.1839784591713375,0.1874975272007913,0.0012018709948320818,0.9061023592326533
imitation_policy,P-B,0.25,0.09277147694141824,,,,,0.24806557304380714,0.2464029014177382,0.2499967029343884,0.0011557100863271823,0.9115371698477744
uniform,P-B,0.03125,0.09838443694915028,,,,,0.03064659539250469,0.030500054951093526,0.03132613992342499,0.001474857546960296,0.8885018518362732
uniform,P-B,0.0625,0.0948415401772027,,,,,0.06068034670795466,0.05952522255192878,0.062457974717590105,0.0013268290159577428,0.898965467826064
uniform,P-B,0.09375,0.09587551896628616,,,,,0.09144043963190351,0.09100340696779866,0.09361551909628833,0.0011828328009704755,0.9092438357572998
uniform,P-B,0.125,0.09461627653258498,,,,,0.12407154399110497,0.12242004615891856,0.12474765053950575,0.0010983312106744886,0.9183377152748823
uniform,P-B,0.1875,0.09020137290363867,,,,,0.18555109500806002,0.18539180129684582,0.1866776888270101,0.0008179482788685106,0.9404037755281508
uniform,P-B,0.25,0.09000720724583768,,,,,0.24716025429144586,0.2467831629849434,0.25,0.0006181865609654289,0.9600440977636534
global_mechanical_mask,P-B,0.03125,0.09993977933250185,,,,,0.030742169611695663,0.03051544125728102,0.03132613992342499,0.001531460527321245,0.8865490868854957
global_mechanical_mask,P-B,0.0625,0.09446366676153874,,,,,0.06078914843325978,0.05914549251653324,0.06205077481041873,0.0014214445490655211,0.8962714338264072
