outer_domain,seed,epoch,weighted_pairwise_loss,policy_state_sha256,teacher_model_state_sha256,training_state_count,source_specimen_count
74t7kcdgkr,20260823,1,0.6946923732557215,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,2,0.693980200144624,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,3,0.6934453345379303,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,4,0.6929966691153155,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,5,0.6925583104348128,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,6,0.6921159120090223,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,7,0.6916890791523258,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,8,0.6912793663444536,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,9,0.6908663900869623,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,10,0.6904327753331778,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,11,0.6899795622920867,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,12,0.6895250351845282,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,13,0.6890477741872678,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,14,0.6885666298074796,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,15,0.688068385543886,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,16,0.687543678775619,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
74t7kcdgkr,20260823,17,0.6869783098143828,213f3d4dc8b4e1010eb455ae2148e74e2fdda694b5e6bb9f909b626f942aaa2d,15bf0ad26d44e3ac3b7194a948b676136c4ccf1a684102be73197592fbcdc3ee,8686,231
