specimen_id,dataset_id,method,auebc,mae_0p125
c16-1,yfxyg8jm46,center_first,0.022496519235250464,0.09176856860451388
c16-1,yfxyg8jm46,global_mechanical_mask,0.0343865106317794,0.2043146750880417
c16-1,yfxyg8jm46,imitation_policy,0.031476763751530516,0.15067687412212383
c16-1,yfxyg8jm46,mechanical_oracle,0.014715632771697238,0.051644110268794674
c16-1,yfxyg8jm46,observed_gradient,0.028053235626278303,0.12282342979821304
c16-1,yfxyg8jm46,observed_uncertainty,0.02886653013643191,0.12865070571393045
c16-1,yfxyg8jm46,random_median,0.03763189456484258,0.1888352430795595
c16-1,yfxyg8jm46,uniform,0.027798309163803457,0.1635248315437956
c16-10,yfxyg8jm46,center_first,0.010785426619268155,0.04383682501596742
c16-10,yfxyg8jm46,global_mechanical_mask,0.010894406945922941,0.03961557671069893
c16-10,yfxyg8jm46,imitation_policy,0.021200403252646993,0.10054399792654978
c16-10,yfxyg8jm46,mechanical_oracle,0.008834722879940901,0.0710829191484787
c16-10,yfxyg8jm46,observed_gradient,0.017374517846360748,0.07278165795561609
c16-10,yfxyg8jm46,observed_uncertainty,0.018649659935706074,0.08676283469262425
c16-10,yfxyg8jm46,random_median,0.009202587301061983,0.03536852037771865
c16-10,yfxyg8jm46,uniform,0.007453867026586068,0.0259996444607693
c16-11,yfxyg8jm46,center_first,0.022722536242146246,0.11458511498293383
c16-11,yfxyg8jm46,global_mechanical_mask,0.029409334726111642,0.18304404036713545
c16-11,yfxyg8jm46,imitation_policy,0.027272407718791653,0.13668990862774016
c16-11,yfxyg8jm46,mechanical_oracle,0.015201238327676897,0.07659077138564424
c16-11,yfxyg8jm46,observed_gradient,0.02632227320709715,0.13692944329552453
c16-11,yfxyg8jm46,observed_uncertainty,0.02572418406540025,0.12866678078785893
c16-11,yfxyg8jm46,random_median,0.03163687192206635,0.17249885177630198
c16-11,yfxyg8jm46,uniform,0.022743209127033245,0.1216500286865842
c16-12,yfxyg8jm46,center_first,0.011859982098996852,0.0609663349942261
c16-12,yfxyg8jm46,global_mechanical_mask,0.016223384893970676,0.113241650105109
c16-12,yfxyg8jm46,imitation_policy,0.014549452680897417,0.06266401770694274
c16-12,yfxyg8jm46,mechanical_oracle,0.004564035027280252,0.04346988090643211
c16-12,yfxyg8jm46,observed_gradient,0.017478476896059546,0.08240221594947317
c16-12,yfxyg8jm46,observed_uncertainty,0.017029227143674316,0.08095525413016269
c16-12,yfxyg8jm46,random_median,0.01766210518026131,0.09210874678625475
c16-12,yfxyg8jm46,uniform,0.012039631292566032,0.0869222714409803
c16-13,yfxyg8jm46,center_first,0.025066234616497932,0.14501067559677117
c16-13,yfxyg8jm46,global_mechanical_mask,0.027047403624809545,0.14207732906807014
c16-13,yfxyg8jm46,imitation_policy,0.027342689109209686,0.14868032445566803
c16-13,yfxyg8jm46,mechanical_oracle,0.014381427625108967,0.08658010039861641
c16-13,yfxyg8jm46,observed_gradient,0.0227419243616664,0.12940266592062188
c16-13,yfxyg8jm46,observed_uncertainty,0.02442781163385613,0.13028642834158166
c16-13,yfxyg8jm46,random_median,0.027105659750461246,0.1497989776584851
c16-13,yfxyg8jm46,uniform,0.030554340192523625,0.1750083392123225
c16-14,yfxyg8jm46,center_first,0.015312656013131412,0.07387883280011509
c16-14,yfxyg8jm46,global_mechanical_mask,0.019654840049141135,0.08600207112141556
c16-14,yfxyg8jm46,imitation_policy,0.020358710087267896,0.08997462233098286
c16-14,yfxyg8jm46,mechanical_oracle,0.006569326360317155,0.03158120583754309
c16-14,yfxyg8jm46,observed_gradient,0.017178340736004067,0.07084876032173337
c16-14,yfxyg8jm46,observed_uncertainty,0.021853788721916435,0.10239079060329792
c16-14,yfxyg8jm46,random_median,0.020426166258691175,0.09921303646297225
c16-14,yfxyg8jm46,uniform,0.020949666670254104,0.0975548606811919
