method,auebc,b_2p5,b_5,b_7p5,saving_vs_uniform_b5
center_first,0.01728926998828477,0.1875,0.09375,0.09375,0.5
observed_gradient,0.01719297331662023,0.125,0.09375,0.09375,0.5
observed_uncertainty,0.0170971890893101,0.125,0.09375,0.0625,0.5
imitation_policy,0.01709222987628451,0.0625,0.0625,0.0625,0.6666666666666667
uniform,0.01736345802834,0.1875,0.1875,0.0625,0.0
random_median,0.017618681081798558,,0.1875,0.0625,0.0
global_mechanical_mask,0.017638891296876607,0.1875,0.1875,0.0625,0.0
mechanical_oracle,0.010624525770798778,0.0625,0.03125,0.03125,0.8333333333333334
