specimen_id,domain_id,held_out_domain,endpoint,model,truth,prediction,residual,fold_state_sha256
c8-19,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.61625000000000008,0.77159147559624797,-0.15534147559624789,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-2,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.35374999999999995,0.51763431496118484,-0.16388431496118488,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-20,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.47781250000000003,0.62461624194417198,-0.14680374194417195,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-21,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.62875000000000003,0.80192818286855649,-0.17317818286855646,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-22,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.6378125,0.83742220763150743,-0.19960970763150743,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-23,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.58843750000000006,0.79938939709107426,-0.2109518970910742,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-24,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.6282812499999999,0.79016591955113413,-0.16188466955113423,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-25,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.63249999999999995,0.82539944983013269,-0.19289944983013274,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-26,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.64156249999999992,0.83444525699916228,-0.19288275699916235,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-27,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.65031249999999996,0.79120906091512921,-0.14089656091512925,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-28,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.68218749999999995,0.87514678879651764,-0.19295928879651769,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-29,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.65468749999999998,0.84218061102907138,-0.1874931110290714,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-3,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.458125,0.63598153666311241,-0.17785653666311241,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
