rank,left_specimen_id,right_specimen_id,left_domain_id,right_domain_id,left_strength_mpa,right_strength_mpa,strength_abs_difference_mpa,normalized_curve_rms,selection_rule
1,q24-41,q24-49,cgtnjyggtm,cgtnjyggtm,145.1566320185774,146.9254398495205,1.7688078309431035,0.30212118429349694,NEAREST_STRENGTH_THEN_CURVE_RMS
2,q24-41,q24-50,cgtnjyggtm,cgtnjyggtm,145.1566320185774,144.78563268363999,0.37099933493740878,0.26949988388376367,NEAREST_STRENGTH_THEN_CURVE_RMS
3,q24-48,q24-50,cgtnjyggtm,cgtnjyggtm,136.68000162232991,144.78563268363999,8.1056310613100777,0.26106584676032757,NEAREST_STRENGTH_THEN_CURVE_RMS
4,q24-40,q24-46,cgtnjyggtm,cgtnjyggtm,116.0373611371045,118.3974964304373,2.360135293332803,0.24571393615561171,NEAREST_STRENGTH_THEN_CURVE_RMS
5,q24-46,q24-47,cgtnjyggtm,cgtnjyggtm,118.3974964304373,119.8673896475662,1.4698932171288988,0.23126472782700963,NEAREST_STRENGTH_THEN_CURVE_RMS
6,q24-44,q24-45,cgtnjyggtm,cgtnjyggtm,109.75041149172959,110.3718217994942,0.62141030776460582,0.23066457517197245,NEAREST_STRENGTH_THEN_CURVE_RMS
7,q24-42,q24-43,cgtnjyggtm,cgtnjyggtm,113.41515265662881,113.43569762687039,0.020544970241587635,0.21476581728395192,NEAREST_STRENGTH_THEN_CURVE_RMS
8,q8-13,q8-2,ykhs7s2dck,ykhs7s2dck,219.16721873907721,219.15265179376439,0.014566945312822099,0.15136330041679474,NEAREST_STRENGTH_THEN_CURVE_RMS
9,c16-21,q8-18,yfxyg8jm46,ykhs7s2dck,207.70606102902559,208.20500309738441,0.49894206835881505,0.12124335499318369,NEAREST_STRENGTH_THEN_CURVE_RMS
10,c24-26,c8-26,xcmzfsbd9t,74t7kcdgkr,271.90906541911858,271.96339569057972,0.054330271461140001,0.12006499366170315,NEAREST_STRENGTH_THEN_CURVE_RMS
11,c16-12,c8-25,yfxyg8jm46,74t7kcdgkr,268.03815167916792,269.51713082304991,1.4789791438819861,0.11830988080405296,NEAREST_STRENGTH_THEN_CURVE_RMS
12,c24-34,c8-28,xcmzfsbd9t,74t7kcdgkr,282.21963438150442,282.82609061149691,0.60645622999248872,0.11181133857324216,NEAREST_STRENGTH_THEN_CURVE_RMS
