specimen_id,domain_id,published_cai_strength_mpa,extension_peak_mm,slope_u20_u60_mpa_per_mm,normalized_prepeak_auc,q_midpoint,peak_row,baseline_extension_mm,baseline_stress_mpa,zeroed_peak_stress_mpa,unique_extension_positions,extraction_sha256
c8-2,74t7kcdgkr,163.86159407582969,0.35374999999999995,548.52348251528554,0.47046472772277226,0.474628712871287,1588,-0.0015625000000000001,0.71288449877613957,164.57447857460591,724,8035208c23736e06d5f55108b592f3db5337d24fd278bc2b85c543659e8d1071
c8-3,74t7kcdgkr,213.09927473954741,0.458125,571.34832006335,0.47733772625340376,0.48197981739548296,1703,-0.0025000000000000001,-0.30676479089186293,212.79250994865558,917,95d75112db9bb61dde2e46c72c11c98b5a230b5983c6065da45169c5b0ef1673
c8-4,74t7kcdgkr,186.2374222753387,0.38406249999999997,549.84374288212916,0.4559618585740306,0.44713114754098371,1408,0,-0.6086190270435905,185.6288032482951,778,3439612dd93ee1446470b0f578a17e64cdad4915eb5eec156f33d61ecd1b32a7
c8-5,74t7kcdgkr,196.90635962285319,0.40656249999999999,543.62415210101915,0.45857695627409745,0.45116982124079918,1601,-0.0015625000000000001,-0.92734549272929245,195.9790141301238,817,7f1b3341f863fe7f78bc8afe2eaf7660f0193bb5bde53eabbf56d7fd069ccd9e
c8-6,74t7kcdgkr,184.70429699655679,0.45375000000000004,534.70285854725512,0.46912860256765487,0.47146023829315598,1637,-0.00125,-0.56125615109450944,184.14304084546225,906,eb5b4a46759943048cb8e4cb2285a6d224de47d168c8cfa04e90b69c042c55ae
c8-6t,74t7kcdgkr,199.80186544854391,0.50343749999999998,526.69603265839987,0.4445571347891567,0.43680973895582342,1835,0.00093749999999999997,-1.8877351782806233,197.91413027026323,1007,b705e4861421b8c55b7101e8fecb6b996dff75719d806dcc8ed1bc80df0839cf
c8-7,74t7kcdgkr,170.60155017055681,0.36625000000000002,524.30454185765109,0.45558348240906371,0.44439475253428734,1424,-0.00062500000000000001,-0.91068443151542777,169.69086573904139,748,8541002eb882b64f24e0a0bad52f2171ea9a6e01f0ebb2a5dfdb38cf37c6bd09
c8-8,74t7kcdgkr,182.50125668401321,0.37468750000000001,563.73370014603802,0.49829806175595243,0.49888392857142866,1455,-0.00062500000000000001,-0.71012162133857304,181.79113506267464,747,092851d77f14faf481601d2a12b5afdfea3eb5dd010275e627d51f61ba2f66c5
c8-8t,74t7kcdgkr,216.36854656543119,0.50093750000000004,524.60240593878461,0.46947192191844306,0.46350787766450413,1718,0.0021875000000000002,-1.394640723718249,214.97390584171293,996,c085c3c93144c4fd3beac1e609332fffd7045202243172c87507ce4e4ea2345d
c8-9,74t7kcdgkr,201.08809965802709,0.41500000000000004,579.74506653066805,0.47498747793618468,0.47046843177189407,1565,-0.00093749999999999997,-0.81577322376481598,200.27232643426231,819,eed53c8a25fe19e8da7536af5fc8eba8f9b0a3f67ace44cd66075cb7c5332ab4
c8-9t,74t7kcdgkr,190.1312332847148,0.46281250000000002,520.12527674238845,0.4096453310639685,0.38020010531858872,2117,0.0028124999999999999,-1.2927332807015128,188.8385000040133,924,7cb39e507790b7c32b4f5b71915fbe66ac764e088300381889b461c8020c5066
c8-10t,74t7kcdgkr,204.1723320631655,0.47125,552.67585247425859,0.42306139877924731,0.40183112919633762,1891,0.00093749999999999997,-1.9542943623174527,202.21803770084801,938,bcf60ec55acde7ad59fcc1f3a2e091dd7fbec8be6be4b5ddb113bd7a82db4c86
c8-11,74t7kcdgkr,196.7274812860085,0.41750000000000004,565.53882002073237,0.4658398803329864,0.45681581685744027,1556,-0.00125,-0.61222245213488147,196.1152588338737,845,5f706c01ae2f7ae15e2a03c0a4a0ce2f8f8c14f560f33854b253ae79aa131b55
c8-12,74t7kcdgkr,197.97144555146281,0.4325,535.82368173075474,0.41700545129122973,0.39913065712094081,1556,-0.00062500000000000001,-0.65586870340698677,197.31557684805577,879,1241042eeb4c221df9e5d2eb4b5a0f51d4993aefca133c5c17ccf4fa45b23df5
