specimen_id,domain_id,raw_relative_path,raw_trace_sha256,published_cai_strength_mpa,status,error,peak_row,raw_peak_mpa,peak_absolute_error_mpa,unique_extension_positions,extraction_sha256,repeat_extraction_byte_identical
c8-2,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-2  0000.CSV,f02cd530909dbb8d03b5913368996cc287d1366dcd5d372e553da18ec06a30ec,163.86159407582969,PASS,,1588,163.86159407582977,8.5265128291212022e-14,724,8035208c23736e06d5f55108b592f3db5337d24fd278bc2b85c543659e8d1071,true
c8-3,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-3 0000.CSV,7a9b45c06d25f6fcd27abef5a74bb71e273b434c0b7e95aa051dfbcd2b2a9d8c,213.09927473954741,PASS,,1703,213.09927473954744,2.8421709430404007e-14,917,95d75112db9bb61dde2e46c72c11c98b5a230b5983c6065da45169c5b0ef1673,true
c8-4,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-4 0000.CSV,54ccb86a79789787e7b7cfe2e3be1cfa6090dbce9ddfe515e73f77cbdd3940d0,186.2374222753387,PASS,,1408,186.2374222753387,0,778,3439612dd93ee1446470b0f578a17e64cdad4915eb5eec156f33d61ecd1b32a7,true
c8-5,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-5 0000.CSV,70f1652cba1fbe70ce7fffe9b106b26c0a876bb7a53f3b7dca59027008cfd48d,196.90635962285319,PASS,,1601,196.9063596228531,8.5265128291212022e-14,817,7f1b3341f863fe7f78bc8afe2eaf7660f0193bb5bde53eabbf56d7fd069ccd9e,true
c8-6,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-6 0000.CSV,9a933aec12c0ead16e7b66a465f69072f7d8eba71809027fd8c6af2f8d225c30,184.70429699655679,PASS,,1637,184.70429699655676,2.8421709430404007e-14,906,eb5b4a46759943048cb8e4cb2285a6d224de47d168c8cfa04e90b69c042c55ae,true
c8-6t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-6t 0000.CSV,25af5cb47f608db4db290c084e520742ae0be2531d0f0c960c81e71f1cb356e4,199.80186544854391,PASS,,1835,199.80186544854385,5.6843418860808015e-14,1007,b705e4861421b8c55b7101e8fecb6b996dff75719d806dcc8ed1bc80df0839cf,true
c8-7,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-7 0000.CSV,77025e6ac93d534ada28c70e66d8712a28ab10f0ce2f5c8221414552d1bde90a,170.60155017055681,PASS,,1424,170.60155017055681,0,748,8541002eb882b64f24e0a0bad52f2171ea9a6e01f0ebb2a5dfdb38cf37c6bd09,true
c8-8,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-8 0000.CSV,20f28c973f8cc9be63c72355a0cabb9362321badb87e0d5d9a9dc9a84db3ca19,182.50125668401321,PASS,,1455,182.50125668401321,0,747,092851d77f14faf481601d2a12b5afdfea3eb5dd010275e627d51f61ba2f66c5,true
c8-8t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-8t 0000.CSV,dd7c06c8ec3abd9028095dbe746b7e0569f4c34d6335a408841f6ba93e1e47a4,216.36854656543119,PASS,,1718,216.36854656543119,0,996,c085c3c93144c4fd3beac1e609332fffd7045202243172c87507ce4e4ea2345d,true
c8-9,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-9 0000.CSV,0cded5b6704441906a21421705de25161ae52265239672093f5d330abab2c1dd,201.08809965802709,PASS,,1565,201.08809965802712,2.8421709430404007e-14,819,eed53c8a25fe19e8da7536af5fc8eba8f9b0a3f67ace44cd66075cb7c5332ab4,true
c8-9t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-9t 0000.CSV,e406ec231119c2cfc192ef797a236b96e90ac6f79823498a83e2abcfa82dbca4,190.1312332847148,PASS,,2117,190.13123328471482,2.8421709430404007e-14,924,7cb39e507790b7c32b4f5b71915fbe66ac764e088300381889b461c8020c5066,true
c8-10t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-10t 0000.CSV,ecc2c1d0592a9713e40bc704ed214ee053e904a10b09624f574babbf065a0a65,204.1723320631655,PASS,,1891,204.17233206316547,2.8421709430404007e-14,938,bcf60ec55acde7ad59fcc1f3a2e091dd7fbec8be6be4b5ddb113bd7a82db4c86,true
c8-11,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-11 0000.CSV,8c456607d83de85fe962ac91780b6070a394c9e12ffa1ab0b7009d1051f13c25,196.7274812860085,PASS,,1556,196.72748128600858,8.5265128291212022e-14,845,5f706c01ae2f7ae15e2a03c0a4a0ce2f8f8c14f560f33854b253ae79aa131b55,true
c8-12,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-12 0000.CSV,0b71499a3be3ffce89c1c5f80f9a1142f941232a5a22a7d97a55ab292b3cea37,197.97144555146281,PASS,,1556,197.97144555146275,5.6843418860808015e-14,879,1241042eeb4c221df9e5d2eb4b5a0f51d4993aefca133c5c17ccf4fa45b23df5,true
c8-12t,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-12t 0000.CSV,7a3585987f69cb453052701595e4bf2857fa2ca47104a10b90b2efd19ff23ab6,258.14637957300971,PASS,,2292,258.14637957300965,5.6843418860808015e-14,1184,3cf5aad69f0c5106cf02d9499175b542dcf327ed2d4e98a77518a71ef132daab,true
c8-13,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-13 0000.CSV,5f04aae972decdae0951dec79a47ded38897430f44658873de769f8d31f79de6,266.55538256306579,PASS,,2417,266.55538256306585,5.6843418860808015e-14,1377,058a6fa7409e1a4355eda21439fd5a9cc6d9a4f515a3bce2c8c53bc3604e09ca,true
c8-14,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-14 0000.CSV,4bf1477f19da8050fac82ef0c6eea192b15591568ebed40528b4b85e9f9ebe28,264.99443180510241,PASS,,2310,264.99443180510247,5.6843418860808015e-14,1338,11d610bff6835e45bab547eb46772febe45565e8223b24d81007baf0997933ec,true
c8-15,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-15 0000.CSV,9ebbece92c9994b695ccfa861ce7b872b094f2fa9f8d8da793ab12eac7ec04b1,275.70183656935109,PASS,,2255,275.70183656935114,5.6843418860808015e-14,1364,3bb477ecf9ab14de5d47979d39168e59af916c749cf81bde9fa632404557a517,true
c8-16,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-16 0000.CSV,87e1c9c854dfe8d862e7c6792b37da72ee68b93d8aadccdb6e104013fd9be129,264.16344068530248,PASS,,1974,264.16344068530248,0,1174,df5c19787ed4e15c1e9abafca4cabddd2f71fb665ba841660b4dcbff78faa3ca,true
c8-17,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-17 0000.CSV,3d6616a019c0913565194629adc794cd1c51331078e23139d0d86f32b68f30e8,274.49596856490263,PASS,,2238,274.49596856490251,1.1368683772161603e-13,1308,82cee1da65e1f875578617465af2eeb1c64e12066877128f8f93c5d2b26ed8ac,true
c8-18,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-18 0000.CSV,ea39bad94a3ef7b47a39954d190eaa314d811b5a3eba174ceefc67d5e522e5bb,270.34150847493999,PASS,,2404,270.34150847493999,0,1398,fb729280ee3630f476a295144dbe6b4c8f59f145c270f72495df363056c22b1c,true
c8-19,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-19 0000.CSV,7bbdbcbe344c4984fd52279d4d6741d6427e8b842fc39de2c3afd5abc6ebf856,254.65009368067251,PASS,,2104,254.65009368067243,8.5265128291212022e-14,1268,8b5a025c7ff614ffe5b9112c0951d6ae2e500870289eb38d3dd7974a9d77be38,true
c8-20,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-20 0000.CSV,1489a57d463020f757d1e82868295a9c259b2219b74c68fff7553ea2016963c6,209.1730625104266,PASS,,1718,209.17306251042666,5.6843418860808015e-14,939,e45cf42b05dc2ad9641922b4e0bf16eb2f62e3df88cf565db321311bc5972c74,true
c8-21,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-21 0000.CSV,99406fd71912978c7e36b49d3d913c39073565c16d4616334996028bb8746f1c,263.10398959657363,PASS,,2124,263.10398959657368,5.6843418860808015e-14,1249,df9f582a4e0698a06c94123d8b86f0211c94f7d410c24ed6bd779e15826c3145,true
c8-22,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-22 0000.CSV,9af1994f8d53db8fb7b431b3a61c25f9b19b476d9bfe74e035fb96f4af15a70a,272.76564163040132,PASS,,2170,272.76564163040126,5.6843418860808015e-14,1263,5f026c61bc7863002bf44da96a45f6a715b57fa2294c32543bb21f794993fb7c,true
c8-23,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-23 0000.CSV,f051f56ccbdff6c5a9c7486df97b9e2fee26ce078c101db2d555cefd69ba6cb5,262.40409322754721,PASS,,2057,262.40409322754721,0,1156,fccf6ff060b3b39fd6f11bf9a05b291838002577ec849f6ef89d21b0a1e725a2,true
c8-24,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-24 0000.CSV,d90cc5a5e848c9b2cc856315aa8470e417b464961f3f9f44985cef539308543a,259.85022005158999,PASS,,2187,259.85022005159004,5.6843418860808015e-14,1249,b615ac2c9f2d572712aa9bcb3acf87e033d88c8ffaedd68499123cc36fd5ef02,true
c8-25,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-25 0000.CSV,a17c3b2f0c63caa5fc99a342f5678bf76cd55fe5da86195b1157916e83a54905,269.51713082304991,PASS,,2250,269.51713082304985,5.6843418860808015e-14,1254,0e7e79bf25f4026ba1ce820cf403bb6786c317e0b77ba20cd697876bee464d78,true
c8-26,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-26 0000.CSV,f55135765f23df97d76b9882d78c2459c825ee722d1b20545da1d55e7f99074e,271.96339569057972,PASS,,2196,271.96339569057966,5.6843418860808015e-14,1287,7f3b3364999daec1775d2513edfecd2482c22e2e562fbea2f025c9a895a986a2,true
