endpoint,domain_id,valid_count,descriptor_min,descriptor_max,descriptor_range,strength_only_pooled_r2,strength_only_domain_spearman,strength_plus_design_pooled_r2,strength_plus_design_domain_spearman
extension_peak_mm,74t7kcdgkr,45,0.35374999999999995,0.69906250000000003,0.34531250000000008,0.68150593455684616,0.92213438735177855,0.93330884482835463,0.91831357048748341
extension_peak_mm,cgtnjyggtm,49,0.37312500000000004,1.7224999999999999,1.3493749999999998,0.68150593455684616,0.97193877551020413,0.93330884482835463,0.9715306122448979
extension_peak_mm,w68dtmpfyf,43,0.74531250000000004,1.3409374999999999,0.59562499999999985,0.68150593455684616,0.97236484445786764,0.93330884482835463,0.96843853820598003
extension_peak_mm,xcmzfsbd9t,59,0.68156249999999996,1.7904692500000001,1.1089067500000001,0.68150593455684616,0.88632378725891303,0.93330884482835463,0.97025131502045592
extension_peak_mm,yfxyg8jm46,42,0.50578124999999996,1.4334370000000001,0.92765575000000011,0.68150593455684616,0.97828376954865914,0.93330884482835463,0.97261161980390576
extension_peak_mm,ykhs7s2dck,38,0.47781249999999997,0.74171874999999998,0.26390625000000001,0.68150593455684616,0.919684867053288,0.93330884482835463,0.92931392931392931
slope_u20_u60_mpa_per_mm,74t7kcdgkr,45,500.2783044400623,593.5535449922146,93.275240552152297,-1.2037088518000298,0.61818181818181817,0.7430793890508709,0.68366271409749668
slope_u20_u60_mpa_per_mm,cgtnjyggtm,49,38.38545830547897,315.77689523181317,277.39143692633422,-1.2037088518000298,-0.38612244897959175,0.7430793890508709,0.59255102040816321
slope_u20_u60_mpa_per_mm,w68dtmpfyf,43,330.57574213737615,372.18598266190946,41.61024052453331,-1.2037088518000298,-0.36846874056176387,0.7430793890508709,0.43506493506493504
slope_u20_u60_mpa_per_mm,xcmzfsbd9t,59,331.76473390627348,370.77263645515376,39.007902548880281,-1.2037088518000298,-0.1990064289888954,0.7430793890508709,0.5060198714202222
slope_u20_u60_mpa_per_mm,yfxyg8jm46,42,386.90644918874926,442.6141348625269,55.707685673777632,-1.2037088518000298,-0.35888501742160284,0.7430793890508709,0.42500607730329798
slope_u20_u60_mpa_per_mm,ykhs7s2dck,38,412.5370554818623,457.31774280500116,44.780687323138864,-1.2037088518000298,0.16183389867600392,0.7430793890508709,0.25396651712441187
normalized_prepeak_auc,74t7kcdgkr,45,0.38762788584740832,0.55707640216823395,0.16944851632082564,0.24905174995994184,0.77246376811594186,0.60850340322399155,0.77206851119894593
normalized_prepeak_auc,cgtnjyggtm,49,0.23922417564252607,0.51600201299614046,0.27677783735361439,0.24905174995994184,0.2396938775510204,0.60850340322399155,0.53295918367346939
normalized_prepeak_auc,w68dtmpfyf,43,0.43595148429345326,0.49852240009166271,0.062570915798209448,0.24905174995994184,-0.25279371790999694,0.60850340322399155,0.286771368166717
normalized_prepeak_auc,xcmzfsbd9t,59,0.42222715891409146,0.51100806083107575,0.088780901916984289,0.24905174995994184,0.26142606662770312,0.60850340322399155,0.50800701344243138
normalized_prepeak_auc,yfxyg8jm46,42,0.40773321705303223,0.49562075676232409,0.087887539709291862,0.24905174995994184,-0.033789806336601572,0.60850340322399155,0.51624665748318621
normalized_prepeak_auc,ykhs7s2dck,38,0.44318572911912368,0.5794140369848636,0.13622830786573992,0.24905174995994184,0.58835758835758833,0.60850340322399155,0.58726337673706097
