group_name,group_value,specimen_count,full_count,bilinear_50_count,bilinear_25_count,full_frequency,bilinear_50_frequency,bilinear_25_frequency
domain,74t7kcdgkr,45,9,21,15,0.2,0.4666666666666667,0.3333333333333333
domain,cgtnjyggtm,49,22,9,18,0.4489795918367347,0.1836734693877551,0.3673469387755102
domain,w68dtmpfyf,43,14,11,18,0.32558139534883723,0.2558139534883721,0.4186046511627907
domain,xcmzfsbd9t,59,19,15,25,0.3220338983050847,0.2542372881355932,0.423728813559322
domain,yfxyg8jm46,42,11,15,16,0.2619047619047619,0.35714285714285715,0.38095238095238093
domain,ykhs7s2dck,38,12,9,17,0.3157894736842105,0.23684210526315788,0.4473684210526316
ply_count,8,83,21,30,32,0.25301204819277107,0.3614457831325301,0.3855421686746988
ply_count,24,108,41,24,43,0.37962962962962965,0.2222222222222222,0.39814814814814814
ply_count,16,85,25,26,34,0.29411764705882354,0.3058823529411765,0.4
layup,cross_ply,146,39,51,56,0.2671232876712329,0.3493150684931507,0.3835616438356164
layup,quasi_isotropic,130,48,29,53,0.36923076923076925,0.2230769230769231,0.4076923076923077
projected_damage_area_quartile,Q2,69,18,22,29,0.2608695652173913,0.3188405797101449,0.42028985507246375
projected_damage_area_quartile,Q3,69,22,13,34,0.3188405797101449,0.18840579710144928,0.4927536231884058
projected_damage_area_quartile,Q1_low,69,25,25,19,0.36231884057971014,0.36231884057971014,0.2753623188405797
projected_damage_area_quartile,Q4_high,69,22,20,27,0.3188405797101449,0.2898550724637681,0.391304347826087
damage_height_quartile,Q2,70,28,13,29,0.4,0.18571428571428572,0.4142857142857143
damage_height_quartile,Q1_low,69,21,25,23,0.30434782608695654,0.36231884057971014,0.3333333333333333
damage_height_quartile,Q4_high,68,16,21,31,0.23529411764705882,0.3088235294117647,0.45588235294117646
damage_height_quartile,Q3,69,22,21,26,0.3188405797101449,0.30434782608695654,0.37681159420289856
damage_width_quartile,Q4_high,69,19,20,30,0.2753623188405797,0.2898550724637681,0.43478260869565216
damage_width_quartile,Q2,69,22,16,31,0.3188405797101449,0.2318840579710145,0.4492753623188406
damage_width_quartile,Q1_low,70,26,23,21,0.37142857142857144,0.32857142857142857,0.3
damage_width_quartile,Q3,68,20,21,27,0.29411764705882354,0.3088235294117647,0.39705882352941174
