specimen_id,domain_id,method,cross_view_dispersion,absolute_error,stratum
c8-2,74t7kcdgkr,independent_equal_fusion,0.014655858262386808,0.05786959830937333,highest_25_percent
c8-3,74t7kcdgkr,independent_equal_fusion,0.0069446050360807065,0.05558641514714446,middle_50_percent
c8-4,74t7kcdgkr,independent_equal_fusion,0.015609944782014756,0.12576888333499747,highest_25_percent
c8-5,74t7kcdgkr,independent_equal_fusion,0.028120165732790022,0.07567003007060602,highest_25_percent
c8-6,74t7kcdgkr,independent_equal_fusion,0.0060097354728374484,0.07320909179859025,middle_50_percent
c8-6t,74t7kcdgkr,independent_equal_fusion,0.008072372174553033,0.03971288942262796,middle_50_percent
c8-7,74t7kcdgkr,independent_equal_fusion,0.010463630767296506,0.08227675742256513,middle_50_percent
c8-8,74t7kcdgkr,independent_equal_fusion,0.006103726705429775,0.004149266386808015,middle_50_percent
c8-8t,74t7kcdgkr,independent_equal_fusion,0.014504331530779275,0.007204798433467774,highest_25_percent
c8-9,74t7kcdgkr,independent_equal_fusion,0.019042866415046295,0.05352765197467291,highest_25_percent
c8-9t,74t7kcdgkr,independent_equal_fusion,0.012023578714828967,0.08668085145124849,highest_25_percent
c8-10t,74t7kcdgkr,independent_equal_fusion,0.023688918560497103,0.1696048257160736,highest_25_percent
c8-11,74t7kcdgkr,independent_equal_fusion,0.010471158513994345,0.03993371392605016,middle_50_percent
c8-12,74t7kcdgkr,independent_equal_fusion,0.011941860604278442,0.021964627112547763,highest_25_percent
c8-12t,74t7kcdgkr,independent_equal_fusion,0.008088253641962717,0.0440776461345298,middle_50_percent
c8-13,74t7kcdgkr,independent_equal_fusion,0.002722434589957777,0.000890091837273177,lowest_25_percent
c8-14,74t7kcdgkr,independent_equal_fusion,0.0021308713906588246,0.004191752159771078,lowest_25_percent
c8-15,74t7kcdgkr,independent_equal_fusion,0.0023884815539674375,0.05254818634897318,lowest_25_percent
c8-16,74t7kcdgkr,independent_equal_fusion,0.009722826910256104,0.042467028066739854,middle_50_percent
c8-17,74t7kcdgkr,independent_equal_fusion,0.004545946061647009,0.030234094027682068,middle_50_percent
c8-18,74t7kcdgkr,independent_equal_fusion,0.0014257695496547919,0.024727555347370145,lowest_25_percent
c8-19,74t7kcdgkr,independent_equal_fusion,0.004315016811364445,0.011617309549398769,middle_50_percent
c8-20,74t7kcdgkr,independent_equal_fusion,0.0035251019329241694,0.14841886341923172,lowest_25_percent
c8-21,74t7kcdgkr,independent_equal_fusion,0.002320038180738138,0.008249330401725374,lowest_25_percent
c8-22,74t7kcdgkr,independent_equal_fusion,0.0024923743849283356,0.021986397326376972,lowest_25_percent
c8-23,74t7kcdgkr,independent_equal_fusion,0.004671308719598445,0.03225204899116052,middle_50_percent
c8-24,74t7kcdgkr,independent_equal_fusion,0.0013875305908755324,0.05038235714642558,lowest_25_percent
c8-25,74t7kcdgkr,independent_equal_fusion,0.010245764211337932,0.025959556346710766,middle_50_percent
c8-26,74t7kcdgkr,independent_equal_fusion,0.007053679623023623,0.040198706498133285,middle_50_percent
c8-27,74t7kcdgkr,independent_equal_fusion,0.00910963474409038,0.003134656920108947,middle_50_percent
c8-28,74t7kcdgkr,independent_equal_fusion,0.0016215018517375833,0.0564964368498716,lowest_25_percent
c8-29,74t7kcdgkr,independent_equal_fusion,0.001556380979636681,0.018025511656849402,lowest_25_percent
c8-30,74t7kcdgkr,independent_equal_fusion,0.003116928583240157,0.005043355458738241,lowest_25_percent
c8-32,74t7kcdgkr,independent_equal_fusion,0.003338446170669247,0.0041151371347281085,lowest_25_percent
c8-33,74t7kcdgkr,independent_equal_fusion,0.006741326273997403,0.040206356245646835,middle_50_percent
c8-34,74t7kcdgkr,independent_equal_fusion,0.017978090127444255,0.005067894739974155,highest_25_percent
c8-35,74t7kcdgkr,independent_equal_fusion,0.011539320349082047,0.0629506207838546,highest_25_percent
c8-36,74t7kcdgkr,independent_equal_fusion,0.007265665206605235,0.0456364538391647,middle_50_percent
c8-37,74t7kcdgkr,independent_equal_fusion,0.010998469693615237,0.02233272312493595,middle_50_percent
c8-38,74t7kcdgkr,independent_equal_fusion,0.004433195598066287,0.08354369374244208,middle_50_percent
c8-39,74t7kcdgkr,independent_equal_fusion,0.005593545431923562,0.09572492521933995,middle_50_percent
c8-40,74t7kcdgkr,independent_equal_fusion,0.007842401964399882,0.22488248521396914,middle_50_percent
c8-41,74t7kcdgkr,independent_equal_fusion,0.006115731820403469,0.037222594509706664,middle_50_percent
c8-42,74t7kcdgkr,independent_equal_fusion,0.013000379134408704,0.0880010547800707,highest_25_percent
c8-43,74t7kcdgkr,independent_equal_fusion,0.013947941546562079,0.08196100038324095,highest_25_percent
q24-1,cgtnjyggtm,independent_equal_fusion,0.01995259334605051,0.0904752527116025,highest_25_percent
q24-2,cgtnjyggtm,independent_equal_fusion,0.011772203842358794,0.017121620603563925,highest_25_percent
q24-3,cgtnjyggtm,independent_equal_fusion,0.016547885967216566,0.03454626555128448,highest_25_percent
q24-4,cgtnjyggtm,independent_equal_fusion,0.018194351271081856,0.027155719518130672,highest_25_percent
q24-5,cgtnjyggtm,independent_equal_fusion,0.009990115238843593,0.11641592682475732,middle_50_percent
q24-6,cgtnjyggtm,independent_equal_fusion,0.011603828462475487,0.06388652733191502,highest_25_percent
q24-7,cgtnjyggtm,independent_equal_fusion,0.001850153822959548,0.15538643658722123,lowest_25_percent
q24-8,cgtnjyggtm,independent_equal_fusion,0.014760350734147432,0.11010323695338708,highest_25_percent
q24-9,cgtnjyggtm,independent_equal_fusion,0.012031012186015464,0.06174226358905355,highest_25_percent
q24-10,cgtnjyggtm,independent_equal_fusion,0.005841538965279278,0.05240511570347395,middle_50_percent
q24-11,cgtnjyggtm,independent_equal_fusion,0.004973629891059501,0.02714241543680851,middle_50_percent
q24-12,cgtnjyggtm,independent_equal_fusion,0.009233079705417176,0.05963357234036848,middle_50_percent
q24-13,cgtnjyggtm,independent_equal_fusion,0.011800592465273464,0.013273618873335336,highest_25_percent
q24-14,cgtnjyggtm,independent_equal_fusion,0.0012053096173376457,0.07679611859729996,lowest_25_percent
q24-15,cgtnjyggtm,independent_equal_fusion,0.015340135033944215,0.019039957085073222,highest_25_percent
q24-16,cgtnjyggtm,independent_equal_fusion,0.00682613340240952,0.024769725998941228,middle_50_percent
q24-18,cgtnjyggtm,independent_equal_fusion,0.0027346448645024484,0.04766521599179718,lowest_25_percent
q24-19,cgtnjyggtm,independent_equal_fusion,0.011312669471807046,0.018174611052789058,highest_25_percent
q24-20,cgtnjyggtm,independent_equal_fusion,0.0032284143444218185,0.039049913552514415,lowest_25_percent
q24-21,cgtnjyggtm,independent_equal_fusion,0.018214710414137643,0.016202035176041907,highest_25_percent
q24-22,cgtnjyggtm,independent_equal_fusion,0.01564588145766922,0.15400769707787243,highest_25_percent
q24-23,cgtnjyggtm,independent_equal_fusion,0.019513661463626347,0.05822977271753338,highest_25_percent
q24-24,cgtnjyggtm,independent_equal_fusion,0.02089891313881671,0.035011458687823294,highest_25_percent
q24-25,cgtnjyggtm,independent_equal_fusion,0.00590067549981742,0.11826668052334,middle_50_percent
q24-26,cgtnjyggtm,independent_equal_fusion,0.005148649950716746,0.014607072248130293,middle_50_percent
q24-27,cgtnjyggtm,independent_equal_fusion,0.003174231459113398,0.03523937025664359,lowest_25_percent
q24-28,cgtnjyggtm,independent_equal_fusion,0.003718072617355085,0.07576316784496373,lowest_25_percent
q24-29,cgtnjyggtm,independent_equal_fusion,0.006050587451631203,0.08689346080246696,middle_50_percent
q24-30,cgtnjyggtm,independent_equal_fusion,0.011007795343375202,0.07697228173908843,middle_50_percent
q24-31,cgtnjyggtm,independent_equal_fusion,0.011793693690851885,0.08905259801319687,highest_25_percent
q24-32,cgtnjyggtm,independent_equal_fusion,0.017502549657668398,0.0054432111688057505,highest_25_percent
q24-33,cgtnjyggtm,independent_equal_fusion,0.006815503004405339,0.03509491064412318,middle_50_percent
q24-34,cgtnjyggtm,independent_equal_fusion,0.005530239132905515,0.009607487175996354,middle_50_percent
q24-35,cgtnjyggtm,independent_equal_fusion,0.004924986282646202,0.016873867730932357,middle_50_percent
q24-36,cgtnjyggtm,independent_equal_fusion,0.005365590335212128,0.018312561788251913,middle_50_percent
q24-37,cgtnjyggtm,independent_equal_fusion,0.0041481183111673455,0.105689485113024,middle_50_percent
q24-38,cgtnjyggtm,independent_equal_fusion,0.0025237784818873585,0.01656179440588612,lowest_25_percent
q24-39,cgtnjyggtm,independent_equal_fusion,0.01440924240888159,0.11422599758788077,highest_25_percent
q24-40,cgtnjyggtm,independent_equal_fusion,0.0063336417932817685,0.34546746268581374,middle_50_percent
q24-41,cgtnjyggtm,independent_equal_fusion,0.010142557959562171,0.4721889157679205,middle_50_percent
q24-42,cgtnjyggtm,independent_equal_fusion,0.005693103217874526,0.2673065733083945,middle_50_percent
q24-43,cgtnjyggtm,independent_equal_fusion,0.004776262419631659,0.23841844567102866,middle_50_percent
q24-44,cgtnjyggtm,independent_equal_fusion,0.006298172025764125,0.31031958164801593,middle_50_percent
q24-45,cgtnjyggtm,independent_equal_fusion,0.008643911325477314,0.39981898565071355,middle_50_percent
q24-46,cgtnjyggtm,independent_equal_fusion,0.015588888481656387,0.39328292076100074,highest_25_percent
q24-47,cgtnjyggtm,independent_equal_fusion,0.00393465223265476,0.33179982878726794,lowest_25_percent
q24-48,cgtnjyggtm,independent_equal_fusion,0.01724256695460784,0.4721121403654406,highest_25_percent
q24-49,cgtnjyggtm,independent_equal_fusion,0.010365750880797638,0.4309424795571767,middle_50_percent
q24-50,cgtnjyggtm,independent_equal_fusion,0.0071636233655281495,0.4611407121939262,middle_50_percent
q16-1,w68dtmpfyf,independent_equal_fusion,0.0031370347754707457,0.0962327671677502,lowest_25_percent
q16-2,w68dtmpfyf,independent_equal_fusion,0.007057286321651616,0.17095397585993577,middle_50_percent
