outer_domain,view,pca_dimension,dimension_scores
74t7kcdgkr,FULL,8,"{""8"": 0.10599143059440752, ""16"": 0.1081246521323382, ""32"": 0.1137477960688634}"
74t7kcdgkr,BILINEAR_50,8,"{""8"": 0.1099953115633153, ""16"": 0.11273578044098062, ""32"": 0.11727897771745763}"
74t7kcdgkr,BILINEAR_25,8,"{""8"": 0.10558269281194135, ""16"": 0.11238391629119164, ""32"": 0.11814410710844578}"
cgtnjyggtm,FULL,32,"{""8"": 0.08166414414961755, ""16"": 0.08102925403387272, ""32"": 0.07848914726964268}"
cgtnjyggtm,BILINEAR_50,32,"{""8"": 0.08359373330056133, ""16"": 0.08128696339605339, ""32"": 0.07827526311038104}"
cgtnjyggtm,BILINEAR_25,32,"{""8"": 0.08516489810143338, ""16"": 0.08307602743179814, ""32"": 0.0826392143486783}"
w68dtmpfyf,FULL,8,"{""8"": 0.08688133296956364, ""16"": 0.09201808762560582, ""32"": 0.09924268138446814}"
w68dtmpfyf,BILINEAR_50,8,"{""8"": 0.0889895240197565, ""16"": 0.09646465607376026, ""32"": 0.10329750902845761}"
w68dtmpfyf,BILINEAR_25,8,"{""8"": 0.08595390519020421, ""16"": 0.09296395293203001, ""32"": 0.10480437304976542}"
xcmzfsbd9t,FULL,8,"{""8"": 0.09896227978066927, ""16"": 0.10348881997965012, ""32"": 0.11294360786032878}"
xcmzfsbd9t,BILINEAR_50,8,"{""8"": 0.09909249118891537, ""16"": 0.10127332009363985, ""32"": 0.11140886788784518}"
xcmzfsbd9t,BILINEAR_25,8,"{""8"": 0.09742728502013613, ""16"": 0.09839518040423162, ""32"": 0.1095179000004008}"
yfxyg8jm46,FULL,8,"{""8"": 0.08619077491589895, ""16"": 0.08653781822152265, ""32"": 0.0917068786667909}"
yfxyg8jm46,BILINEAR_50,8,"{""8"": 0.08830077201974733, ""16"": 0.08958166638089088, ""32"": 0.098208903627125}"
yfxyg8jm46,BILINEAR_25,8,"{""8"": 0.08172278021479676, ""16"": 0.08304637940085588, ""32"": 0.08719226258576318}"
ykhs7s2dck,FULL,8,"{""8"": 0.10175762849276, ""16"": 0.10674268949160755, ""32"": 0.10640361188335701}"
ykhs7s2dck,BILINEAR_50,8,"{""8"": 0.1042189971115857, ""16"": 0.11129512037134555, ""32"": 0.11091678356558125}"
ykhs7s2dck,BILINEAR_25,8,"{""8"": 0.10259096146550553, ""16"": 0.11000940290484273, ""32"": 0.10999583216321243}"
